CORR	DIST	REPR	IDIO	FREQ
[kʲ] : [tʲ]	0.625	0.679	0.651	1096|71
[gʲ] : [dʲ]	0.634	0.634	0.634	529|22
[kːʲ] : [tːʲ]	0.560	0.545	0.552	1170|22
[-] : [g]	0.368	0.949	0.530	0|7182
[ʎː] : [gːʲ]	0.500	0.503	0.502	2511|17
[ʎː] : [dːʲ]	0.467	0.518	0.491	2511|7
[ʦː] : [sː]	0.314	0.973	0.475	3356|1388
[w] : [-]	0.312	0.959	0.471	1672|0
[ʣː] : [zː]	0.441	0.501	0.469	1473|4
[gʲ] : [j]	0.305	0.961	0.463	529|7360
[z] : [ʦː]	0.304	0.967	0.462	1316|3356
[ʎː] : [ɟ]	0.397	0.550	0.461	2511|1
[t] : [θ]	0.308	0.836	0.450	15698|3653
[z] : [zː]	0.395	0.506	0.444	1316|4
[z] : [ʣː]	0.281	0.954	0.434	1316|1473
[ʎː] : [ʎ]	0.322	0.654	0.431	2511|24
[lː] : [ɖ]	0.384	0.470	0.423	6313|9
[ʃ] : [ʧː]	0.265	0.952	0.415	3407|2829
[b] : [ɸ]	0.263	0.855	0.403	9134|1666
[h] : [-]	0.307	0.562	0.397	1996|0
[l] : [ʎ]	0.282	0.655	0.394	19045|24
[kː] : [gː]	0.312	0.512	0.388	4560|2
[u] : [u̞]	0.290	0.558	0.382	9128|1
[k] : [h]	0.243	0.869	0.380	10703|1996
[s] : [ɕ]	0.281	0.564	0.375	13816|2
[x] : [-]	0.271	0.579	0.369	333|0
[-] : [d]	0.224	0.938	0.362	0|6797
[ɣ] : [gː]	0.322	0.412	0.362	785|2
[b] : [bː]	0.221	0.981	0.361	9134|452
[ʦ] : [ʦː]	0.216	0.968	0.353	1636|3356
[β] : [bː]	0.218	0.802	0.342	238|452
[l] : [ḙ]	0.263	0.484	0.341	19045|5
[j] : [tʲ]	0.225	0.684	0.339	7360|71
[kːʲ] : [kː]	0.206	0.946	0.339	1170|4560
[g] : [gː]	0.252	0.513	0.338	7182|2
[θ] : [dː]	0.284	0.413	0.337	3653|15
[w] : [v]	0.199	0.978	0.331	1672|3803
[i] : [i̞]	0.242	0.516	0.329	26193|4
[ɲ] : [nː]	0.200	0.800	0.320	81|810
[t] : [dː]	0.241	0.475	0.320	15698|15
[ʦ] : [sː]	0.190	0.972	0.318	1636|1388
[d] : [dː]	0.232	0.474	0.311	6797|15
[p] : [ɸ]	0.190	0.853	0.311	12429|1666
[d] : [ð]	0.188	0.768	0.302	6797|775
[r] : [rː]	0.176	0.973	0.297	26812|540
[ʣ] : [ʣː]	0.175	0.970	0.297	800|1473
[j] : [tːʲ]	0.202	0.548	0.295	7360|22
[tː] : [dː]	0.204	0.477	0.285	5225|15
[j] : [-]	0.157	0.947	0.269	7360|0
[ʤː] : [gːʲ]	0.176	0.505	0.261	1265|17
[d] : [dʲ]	0.164	0.628	0.260	6797|22
[j] : [ʎː]	0.137	0.967	0.240	7360|2511
[ɛ] : [æ]	0.160	0.473	0.239	6763|6
[e] : [ə]	0.169	0.401	0.238	24334|31
[n] : [nː]	0.135	0.993	0.237	24546|810
[a] : [æ]	0.147	0.480	0.225	70241|6
[k] : [x]	0.134	0.659	0.222	10703|333
[ʒ] : [ʃ]	0.122	0.924	0.215	564|3407
[g] : [ɣ]	0.124	0.785	0.214	7182|785
[x] : [h]	0.125	0.670	0.211	333|1996
[d] : [θ]	0.113	0.832	0.199	6797|3653
[s] : [ʃ]	0.109	0.931	0.194	13816|3407
[kʲ] : [j]	0.107	0.926	0.191	1096|7360
[o] : [ə]	0.124	0.401	0.190	59374|31
[ʦː] : [zː]	0.116	0.507	0.189	3356|4
[ɲ] : [n]	0.106	0.802	0.187	81|24546
[b] : [β]	0.099	0.772	0.175	9134|238
[g] : [x]	0.100	0.665	0.174	7182|333
[-] : [o]	0.095	0.985	0.173	0|59374
[ʣ] : [z]	0.090	0.961	0.165	800|1316
[i] : [ə]	0.096	0.402	0.154	26193|31
[ʦ] : [s]	0.080	0.965	0.148	1636|13816
[z] : [ʒ]	0.078	0.947	0.144	1316|564
[ʣː] : [ʦː]	0.078	0.949	0.144	1473|3356
[ʤ] : [ʒ]	0.077	0.965	0.143	1179|564
[gʲ] : [ʤ]	0.072	0.985	0.135	529|1179
[g] : [dʲ]	0.074	0.629	0.133	7182|22
[j] : [gːʲ]	0.076	0.498	0.132	7360|17
[kʲ] : [g]	0.065	0.938	0.122	1096|7182
[l] : [ɖ]	0.067	0.471	0.118	19045|9
