CORR	DIST	REPR	IDIO	FREQ
[gʲ] : [dʲ]	0.645	0.647	0.646	529|22
[ʦ] : [sː]	0.431	0.972	0.597	1636|1388
[kːʲ] : [tːʲ]	0.563	0.556	0.559	1170|22
[zː] : [ʣː]	0.485	0.570	0.524	4|1473
[ʎː] : [ɟ]	0.409	0.568	0.476	2511|1
[nː] : [ɲː]	0.292	0.990	0.451	810|2289
[zː] : [z]	0.360	0.566	0.440	4|1316
[lː] : [ɖ]	0.390	0.485	0.432	6313|9
[gːʲ] : [ʤː]	0.363	0.529	0.430	17|1265
[vː] : [v]	0.274	0.999	0.430	6|3803
[u] : [u̞]	0.305	0.570	0.397	9128|1
[ɣ] : [gː]	0.338	0.465	0.391	785|2
[ɲ] : [-]	0.308	0.515	0.385	81|0
[kː] : [gː]	0.303	0.527	0.385	4560|2
[s] : [ɕ]	0.277	0.571	0.373	13816|2
[l] : [ḙ]	0.287	0.495	0.364	19045|5
[sː] : [ʦː]	0.222	0.981	0.362	1388|3356
[ʎ] : [gːʲ]	0.296	0.455	0.358	24|17
[j] : [tːʲ]	0.256	0.563	0.352	7360|22
[-] : [o]	0.211	0.988	0.348	0|59374
[z] : [ʣ]	0.212	0.965	0.347	1316|800
[tː] : [dː]	0.255	0.501	0.338	5225|15
[ʤː] : [ʒ]	0.201	0.962	0.333	1265|564
[dːʲ] : [gːʲ]	0.287	0.387	0.330	7|17
[d] : [dː]	0.246	0.493	0.328	6797|15
[dːʲ] : [ʎ]	0.276	0.404	0.328	7|24
[g] : [gː]	0.234	0.524	0.324	7182|2
[g] : [dʲ]	0.199	0.649	0.304	7182|22
[ʤ] : [ʒ]	0.171	0.954	0.290	1179|564
[-] : [h]	0.174	0.788	0.285	0|1996
[z] : [ʒ]	0.166	0.938	0.282	1316|564
[v] : [-]	0.162	0.999	0.279	3803|0
[zː] : [ʦː]	0.182	0.575	0.276	4|3356
[ə] : [e]	0.194	0.455	0.272	31|24334
[b] : [bː]	0.156	0.982	0.270	9134|452
[dʲ] : [d]	0.171	0.599	0.266	22|6797
[a] : [æ]	0.170	0.495	0.253	70241|6
[ʎ] : [ʎː]	0.146	0.715	0.242	24|2511
[tʲ] : [t]	0.145	0.697	0.240	71|15698
[ʦ] : [ʣː]	0.128	0.954	0.225	1636|1473
[ə] : [o]	0.142	0.455	0.217	31|59374
[kʲ] : [tʲ]	0.127	0.670	0.213	1096|71
[kː] : [-]	0.119	0.968	0.212	4560|0
[-] : [x]	0.130	0.480	0.204	0|333
[β] : [ɸ]	0.119	0.698	0.204	238|1666
[-] : [fː]	0.113	0.998	0.203	0|183
[s] : [ʃ]	0.113	0.922	0.201	13816|3407
[ð] : [dː]	0.130	0.441	0.200	775|15
[ʤ] : [ʤː]	0.108	0.988	0.195	1179|1265
[k] : [-]	0.108	0.941	0.193	10703|0
[-] : [e]	0.107	0.987	0.193	0|24334
[j] : [tʲ]	0.109	0.689	0.189	7360|71
[zː] : [s]	0.111	0.573	0.186	4|13816
[kː] : [tːʲ]	0.108	0.569	0.181	4560|22
[dː] : [t]	0.102	0.540	0.171	15|15698
[ʧ] : [ʃ]	0.093	0.919	0.169	8160|3407
[ʣː] : [ʣ]	0.092	0.967	0.168	1473|800
[ʃ] : [ɕ]	0.096	0.559	0.164	3407|2
[θ] : [d]	0.091	0.823	0.164	3653|6797
[ə] : [i]	0.099	0.455	0.162	31|26193
[dː] : [θ]	0.093	0.499	0.157	15|3653
[z] : [s]	0.081	0.957	0.149	1316|13816
[l] : [ɖ]	0.083	0.482	0.142	19045|9
[-] : [ɟ]	0.083	0.399	0.138	0|1
[-] : [gː]	0.085	0.362	0.138	0|2
[w] : [-]	0.072	0.987	0.134	1672|0
[r] : [rː]	0.071	0.967	0.133	26812|540
[ɸ] : [pː]	0.071	0.856	0.131	1666|1484
[h] : [k]	0.071	0.862	0.131	1996|10703
[ɲ] : [ɲː]	0.072	0.679	0.130	81|2289
[n] : [ɲ]	0.070	0.761	0.129	24546|81
[ʦ] : [ʦː]	0.069	0.967	0.128	1636|3356
[-] : [ɖ]	0.077	0.321	0.125	0|9
[n] : [ŋ]	0.070	0.468	0.122	24546|27
[m] : [mː]	0.064	0.993	0.121	10648|430
[x] : [k]	0.063	0.692	0.116	333|10703
[β] : [bː]	0.060	0.781	0.111	238|452
[j] : [kːʲ]	0.053	0.921	0.101	7360|1170
[kː] : [kːʲ]	0.052	0.937	0.099	4560|1170
[ʃ] : [ʒ]	0.049	0.923	0.094	3407|564
[dːʲ] : [ʎː]	0.050	0.562	0.092	7|2511
[j] : [kʲ]	0.048	0.906	0.091	7360|1096
[dː] : [h]	0.049	0.515	0.089	15|1996
[x] : [h]	0.048	0.646	0.089	333|1996
[sː] : [ʣː]	0.046	0.967	0.088	1388|1473
[r] : [ʎ]	0.042	0.583	0.078	26812|24
[g] : [gʲ]	0.038	0.937	0.074	7182|529
[ʤ] : [dʲ]	0.036	0.655	0.069	1179|22
[-] : [j]	0.034	0.923	0.066	0|7360
[ʣ] : [ʦ]	0.033	0.968	0.064	800|1636
[ʎː] : [gːʲ]	0.033	0.551	0.062	2511|17
[gʲ] : [j]	0.029	0.932	0.056	529|7360
[g] : [-]	0.029	0.951	0.056	7182|0
[-] : [dːʲ]	0.027	0.371	0.050	0|7
[ʎ] : [l]	0.025	0.709	0.048	24|19045
[gʲ] : [ʤ]	0.024	0.955	0.047	529|1179
[i̞] : [i]	0.022	0.597	0.043	4|26193
[-] : [i]	0.021	0.992	0.041	0|26193
[ʦ] : [s]	0.021	0.963	0.040	1636|13816
[-] : [gːʲ]	0.021	0.382	0.039	0|17
[ʣː] : [ʦː]	0.019	0.963	0.037	1473|3356
[zː] : [ʣ]	0.012	0.576	0.024	4|800
[n] : [õ]	0.010	0.541	0.019	24546|11
[ð] : [d]	0.009	0.768	0.017	775|6797
[θ] : [t]	0.008	0.814	0.016	3653|15698
[nː] : [ɲ]	0.006	0.757	0.012	810|81
[ɸ] : [p]	0.003	0.841	0.006	1666|12429
[ʣ] : [-]	0.003	0.988	0.005	800|0
[θ] : [h]	0.003	0.760	0.005	3653|1996
[d] : [-]	0.002	0.940	0.004	6797|0
[g] : [ɣ]	0.002	0.776	0.003	7182|785
[b] : [β]	0.001	0.769	0.002	9134|238
[β] : [b]	-0.001	0.784	-0.002	238|9134
[ɣ] : [g]	-0.002	0.771	-0.003	785|7182
[-] : [d]	-0.002	0.938	-0.004	0|6797
[p] : [ɸ]	-0.003	0.843	-0.006	12429|1666
[ɲ] : [nː]	-0.006	0.679	-0.012	81|810
[t] : [θ]	-0.008	0.806	-0.016	15698|3653
[d] : [ð]	-0.009	0.750	-0.018	6797|775
[õ] : [n]	-0.010	0.586	-0.020	11|24546
[ʦː] : [ʣː]	-0.019	0.962	-0.038	3356|1473
[s] : [ʦ]	-0.021	0.964	-0.042	13816|1636
[i] : [i̞]	-0.022	0.551	-0.046	26193|4
[ʤ] : [gʲ]	-0.024	0.950	-0.050	1179|529
[l] : [ʎ]	-0.025	0.581	-0.052	19045|24
[-] : [g]	-0.029	0.949	-0.059	0|7182
[j] : [gʲ]	-0.029	0.928	-0.060	7360|529
[ʦ] : [ʣ]	-0.033	0.971	-0.069	1636|800
[gːʲ] : [ʎː]	-0.033	0.527	-0.070	17|2511
[j] : [-]	-0.034	0.933	-0.071	7360|0
[kʲ] : [j]	-0.048	0.894	-0.101	1096|7360
[h] : [x]	-0.048	0.598	-0.104	1996|333
[ʒ] : [ʃ]	-0.049	0.913	-0.104	564|3407
[kːʲ] : [kː]	-0.052	0.930	-0.110	1170|4560
[ʎː] : [dːʲ]	-0.050	0.539	-0.110	2511|7
[kːʲ] : [j]	-0.053	0.909	-0.113	1170|7360
[bː] : [β]	-0.060	0.769	-0.130	452|238
[mː] : [m]	-0.064	0.994	-0.137	430|10648
[k] : [x]	-0.063	0.635	-0.141	10703|333
[rː] : [r]	-0.071	0.956	-0.154	540|26812
[k] : [h]	-0.071	0.858	-0.154	10703|1996
[-] : [w]	-0.072	0.988	-0.155	0|1672
[ŋ] : [n]	-0.070	0.686	-0.156	27|24546
[ɲ] : [n]	-0.070	0.680	-0.157	81|24546
[ɲː] : [ɲ]	-0.072	0.758	-0.159	2289|81
[s] : [z]	-0.081	0.954	-0.176	13816|1316
[ʃ] : [ʧ]	-0.093	0.937	-0.206	3407|8160
[θ] : [dː]	-0.093	0.459	-0.235	3653|15
[ʤː] : [ʤ]	-0.108	0.982	-0.243	1265|1179
[-] : [k]	-0.108	0.941	-0.243	0|10703
[t] : [dː]	-0.102	0.490	-0.257	15698|15
[ʃ] : [s]	-0.113	0.941	-0.257	3407|13816
[tʲ] : [j]	-0.109	0.699	-0.260	71|7360
[-] : [kː]	-0.119	0.967	-0.272	0|4560
[tʲ] : [kʲ]	-0.127	0.686	-0.311	71|1096
[x] : [-]	-0.130	0.548	-0.339	333|0
[t] : [tʲ]	-0.145	0.686	-0.367	15698|71
[bː] : [b]	-0.156	0.986	-0.371	452|9134
[ʎː] : [ʎ]	-0.146	0.584	-0.388	2511|24
[ʒ] : [ʤ]	-0.171	0.964	-0.416	564|1179
