CORR	DIST	REPR	IDIO	FREQ
[θ] : [t]	0.288	0.893	0.436	3653|15698
[ʤː] : [ʒ]	0.269	0.954	0.419	1265|564
[h] : [k]	0.265	0.906	0.410	1996|10703
[ɲː] : [nː]	0.245	0.991	0.393	2289|810
[ʤ] : [ʒ]	0.243	0.949	0.387	1179|564
[ɸ] : [p]	0.238	0.913	0.377	1666|12429
[g] : [gʲ]	0.198	0.922	0.327	7182|529
[z] : [ʒ]	0.197	0.929	0.325	1316|564
[x] : [k]	0.189	0.666	0.294	333|10703
[ɲ] : [-]	0.190	0.543	0.282	81|0
[ð] : [d]	0.167	0.822	0.278	775|6797
[z] : [ʣ]	0.161	0.965	0.276	1316|800
[sː] : [ʦː]	0.155	0.979	0.268	1388|3356
[ɣ] : [g]	0.155	0.836	0.261	785|7182
[ʧ] : [ʃ]	0.146	0.915	0.252	8160|3407
[d] : [-]	0.145	0.921	0.251	6797|0
[h] : [θ]	0.144	0.716	0.240	1996|3653
[ʤ] : [ʤː]	0.124	0.991	0.220	1179|1265
[ʃ] : [ʃː]	0.121	0.959	0.215	3407|1376
[r] : [l]	0.119	0.973	0.213	26812|19045
[ʃ] : [ʒ]	0.112	0.919	0.200	3407|564
[sː] : [ʦ]	0.110	0.970	0.198	1388|1636
[-] : [g]	0.107	0.963	0.192	0|7182
[-] : [fː]	0.106	0.998	0.192	0|183
[s] : [ʦ]	0.094	0.968	0.172	13816|1636
[β] : [b]	0.089	0.815	0.161	238|9134
[gʲ] : [j]	0.085	0.940	0.156	529|7360
[gʲ] : [ʤ]	0.084	0.960	0.155	529|1179
[β] : [bː]	0.084	0.810	0.152	238|452
[θ] : [d]	0.066	0.903	0.122	3653|6797
[-] : [v]	0.065	0.998	0.122	0|3803
[ʦ] : [ʣ]	0.061	0.963	0.115	1636|800
[kːʲ] : [j]	0.061	0.922	0.114	1170|7360
[kʲ] : [tʲ]	0.062	0.665	0.114	1096|71
[ʣː] : [ʣ]	0.056	0.969	0.106	1473|800
[ɸ] : [β]	0.057	0.686	0.105	1666|238
[rː] : [r]	0.055	0.972	0.104	540|26812
[kʲ] : [j]	0.051	0.908	0.096	1096|7360
[i] : [-]	0.049	0.994	0.094	26193|0
[s] : [ʃ]	0.048	0.913	0.090	13816|3407
[-] : [kː]	0.042	0.965	0.080	0|4560
[j] : [-]	0.040	0.933	0.077	7360|0
[-] : [x]	0.041	0.492	0.075	0|333
[h] : [x]	0.040	0.631	0.075	1996|333
[e] : [-]	0.038	0.990	0.074	24334|0
[ɲ] : [nː]	0.037	0.701	0.070	81|810
[n] : [ɲ]	0.036	0.750	0.068	24546|81
[-] : [k]	0.031	0.935	0.059	0|10703
[ʦ] : [ʦː]	0.028	0.958	0.054	1636|3356
[kːʲ] : [kː]	0.026	0.944	0.050	1170|4560
[s] : [z]	0.018	0.950	0.036	13816|1316
[sː] : [ʣː]	0.016	0.965	0.031	1388|1473
[x] : [ɣ]	0.014	0.544	0.028	333|785
[w] : [-]	0.012	0.991	0.023	1672|0
[b] : [bː]	0.011	0.978	0.022	9134|452
[ʦː] : [ʣː]	0.009	0.962	0.017	3356|1473
[tʲ] : [t]	0.008	0.693	0.017	71|15698
[tʲ] : [j]	0.008	0.688	0.016	71|7360
[-] : [h]	0.008	0.717	0.015	0|1996
[m] : [mː]	0.006	0.994	0.013	10648|430
[ɲ] : [ɲː]	0.006	0.702	0.012	81|2289
[h] : [ɣ]	0.005	0.693	0.011	1996|785
[-] : [o]	0.003	0.982	0.005	0|59374
[ɸ] : [pː]	0.001	0.926	0.002	1666|1484
