CORR	DIST	REPR	IDIO	FREQ
[ɲː] : [nː]	0.264	0.991	0.417	2289|810
[θ] : [t]	0.271	0.886	0.416	3653|15698
[ʤː] : [ʒ]	0.255	0.955	0.403	1265|564
[h] : [k]	0.253	0.903	0.395	1996|10703
[ɸ] : [p]	0.224	0.906	0.359	1666|12429
[ʤ] : [ʒ]	0.209	0.948	0.342	1179|564
[g] : [gʲ]	0.209	0.925	0.341	7182|529
[z] : [ʒ]	0.206	0.931	0.337	1316|564
[β] : [bː]	0.179	0.810	0.293	238|452
[ɲ] : [-]	0.190	0.525	0.279	81|0
[ð] : [d]	0.166	0.818	0.276	775|6797
[x] : [k]	0.172	0.664	0.273	333|10703
[d] : [-]	0.155	0.924	0.265	6797|0
[ɣ] : [g]	0.152	0.831	0.256	785|7182
[-] : [v]	0.141	0.998	0.246	0|3803
[ʧ] : [ʃ]	0.133	0.914	0.232	8160|3407
[ʤ] : [ʤː]	0.121	0.990	0.216	1179|1265
[h] : [θ]	0.127	0.710	0.216	1996|3653
[sː] : [ʦ]	0.112	0.971	0.201	1388|1636
[ʃ] : [ʃː]	0.108	0.956	0.194	3407|1376
[ʃ] : [ʒ]	0.106	0.916	0.190	3407|564
[-] : [fː]	0.099	0.998	0.180	0|183
[β] : [b]	0.099	0.816	0.177	238|9134
[gʲ] : [ʤ]	0.088	0.955	0.162	529|1179
[-] : [x]	0.095	0.500	0.160	0|333
[s] : [ʦ]	0.086	0.967	0.158	13816|1636
[θ] : [d]	0.082	0.896	0.150	3653|6797
[sː] : [ʦː]	0.081	0.980	0.149	1388|3356
[ɸ] : [β]	0.082	0.670	0.147	1666|238
[ɲ] : [nː]	0.071	0.685	0.128	81|810
[-] : [g]	0.063	0.964	0.119	0|7182
[e] : [-]	0.058	0.990	0.110	24334|0
[-] : [h]	0.059	0.708	0.109	0|1996
[ʣ] : [z]	0.057	0.953	0.108	800|1316
[h] : [x]	0.058	0.636	0.107	1996|333
[gʲ] : [j]	0.055	0.935	0.105	529|7360
[ʦ] : [ʣ]	0.055	0.964	0.104	1636|800
[kːʲ] : [j]	0.055	0.920	0.104	1170|7360
[n] : [ɲ]	0.051	0.761	0.096	24546|81
[s] : [ʃ]	0.046	0.913	0.088	13816|3407
[-] : [kː]	0.045	0.964	0.086	0|4560
[i] : [-]	0.043	0.994	0.083	26193|0
[b] : [bː]	0.042	0.977	0.081	9134|452
[kʲ] : [j]	0.038	0.905	0.074	1096|7360
[m] : [mː]	0.037	0.994	0.071	10648|430
[j] : [-]	0.037	0.933	0.071	7360|0
[-] : [k]	0.033	0.935	0.064	0|10703
[kʲ] : [tʲ]	0.031	0.666	0.059	1096|71
[t] : [tʲ]	0.025	0.675	0.048	15698|71
[rː] : [r]	0.022	0.968	0.043	540|26812
[ʦ] : [ʦː]	0.019	0.960	0.037	1636|3356
[s] : [z]	0.018	0.948	0.036	13816|1316
[kːʲ] : [kː]	0.015	0.941	0.029	1170|4560
[ʣ] : [ʣː]	0.012	0.968	0.023	800|1473
[ɲ] : [ɲː]	0.010	0.687	0.019	81|2289
[o] : [-]	0.009	0.990	0.019	59374|0
[ʦː] : [ʣː]	0.009	0.963	0.018	3356|1473
[tʲ] : [j]	0.009	0.674	0.017	71|7360
[-] : [w]	0.002	0.986	0.004	0|1672
[w] : [-]	-0.002	0.991	-0.004	1672|0
[j] : [tʲ]	-0.009	0.677	-0.018	7360|71
[ʣː] : [ʦː]	-0.009	0.964	-0.018	1473|3356
[ɲː] : [ɲ]	-0.010	0.759	-0.020	2289|81
[ʣː] : [ʣ]	-0.012	0.968	-0.023	1473|800
[kː] : [kːʲ]	-0.015	0.929	-0.030	4560|1170
[z] : [s]	-0.018	0.958	-0.037	1316|13816
[ʦː] : [ʦ]	-0.019	0.968	-0.039	3356|1636
[r] : [rː]	-0.022	0.958	-0.045	26812|540
[tʲ] : [t]	-0.025	0.679	-0.052	71|15698
[tʲ] : [kʲ]	-0.031	0.658	-0.064	71|1096
[k] : [-]	-0.033	0.958	-0.068	10703|0
[mː] : [m]	-0.037	0.993	-0.077	430|10648
[-] : [j]	-0.037	0.920	-0.077	0|7360
[j] : [kʲ]	-0.038	0.896	-0.080	7360|1096
[bː] : [b]	-0.042	0.989	-0.088	452|9134
[kː] : [-]	-0.045	0.970	-0.095	4560|0
[ʃ] : [s]	-0.046	0.942	-0.097	3407|13816
[ɲ] : [n]	-0.051	0.688	-0.111	81|24546
[ʣ] : [ʦ]	-0.055	0.973	-0.117	800|1636
[j] : [kːʲ]	-0.055	0.911	-0.117	7360|1170
[j] : [gʲ]	-0.055	0.922	-0.118	7360|529
[z] : [ʣ]	-0.057	0.967	-0.122	1316|800
[-] : [e]	-0.058	0.985	-0.124	0|24334
[h] : [-]	-0.059	0.873	-0.127	1996|0
[x] : [h]	-0.058	0.596	-0.130	333|1996
[g] : [-]	-0.063	0.939	-0.136	7182|0
[nː] : [ɲ]	-0.071	0.760	-0.155	810|81
[ʦː] : [sː]	-0.081	0.983	-0.176	3356|1388
[ʦ] : [s]	-0.086	0.956	-0.190	1636|13816
[ʤ] : [gʲ]	-0.088	0.946	-0.195	1179|529
[b] : [β]	-0.099	0.707	-0.231	9134|238
[x] : [-]	-0.095	0.514	-0.234	333|0
[ʒ] : [ʃ]	-0.106	0.910	-0.240	564|3407
[ʦ] : [sː]	-0.112	0.966	-0.253	1636|1388
[ʃ] : [ʧ]	-0.133	0.936	-0.310	3407|8160
[g] : [ɣ]	-0.152	0.704	-0.387	7182|785
[d] : [ð]	-0.166	0.675	-0.441	6797|775
[k] : [x]	-0.172	0.657	-0.466	10703|333
[ʒ] : [ʤ]	-0.209	0.964	-0.532	564|1179
[p] : [ɸ]	-0.224	0.771	-0.629	12429|1666
[k] : [h]	-0.253	0.815	-0.734	10703|1996
[t] : [θ]	-0.271	0.725	-0.868	15698|3653
