CORR	DIST	REPR	IDIO	FREQ
[ʒ] : [ʤ]	0.285	0.943	0.438	564|1179
[ʒ] : [ʤː]	0.253	0.948	0.399	564|1265
[ʃ] : [ʧ]	0.248	0.913	0.390	3407|8160
[-] : [ɲ]	0.308	0.526	0.389	0|81
[t] : [θ]	0.241	0.866	0.377	15698|3653
[ɲː] : [nː]	0.209	0.991	0.345	2289|810
[k] : [h]	0.214	0.886	0.345	10703|1996
[ʣ] : [ʣː]	0.200	0.968	0.332	800|1473
[p] : [ɸ]	0.194	0.888	0.318	12429|1666
[h] : [-]	0.205	0.699	0.317	1996|0
[ʤː] : [ʤ]	0.187	0.991	0.314	1265|1179
[ɣ] : [h]	0.193	0.667	0.299	785|1996
[l] : [r]	0.169	0.976	0.289	19045|26812
[x] : [-]	0.203	0.487	0.286	333|0
[ʃ] : [ʒ]	0.160	0.905	0.273	3407|564
[ɣ] : [x]	0.181	0.535	0.270	785|333
[d] : [ð]	0.161	0.803	0.269	6797|775
[bː] : [β]	0.156	0.799	0.260	452|238
[-] : [d]	0.150	0.925	0.258	0|6797
[ʦ] : [sː]	0.139	0.974	0.243	1636|1388
[ʒ] : [z]	0.139	0.919	0.242	564|1316
[o] : [-]	0.133	0.985	0.235	59374|0
[k] : [x]	0.142	0.668	0.235	10703|333
[g] : [ɣ]	0.137	0.814	0.234	7182|785
[ʦː] : [sː]	0.124	0.980	0.221	3356|1388
[ʦ] : [s]	0.123	0.968	0.218	1636|13816
[b] : [β]	0.104	0.805	0.185	9134|238
[ʣ] : [ʦ]	0.100	0.964	0.182	800|1636
[tʲ] : [kʲ]	0.099	0.683	0.174	71|1096
[ʤ] : [gʲ]	0.092	0.945	0.168	1179|529
[ʣ] : [z]	0.091	0.960	0.167	800|1316
[-] : [i]	0.082	0.993	0.152	0|26193
[bː] : [b]	0.081	0.978	0.150	452|9134
[ʦː] : [ʦ]	0.075	0.960	0.139	3356|1636
[-] : [j]	0.071	0.927	0.132	0|7360
[fː] : [-]	0.066	0.997	0.124	183|0
[v] : [-]	0.056	0.999	0.105	3803|0
[e] : [-]	0.054	0.985	0.103	24334|0
[j] : [gʲ]	0.053	0.933	0.100	7360|529
[nː] : [ɲ]	0.050	0.688	0.094	810|81
[s] : [ʃ]	0.046	0.943	0.087	13816|3407
[ɲ] : [ɲː]	0.046	0.777	0.086	81|2289
[rː] : [r]	0.044	0.967	0.084	540|26812
[ʣː] : [ʦː]	0.040	0.963	0.076	1473|3356
[ɲ] : [n]	0.038	0.778	0.073	81|24546
[g] : [-]	0.037	0.967	0.072	7182|0
[s] : [z]	0.036	0.955	0.069	13816|1316
[ɸ] : [β]	0.034	0.649	0.065	1666|238
[j] : [kːʲ]	0.031	0.919	0.061	7360|1170
[kːʲ] : [kː]	0.031	0.925	0.061	1170|4560
[-] : [w]	0.028	0.989	0.054	0|1672
[tʲ] : [j]	0.028	0.695	0.053	71|7360
[x] : [h]	0.026	0.617	0.051	333|1996
[bː] : [pː]	0.023	0.985	0.044	452|1484
[x] : [kː]	0.021	0.648	0.042	333|4560
[-] : [kː]	0.019	0.969	0.038	0|4560
[j] : [kʲ]	0.017	0.903	0.033	7360|1096
[-] : [k]	0.016	0.952	0.031	0|10703
[gʲ] : [g]	0.015	0.925	0.029	529|7182
[tʲ] : [t]	0.014	0.693	0.028	71|15698
[m] : [mː]	0.011	0.992	0.022	10648|430
[z] : [ʣː]	0.009	0.942	0.017	1316|1473
[gʲ] : [ɣ]	0.003	0.792	0.006	529|785
[θ] : [d]	0.001	0.708	0.003	3653|6797
[d] : [θ]	-0.001	0.875	-0.003	6797|3653
[mː] : [m]	-0.011	0.996	-0.023	430|10648
[t] : [tʲ]	-0.014	0.683	-0.029	15698|71
[k] : [-]	-0.016	0.935	-0.032	10703|0
[kʲ] : [j]	-0.017	0.893	-0.035	1096|7360
[kː] : [-]	-0.019	0.965	-0.039	4560|0
[h] : [x]	-0.026	0.596	-0.055	1996|333
[w] : [-]	-0.028	0.987	-0.057	1672|0
[j] : [tʲ]	-0.028	0.678	-0.058	7360|71
[kː] : [kːʲ]	-0.031	0.939	-0.065	4560|1170
[kːʲ] : [j]	-0.031	0.906	-0.065	1170|7360
[z] : [s]	-0.036	0.952	-0.074	1316|13816
[-] : [g]	-0.037	0.942	-0.078	0|7182
[n] : [ɲ]	-0.038	0.689	-0.081	24546|81
[ʦː] : [ʣː]	-0.040	0.964	-0.083	3356|1473
[r] : [rː]	-0.044	0.965	-0.092	26812|540
[ʃ] : [s]	-0.046	0.908	-0.096	3407|13816
[ɲː] : [ɲ]	-0.046	0.687	-0.098	2289|81
[ɲ] : [nː]	-0.050	0.775	-0.107	81|810
[gʲ] : [j]	-0.053	0.917	-0.113	529|7360
[-] : [e]	-0.054	0.988	-0.115	0|24334
[j] : [-]	-0.071	0.924	-0.154	7360|0
[b] : [bː]	-0.081	0.988	-0.177	9134|452
[z] : [ʣ]	-0.091	0.960	-0.202	1316|800
[ʦ] : [ʣ]	-0.100	0.977	-0.224	1636|800
[kʲ] : [tʲ]	-0.099	0.660	-0.234	1096|71
[β] : [b]	-0.104	0.692	-0.246	238|9134
[s] : [ʦ]	-0.123	0.958	-0.282	13816|1636
[sː] : [ʦ]	-0.139	0.967	-0.324	1388|1636
[z] : [ʒ]	-0.139	0.949	-0.326	1316|564
[ɣ] : [g]	-0.137	0.696	-0.341	785|7182
[x] : [k]	-0.142	0.644	-0.366	333|10703
[β] : [bː]	-0.156	0.692	-0.401	238|452
[ð] : [d]	-0.161	0.661	-0.427	775|6797
[ɸ] : [p]	-0.194	0.756	-0.522	1666|12429
[-] : [h]	-0.205	0.842	-0.542	0|1996
[h] : [k]	-0.214	0.806	-0.583	1996|10703
[-] : [x]	-0.203	0.519	-0.664	0|333
[ʧ] : [ʃ]	-0.248	0.927	-0.678	8160|3407
[θ] : [t]	-0.241	0.706	-0.734	3653|15698
[ʤ] : [ʒ]	-0.285	0.957	-0.812	1179|564
