CORR	DIST	REPR	IDIO
[tː] -> [dː]	0.265	0.410	0.322
[ʒ] -> [ʤː]	0.191	0.697	0.299
[ʒ] -> [ʤ]	0.174	0.660	0.275
[nː] -> [ɲː]	0.172	0.675	0.274
[k] -> [h]	0.189	0.479	0.271
[gːʲ] -> [ʤː]	0.215	0.322	0.258
[t] -> [θ]	0.200	0.315	0.245
[gʲ] -> [g]	0.141	0.693	0.234
[p] -> [ɸ]	0.166	0.384	0.232
[ʒ] -> [z]	0.135	0.650	0.223
[k] -> [x]	0.136	0.431	0.207
[ʣ] -> [z]	0.115	0.652	0.195
[ʦː] -> [sː]	0.107	0.682	0.185
[ʃ] -> [ʧ]	0.104	0.641	0.179
[g] -> [dʲ]	0.111	0.439	0.178
[θ] -> [h]	0.105	0.460	0.171
[ʤː] -> [ʤ]	0.096	0.676	0.168
[d] -> [ð]	0.114	0.305	0.166
[g] -> [ɣ]	0.108	0.349	0.165
[v] -> [vː]	0.093	0.435	0.153
[l] -> [r]	0.084	0.665	0.149
[ʒ] -> [ʃ]	0.081	0.653	0.144
[ʃː] -> [ʃ]	0.077	0.653	0.138
[ʦ] -> [sː]	0.067	0.648	0.121
[ʎː] -> [ʎ]	0.066	0.481	0.116
[gːʲ] -> [ʎ]	0.073	0.266	0.115
[b] -> [β]	0.065	0.395	0.112
[bː] -> [β]	0.061	0.397	0.106
[ʤ] -> [gʲ]	0.057	0.647	0.105
[ʣ] -> [ʦ]	0.055	0.699	0.102
[j] -> [gʲ]	0.055	0.627	0.101
[ʦ] -> [s]	0.055	0.643	0.101
[ʣ] -> [ʣː]	0.053	0.648	0.098
[ʎ] -> [l]	0.052	0.339	0.090
[n] -> [õ]	0.052	0.268	0.088
[fː] -> [f]	0.046	0.713	0.086
[tʲ] -> [kʲ]	0.045	0.446	0.082
[d] -> [θ]	0.044	0.314	0.078
[j] -> [kːʲ]	0.039	0.614	0.074
[β] -> [ɸ]	0.039	0.345	0.069
[ʃ] -> [s]	0.035	0.647	0.066
[r] -> [rː]	0.033	0.626	0.063
[r] -> [ʎ]	0.033	0.474	0.062
[nː] -> [ɲ]	0.032	0.532	0.061
[ʤ] -> [dʲ]	0.030	0.447	0.057
[j] -> [kʲ]	0.030	0.595	0.057
[j] -> [ʎː]	0.029	0.660	0.056
[ʦː] -> [ʦ]	0.026	0.702	0.050
[x] -> [h]	0.025	0.354	0.047
[dʲ] -> [d]	0.025	0.408	0.047
[ɲ] -> [n]	0.021	0.471	0.040
[dʲ] -> [gʲ]	0.016	0.391	0.032
[ɲː] -> [ɲ]	0.015	0.541	0.029
[z] -> [s]	0.012	0.647	0.024
[ʣː] -> [ʦː]	0.012	0.667	0.023
[kː] -> [kːʲ]	0.012	0.629	0.023
[ɣ] -> [x]	0.012	0.394	0.023
[bː] -> [b]	0.009	0.684	0.018
[gːʲ] -> [ʎː]	0.008	0.320	0.016
[ɣ] -> [h]	0.007	0.433	0.013
[ʣː] -> [sː]	0.002	0.646	0.005
