CORR	DIST	REPR	IDIO
[tː] -> [dː]	0.263	0.427	0.325
[nː] -> [ɲː]	0.184	0.675	0.289
[ʒ] -> [ʤː]	0.181	0.696	0.288
[k] -> [h]	0.180	0.470	0.260
[gːʲ] -> [ʤː]	0.217	0.320	0.259
[gʲ] -> [g]	0.148	0.687	0.244
[ʒ] -> [ʤ]	0.149	0.659	0.243
[t] -> [θ]	0.189	0.314	0.236
[ʒ] -> [z]	0.140	0.645	0.230
[p] -> [ɸ]	0.157	0.385	0.223
[k] -> [x]	0.122	0.455	0.192
[bː] -> [β]	0.127	0.366	0.189
[d] -> [ð]	0.114	0.296	0.165
[ʤː] -> [ʤ]	0.094	0.677	0.165
[ʃ] -> [ʧ]	0.094	0.639	0.164
[g] -> [ɣ]	0.107	0.340	0.163
[v] -> [vː]	0.096	0.451	0.159
[θ] -> [h]	0.093	0.449	0.154
[g] -> [dʲ]	0.084	0.407	0.140
[ʒ] -> [ʃ]	0.076	0.650	0.136
[ʃː] -> [ʃ]	0.069	0.654	0.125
[ʦ] -> [sː]	0.066	0.648	0.120
[b] -> [β]	0.071	0.364	0.118
[gːʲ] -> [ʎ]	0.073	0.270	0.115
[ʎː] -> [ʎ]	0.063	0.499	0.113
[ʤ] -> [gʲ]	0.059	0.652	0.108
[ʦː] -> [sː]	0.054	0.682	0.099
[β] -> [ɸ]	0.057	0.346	0.098
[nː] -> [ɲ]	0.054	0.549	0.098
[d] -> [θ]	0.057	0.313	0.096
[ʣ] -> [ʦ]	0.051	0.701	0.096
[ʎ] -> [l]	0.054	0.336	0.093
[ʦ] -> [s]	0.048	0.644	0.089
[fː] -> [f]	0.045	0.715	0.084
[dʲ] -> [d]	0.046	0.426	0.083
[n] -> [õ]	0.048	0.287	0.083
[ʤ] -> [dʲ]	0.044	0.413	0.079
[x] -> [h]	0.041	0.348	0.073
[z] -> [ʣ]	0.036	0.656	0.068
[j] -> [kːʲ]	0.036	0.619	0.068
[kː] -> [tːʲ]	0.036	0.420	0.067
[ʃ] -> [s]	0.033	0.645	0.063
[j] -> [gʲ]	0.033	0.632	0.063
[ɲ] -> [n]	0.033	0.456	0.061
[j] -> [ʎː]	0.032	0.660	0.061
[bː] -> [b]	0.031	0.685	0.059
[j] -> [gːʲ]	0.027	0.342	0.049
[mː] -> [m]	0.021	0.684	0.042
[ʦː] -> [ʦ]	0.021	0.704	0.041
[j] -> [kʲ]	0.020	0.599	0.039
[tʲ] -> [kʲ]	0.020	0.442	0.039
[ɲː] -> [ɲ]	0.015	0.559	0.030
[gːʲ] -> [ʎː]	0.014	0.317	0.027
[z] -> [s]	0.012	0.647	0.024
[r] -> [rː]	0.012	0.634	0.023
[ʣ] -> [ʣː]	0.011	0.652	0.022
[ʣː] -> [ʦː]	0.011	0.666	0.021
[kː] -> [kːʲ]	0.011	0.635	0.021
[gʲ] -> [dʲ]	0.010	0.411	0.020
[j] -> [ʎ]	0.006	0.483	0.011
[tʲ] -> [j]	0.004	0.465	0.008
[j] -> [tːʲ]	0.004	0.413	0.008
[-] -> [d]	0.105	0.000	0.000
[-] -> [e]	0.002	0.000	0.000
[-] -> [g]	-0.035	0.000	0.000
[-] -> [h]	-0.042	0.000	0.000
[-] -> [i]	0.031	0.000	0.000
[-] -> [j]	-0.004	0.000	0.000
[-] -> [k]	-0.026	0.000	0.000
[-] -> [kː]	-0.032	0.000	0.000
[-] -> [l]	0.044	0.000	0.000
[-] -> [lː]	-0.013	0.000	0.000
[-] -> [o]	0.022	0.000	0.000
[-] -> [w]	-0.003	0.000	0.000
[-] -> [x]	-0.065	0.000	0.000
[dː] -> [d]	0.192	0.000	0.000
[dː] -> [h]	0.026	0.000	0.000
[dː] -> [t]	0.022	0.000	0.000
[dː] -> [ð]	0.105	0.000	0.000
[dː] -> [θ]	0.100	0.000	0.000
[dːʲ] -> [ʎ]	0.025	0.000	0.000
