CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[dːʲ] : [gːʲ]	0.347	0.389	0.367	6.012	7|17
[zː] : [ʣː]	0.467	0.534	0.498	5.644	4|1473
[kːʲ] : [tːʲ]	0.606	0.600	0.603	5.565	1170|22
[vː] : [v]	0.327	1.000	0.493	5.510	6|3803
[ɟ] : [ʎː]	0.409	0.570	0.476	5.506	1|2511
[ʎ] : [gːʲ]	0.286	0.443	0.348	5.502	24|17
[dːʲ] : [ʎ]	0.309	0.420	0.356	5.496	7|24
[dːʲ] : [ʎː]	0.483	0.543	0.512	5.263	7|2511
[ɲ] : [-]	0.314	0.516	0.390	5.167	81|0
[gː] : [ɣ]	0.331	0.443	0.379	5.065	2|785
[zː] : [z]	0.346	0.531	0.419	5.044	4|1316
[gː] : [kː]	0.311	0.536	0.393	4.434	2|4560
[ɖ] : [lː]	0.402	0.497	0.444	4.428	9|6313
[ʤː] : [ʒ]	0.252	0.949	0.398	4.394	1265|564
[u] : [u̞]	0.321	0.600	0.418	4.393	9128|1
[ɕ] : [s]	0.287	0.592	0.386	3.971	2|13816
[gːʲ] : [ʤː]	0.255	0.520	0.343	3.957	17|1265
[nː] : [ɲː]	0.210	0.991	0.347	3.895	810|2289
[gː] : [g]	0.255	0.536	0.345	3.857	2|7182
[dː] : [tː]	0.280	0.484	0.355	3.831	15|5225
[x] : [ɣ]	0.182	0.534	0.272	3.537	333|785
[ð] : [dː]	0.197	0.499	0.283	3.530	775|15
[l] : [ḙ]	0.306	0.525	0.387	3.529	19045|5
[h] : [ɣ]	0.193	0.666	0.299	3.452	1996|785
[ʣː] : [ʣ]	0.197	0.968	0.327	3.292	1473|800
[j] : [tːʲ]	0.243	0.603	0.347	3.287	7360|22
[ʤ] : [ʤː]	0.185	0.991	0.312	3.135	1179|1265
[zː] : [ʦː]	0.162	0.538	0.250	3.131	4|3356
[-] : [x]	0.201	0.487	0.284	2.882	0|333
[gː] : [gʲ]	0.103	0.526	0.173	2.711	2|529
[β] : [bː]	0.154	0.800	0.258	2.682	238|452
[d] : [dː]	0.176	0.550	0.267	2.549	6797|15
[ʤ] : [ʒ]	0.284	0.943	0.436	2.536	1179|564
[-] : [h]	0.204	0.695	0.316	2.511	0|1996
[ʒ] : [ʃ]	0.164	0.906	0.277	2.491	564|3407
[ə] : [e]	0.185	0.425	0.258	2.396	31|24334
[ɕ] : [ʃ]	0.099	0.568	0.168	2.360	2|3407
[j] : [gːʲ]	0.097	0.565	0.166	2.230	7360|17
[a] : [æ]	0.179	0.518	0.267	2.195	70241|6
[kː] : [tːʲ]	0.116	0.611	0.195	2.187	4560|22
[z] : [ʒ]	0.136	0.920	0.237	2.138	1316|564
[sː] : [ʦ]	0.142	0.974	0.248	2.063	1388|1636
[d] : [-]	0.141	0.924	0.244	2.029	6797|0
[sː] : [ʦː]	0.126	0.980	0.224	2.014	1388|3356
[ʧ] : [ʃ]	0.246	0.914	0.388	1.849	8160|3407
[r] : [ʎ]	0.089	0.642	0.157	1.809	26812|24
[gʲ] : [ʤ]	0.090	0.946	0.164	1.791	529|1179
[z] : [ʣ]	0.094	0.960	0.171	1.765	1316|800
[zː] : [s]	0.082	0.538	0.142	1.763	4|13816
[r] : [l]	0.174	0.976	0.295	1.751	26812|19045
[ə] : [o]	0.131	0.425	0.200	1.724	31|59374
[dʲ] : [g]	0.097	0.591	0.167	1.710	22|7182
[ə] : [i]	0.091	0.425	0.149	1.519	31|26193
[ɖ] : [l]	0.075	0.495	0.130	1.503	9|19045
[s] : [ʦ]	0.126	0.968	0.223	1.494	13816|1636
[ʦ] : [ʣ]	0.102	0.964	0.184	1.482	1636|800
[-] : [fː]	0.065	0.997	0.123	1.468	0|183
[-] : [o]	0.133	0.985	0.234	1.447	0|59374
[x] : [k]	0.148	0.667	0.243	1.413	333|10703
[h] : [k]	0.224	0.888	0.358	1.405	1996|10703
[dʲ] : [ʤ]	0.049	0.588	0.090	1.346	22|1179
[dː] : [t]	0.085	0.478	0.144	1.345	15|15698
[ɲ] : [nː]	0.052	0.679	0.097	1.323	81|810
[ʦ] : [ʦː]	0.076	0.960	0.141	1.304	1636|3356
[zː] : [ʣ]	0.043	0.539	0.079	1.279	4|800
[i] : [-]	0.095	0.993	0.173	1.251	26193|0
[b] : [bː]	0.080	0.978	0.148	1.223	9134|452
[j] : [-]	0.078	0.928	0.145	1.060	7360|0
[-] : [v]	0.056	0.999	0.105	0.977	0|3803
[d] : [dʲ]	0.063	0.638	0.115	0.950	6797|22
[ɸ] : [p]	0.200	0.889	0.326	0.937	1666|12429
[θ] : [t]	0.247	0.868	0.385	0.923	3653|15698
[β] : [ɸ]	0.034	0.649	0.065	0.817	238|1666
[-] : [e]	0.054	0.985	0.103	0.736	0|24334
[ʎ] : [ʎː]	0.067	0.654	0.122	0.694	24|2511
[r] : [rː]	0.048	0.967	0.091	0.671	26812|540
[w] : [-]	0.035	0.989	0.067	0.669	1672|0
[gʲ] : [j]	0.057	0.932	0.108	0.651	529|7360
[ʃ] : [s]	0.049	0.943	0.093	0.634	3407|13816
[pː] : [bː]	0.021	0.985	0.041	0.498	1484|452
[kː] : [kːʲ]	0.028	0.924	0.054	0.489	4560|1170
[kː] : [x]	0.020	0.648	0.039	0.451	4560|333
[ʦː] : [ʣː]	0.041	0.963	0.079	0.445	3356|1473
[n] : [ɲ]	0.047	0.783	0.088	0.433	24546|81
[z] : [s]	0.037	0.954	0.071	0.426	1316|13816
[ɣ] : [g]	0.140	0.816	0.239	0.395	785|7182
[kː] : [-]	0.013	0.969	0.025	0.386	4560|0
[ð] : [d]	0.164	0.804	0.273	0.380	775|6797
[-] : [g]	0.035	0.967	0.068	0.376	0|7182
[h] : [dː]	0.012	0.535	0.024	0.365	1996|15
[kːʲ] : [j]	0.040	0.920	0.077	0.363	1170|7360
[k] : [-]	0.008	0.953	0.016	0.355	10703|0
[β] : [b]	0.107	0.806	0.188	0.334	238|9134
[l] : [ʎ]	-0.004	0.640	-0.008	0.296	19045|24
[g] : [gʲ]	0.013	0.924	0.026	0.283	7182|529
[mː] : [m]	0.012	0.992	0.024	0.232	430|10648
[kʲ] : [tʲ]	0.100	0.682	0.174	0.223	1096|71
[kʲ] : [j]	0.027	0.904	0.053	0.206	1096|7360
[gʲ] : [dʲ]	0.059	0.642	0.108	0.192	529|22
[tʲ] : [j]	-0.020	0.678	-0.041	0.169	71|7360
[dː] : [θ]	-0.021	0.410	-0.045	0.153	15|3653
[ʣː] : [z]	0.006	0.942	0.013	0.151	1473|1316
[d] : [θ]	0.003	0.706	0.005	0.120	6797|3653
[t] : [tʲ]	0.012	0.691	0.024	0.086	15698|71
[ʎː] : [gːʲ]	-0.091	0.575	-0.216	0.074	2511|17
[ɣ] : [gʲ]	0.002	0.793	0.004	0.057	785|529
[õ] : [n]	0.023	0.507	0.044	0.022	11|24546
[ŋ] : [n]	0.046	0.464	0.084	0.011	27|24546
[x] : [h]	-0.028	0.594	-0.058	0.011	333|1996
[i̞] : [i]	-0.010	0.551	-0.020	0.002	4|26193
[ɲː] : [ɲ]	0.038	0.782	0.073	0.001	2289|81
[ɲ] : [ɲː]	-0.038	0.678	-0.081	-0.001	81|2289
[i] : [i̞]	0.010	0.578	0.019	-0.002	26193|4
[h] : [x]	0.028	0.618	0.053	-0.011	1996|333
[n] : [ŋ]	-0.046	0.552	-0.101	-0.011	24546|27
[n] : [õ]	-0.023	0.671	-0.047	-0.022	24546|11
[gːʲ] : [ʎː]	0.091	0.520	0.155	-0.075	17|2511
[tʲ] : [t]	-0.012	0.684	-0.025	-0.088	71|15698
[θ] : [d]	-0.003	0.877	-0.005	-0.124	3653|6797
