CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[ʎ] : [dːʲ]	0.372	0.390	0.381	6.012	24|7
[gːʲ] : [dːʲ]	0.350	0.388	0.368	6.000	17|7
[ʣː] : [zː]	0.464	0.527	0.493	5.641	1473|4
[v] : [vː]	0.346	0.999	0.514	5.613	3803|6
[ʎː] : [ɟ]	0.404	0.563	0.471	5.498	2511|1
[gːʲ] : [ʎ]	0.281	0.452	0.346	5.429	17|24
[ʎː] : [dːʲ]	0.479	0.538	0.507	5.259	2511|7
[ɣ] : [gː]	0.337	0.439	0.381	5.096	785|2
[z] : [zː]	0.349	0.524	0.419	5.085	1316|4
[-] : [ɲ]	0.278	0.544	0.368	4.859	0|81
[kː] : [gː]	0.309	0.530	0.391	4.441	4560|2
[lː] : [ɖ]	0.399	0.491	0.440	4.425	6313|9
[u̞] : [u]	0.327	0.617	0.427	4.404	1|9128
[ʒ] : [ʤː]	0.243	0.949	0.387	4.143	564|1265
[s] : [ɕ]	0.282	0.581	0.380	3.962	13816|2
[ʤː] : [gːʲ]	0.252	0.516	0.339	3.948	1265|17
[tː] : [dː]	0.281	0.480	0.354	3.852	5225|15
[g] : [gː]	0.250	0.530	0.339	3.834	7182|2
[dː] : [ð]	0.201	0.502	0.288	3.558	15|775
[ɲː] : [nː]	0.184	0.991	0.311	3.540	2289|810
[ʤː] : [ʤ]	0.199	0.988	0.331	3.323	1265|1179
[ʦː] : [zː]	0.158	0.531	0.243	3.084	3356|4
[bː] : [β]	0.171	0.788	0.282	2.930	452|238
[gʲ] : [gː]	0.113	0.522	0.186	2.892	529|2
[x] : [-]	0.186	0.484	0.269	2.712	333|0
[ʃ] : [ɕ]	0.117	0.558	0.193	2.679	3407|2
[dː] : [d]	0.190	0.561	0.284	2.633	15|6797
[ʒ] : [z]	0.176	0.920	0.296	2.627	564|1316
[e] : [ə]	0.183	0.420	0.254	2.391	24334|31
[h] : [-]	0.182	0.686	0.288	2.323	1996|0
[ʦː] : [sː]	0.143	0.980	0.250	2.266	3356|1388
[æ] : [a]	0.182	0.527	0.271	2.194	6|70241
[ʃ] : [ʒ]	0.137	0.903	0.238	2.158	3407|564
[ʣ] : [ʣː]	0.120	0.970	0.214	2.152	800|1473
[-] : [d]	0.150	0.929	0.258	2.117	0|6797
[ʤ] : [gʲ]	0.106	0.946	0.191	2.064	1179|529
[ð] : [θ]	0.103	0.627	0.177	2.038	775|3653
[ʣ] : [z]	0.104	0.962	0.187	1.922	800|1316
[gːʲ] : [j]	0.080	0.567	0.140	1.901	17|7360
[ʤ] : [dʲ]	0.073	0.601	0.129	1.882	1179|22
[ʣ] : [ʦ]	0.123	0.966	0.218	1.755	800|1636
[o] : [ə]	0.130	0.420	0.198	1.723	59374|31
[ʒ] : [ʤ]	0.188	0.941	0.313	1.706	564|1179
[s] : [zː]	0.078	0.530	0.136	1.706	13816|4
[ʦ] : [s]	0.139	0.970	0.243	1.635	1636|13816
[ʦ] : [sː]	0.102	0.975	0.185	1.556	1636|1388
[i] : [ə]	0.090	0.420	0.148	1.524	26193|31
[l] : [ɖ]	0.073	0.489	0.128	1.491	19045|9
[ʦː] : [ʦ]	0.085	0.960	0.156	1.433	3356|1636
[kː] : [tːʲ]	0.060	0.483	0.106	1.420	4560|22
[fː] : [-]	0.061	0.997	0.115	1.392	183|0
[bː] : [b]	0.095	0.976	0.172	1.391	452|9134
[k] : [x]	0.134	0.667	0.223	1.279	10703|333
[o] : [-]	0.111	0.983	0.200	1.278	59374|0
[k] : [h]	0.207	0.883	0.336	1.266	10703|1996
[g] : [dʲ]	0.069	0.603	0.124	1.243	7182|22
[t] : [dː]	0.069	0.474	0.120	1.188	15698|15
[ʃ] : [ʧ]	0.143	0.911	0.247	1.127	3407|8160
[nː] : [ɲ]	0.043	0.703	0.081	1.107	810|81
[ʎ] : [ʎː]	0.018	0.582	0.035	1.080	24|2511
[-] : [i]	0.064	0.992	0.121	0.918	0|26193
[ɸ] : [β]	0.036	0.649	0.069	0.863	1666|238
[v] : [-]	0.046	0.999	0.088	0.836	3803|0
[bː] : [pː]	0.036	0.982	0.069	0.819	452|1484
[p] : [ɸ]	0.165	0.877	0.278	0.769	12429|1666
[t] : [θ]	0.209	0.854	0.335	0.764	15698|3653
[x] : [kː]	0.033	0.645	0.064	0.713	333|4560
[gʲ] : [g]	0.029	0.928	0.056	0.592	529|7182
[s] : [z]	0.048	0.954	0.091	0.550	13816|1316
[-] : [j]	0.030	0.927	0.058	0.506	0|7360
[-] : [kː]	0.029	0.967	0.057	0.495	0|4560
[ʣː] : [ʦː]	0.044	0.964	0.085	0.475	1473|3356
[l] : [ʎ]	0.066	0.667	0.119	0.457	19045|24
[e] : [-]	0.027	0.985	0.053	0.379	24334|0
[rː] : [r]	0.026	0.964	0.051	0.379	540|26812
[-] : [k]	0.010	0.949	0.020	0.331	0|10703
[tʲ] : [t]	0.019	0.686	0.037	0.325	71|15698
[gʲ] : [ɣ]	0.013	0.787	0.026	0.324	529|785
[j] : [ɟ]	0.010	0.552	0.020	0.322	7360|1
[g] : [ɣ]	0.121	0.806	0.210	0.313	7182|785
[d] : [ð]	0.137	0.792	0.234	0.310	6797|775
[j] : [gʲ]	0.027	0.930	0.052	0.309	7360|529
[d] : [θ]	0.023	0.862	0.045	0.308	6797|3653
[dʲ] : [gʲ]	0.046	0.635	0.086	0.294	22|529
[ɲ] : [n]	0.034	0.774	0.065	0.289	81|24546
[b] : [β]	0.087	0.795	0.157	0.262	9134|238
[fː] : [f]	0.011	0.998	0.022	0.260	183|4786
[dʲ] : [d]	0.017	0.633	0.032	0.237	22|6797
[w] : [-]	0.023	0.986	0.045	0.228	1672|0
[dː] : [h]	0.007	0.542	0.014	0.213	15|1996
[kː] : [kːʲ]	0.011	0.937	0.022	0.183	4560|1170
[j] : [kːʲ]	0.015	0.916	0.029	0.128	7360|1170
[θ] : [dː]	-0.028	0.409	-0.060	0.113	3653|15
[s] : [ʃ]	0.005	0.936	0.011	0.112	13816|3407
[kʲ] : [tːʲ]	0.003	0.469	0.007	0.110	1096|22
[j] : [kʲ]	0.014	0.901	0.028	0.110	7360|1096
[ɲ] : [ɲː]	0.040	0.773	0.076	0.097	81|2289
[ḙ] : [l]	0.068	0.535	0.120	0.086	5|19045
[gːʲ] : [ʎː]	-0.080	0.577	-0.186	0.079	17|2511
[tːʲ] : [kːʲ]	0.083	0.575	0.145	0.073	22|1170
[j] : [tʲ]	-0.011	0.673	-0.022	0.059	7360|71
[tʲ] : [kʲ]	0.044	0.675	0.082	0.055	71|1096
[mː] : [m]	0.003	0.996	0.005	0.050	430|10648
[g] : [-]	0.011	0.966	0.021	0.047	7182|0
[h] : [x]	-0.028	0.590	-0.060	0.031	1996|333
[n] : [õ]	0.016	0.502	0.031	0.019	24546|11
[n] : [ŋ]	0.038	0.459	0.070	0.008	24546|27
[kʲ] : [kːʲ]	0.000	0.888	0.000	0.005	1096|1170
[i̞] : [i]	0.017	0.594	0.033	0.002	4|26193
[j] : [tːʲ]	-0.028	0.477	-0.059	0.001	7360|22
[tːʲ] : [j]	0.028	0.579	0.053	-0.001	22|7360
[i] : [i̞]	-0.017	0.548	-0.035	-0.002	26193|4
[ŋ] : [n]	-0.038	0.558	-0.081	-0.008	27|24546
[õ] : [n]	-0.016	0.686	-0.032	-0.020	11|24546
[x] : [h]	0.028	0.613	0.054	-0.031	333|1996
[-] : [g]	-0.011	0.944	-0.022	-0.047	0|7182
[m] : [mː]	-0.003	0.992	-0.005	-0.051	10648|430
[kʲ] : [tʲ]	-0.044	0.658	-0.093	-0.056	1096|71
[tʲ] : [j]	0.011	0.689	0.022	-0.060	71|7360
[kːʲ] : [tːʲ]	-0.083	0.473	-0.200	-0.074	1170|22
[ʎː] : [gːʲ]	0.080	0.516	0.138	-0.080	2511|17
[l] : [ḙ]	-0.068	0.603	-0.153	-0.088	19045|5
[ɲː] : [ɲ]	-0.040	0.703	-0.084	-0.099	2289|81
[kʲ] : [j]	-0.014	0.896	-0.029	-0.113	1096|7360
[ʃ] : [s]	-0.005	0.910	-0.011	-0.116	3407|13816
[dː] : [θ]	0.028	0.530	0.053	-0.116	15|3653
[kːʲ] : [j]	-0.015	0.909	-0.030	-0.132	1170|7360
[kːʲ] : [kː]	-0.011	0.928	-0.022	-0.189	1170|4560
[-] : [w]	-0.023	0.990	-0.047	-0.238	0|1672
[d] : [dʲ]	-0.017	0.603	-0.034	-0.249	6797|22
[β] : [b]	-0.087	0.698	-0.198	-0.278	238|9134
[gʲ] : [dʲ]	-0.046	0.592	-0.101	-0.309	529|22
[n] : [ɲ]	-0.034	0.704	-0.071	-0.312	24546|81
[gʲ] : [j]	-0.027	0.919	-0.055	-0.330	529|7360
[ð] : [d]	-0.137	0.671	-0.346	-0.333	775|6797
[θ] : [d]	-0.023	0.714	-0.048	-0.334	3653|6797
[ɣ] : [g]	-0.121	0.694	-0.293	-0.337	785|7182
[t] : [tʲ]	-0.019	0.678	-0.039	-0.353	15698|71
[k] : [-]	-0.010	0.936	-0.020	-0.365	10703|0
[r] : [rː]	-0.026	0.967	-0.054	-0.419	26812|540
[-] : [e]	-0.027	0.988	-0.056	-0.436	0|24334
[ʎ] : [l]	-0.066	0.578	-0.148	-0.513	24|19045
[ʦː] : [ʣː]	-0.044	0.964	-0.093	-0.524	3356|1473
[kː] : [-]	-0.029	0.966	-0.060	-0.557	4560|0
[j] : [-]	-0.030	0.923	-0.062	-0.581	7360|0
[z] : [s]	-0.048	0.952	-0.101	-0.630	1316|13816
[ɸ] : [p]	-0.165	0.763	-0.423	-0.950	1666|12429
[θ] : [t]	-0.209	0.710	-0.592	-0.973	3653|15698
[ʎː] : [ʎ]	-0.018	0.670	-0.038	-1.333	2511|24
[ɲ] : [nː]	-0.043	0.772	-0.091	-1.337	81|810
[ʧ] : [ʃ]	-0.143	0.924	-0.337	-1.537	8160|3407
[dʲ] : [g]	-0.069	0.636	-0.155	-1.671	22|7182
[dː] : [t]	-0.069	0.558	-0.157	-1.691	15|15698
[h] : [k]	-0.207	0.796	-0.561	-1.832	1996|10703
[x] : [k]	-0.134	0.641	-0.339	-1.853	333|10703
[b] : [bː]	-0.095	0.988	-0.209	-1.936	9134|452
[tːʲ] : [kː]	-0.060	0.586	-0.133	-2.005	22|4560
[sː] : [ʦ]	-0.102	0.967	-0.229	-2.153	1388|1636
[ʤ] : [ʒ]	-0.188	0.955	-0.468	-2.365	1179|564
[ʦ] : [ʣ]	-0.123	0.977	-0.281	-2.508	1636|800
[s] : [ʦ]	-0.139	0.958	-0.324	-2.667	13816|1636
[ʒ] : [ʃ]	-0.137	0.903	-0.322	-3.629	564|3407
[-] : [h]	-0.182	0.835	-0.466	-4.526	0|1996
[z] : [ʒ]	-0.176	0.944	-0.434	-4.636	1316|564
[β] : [bː]	-0.171	0.699	-0.454	-5.506	238|452
[d] : [dː]	-0.190	0.476	-0.633	-6.133	6797|15
[-] : [x]	-0.186	0.518	-0.580	-6.158	0|333
