CORR	DIST	REPR	CHAR	FREQ
[ð] : [d]	0.526	0.957	0.679	775|6844
[θ] : [t]	0.525	0.947	0.675	3654|15823
[kʲ] : [tʲ]	0.568	0.697	0.626	1103|75
[ɲː] : [ɲ]	0.486	0.751	0.590	2303|82
[kʲː] : [tʲː]	0.543	0.610	0.575	1177|25
[ɸ] : [p]	0.401	0.965	0.566	1666|12518
[β] : [b]	0.398	0.979	0.566	238|9197
[ʎː] : [dʲː]	0.466	0.615	0.530	2527|7
[h] : [k]	0.345	0.949	0.506	1996|10764
[dzː] : [zː]	0.416	0.625	0.500	1485|4
[ʎː] : [ɟ]	0.394	0.658	0.493	2527|1
[ɣ] : [g]	0.315	0.935	0.471	785|7232
[lː] : [ɖ]	0.381	0.602	0.466	6355|9
[vː] : [v]	0.301	0.999	0.462	7|3829
[ʎː] : [ʎ]	0.341	0.677	0.453	2527|24
[j] : [j:]	0.374	0.572	0.452	7339|32
[z] : [zː]	0.345	0.625	0.444	1325|4
[ɣ] : [gː]	0.347	0.613	0.443	785|2
[gʲː] : [ɟ]	0.366	0.561	0.443	17|1
[ʎː] : [j:]	0.343	0.578	0.430	2527|32
[-] : [ḙ/e̯]	0.331	0.602	0.427	0|5
[θ] : [dː]	0.336	0.582	0.426	3654|15
[-] : [dʲ]	0.313	0.651	0.423	0|22
[u] : [u̞]	0.298	0.669	0.413	9185|1
[kː] : [gː]	0.297	0.627	0.403	4585|2
[gʲ] : [dʲ]	0.288	0.656	0.400	534|22
[n] : [ŋ]	0.303	0.575	0.396	24711|27
[gʲː] : [ʎ]	0.299	0.575	0.394	17|24
[d] : [dʲ]	0.275	0.655	0.387	6844|22
[l] : [ʎ]	0.268	0.675	0.383	19175|24
[dʒː] : [gʲː]	0.284	0.589	0.383	1272|17
[ɸ] : [pː]	0.237	0.984	0.381	1666|1495
[θ] : [d]	0.235	0.961	0.378	3654|6844
[n] : [ɲ]	0.247	0.751	0.372	24711|82
[s] : [ɕ]	0.252	0.679	0.368	13908|2
[gʲː] : [j:]	0.281	0.502	0.360	17|32
[d] : [gʲ]	0.220	0.948	0.357	6844|534
[i] : [i̞]	0.248	0.637	0.357	26362|4
[dː] : [d]	0.225	0.838	0.355	15|6844
[tʃ] : [ʃ]	0.218	0.938	0.354	8213|3427
[tː] : [dː]	0.242	0.585	0.343	5259|15
[gʲː] : [dʲː]	0.248	0.530	0.338	17|7
[sː] : [ts]	0.202	0.969	0.335	1396|1649
[k] : [tʲ]	0.218	0.713	0.334	10764|75
[kː] : [tʲː]	0.207	0.613	0.310	4585|25
[tsː] : [zː]	0.204	0.628	0.308	3376|4
[e] : [õ]	0.204	0.615	0.306	24497|11
[h] : [x]	0.195	0.682	0.303	1996|357
[dʒ] : [ʒ]	0.175	0.967	0.296	1186|568
[s] : [ts]	0.175	0.961	0.295	13908|1649
[ʃ] : [ɕ]	0.185	0.668	0.290	3427|2
[t] : [tʲ]	0.177	0.713	0.284	15823|75
[r] : [l]	0.161	0.973	0.276	26980|19175
[x] : [k]	0.166	0.794	0.275	357|10764
[ʃ] : [s]	0.159	0.948	0.273	3427|13908
[tsː] : [ts]	0.155	0.969	0.268	3376|1649
[gʲː] : [ʎː]	0.159	0.783	0.264	17|2527
[a] : [æ]	0.167	0.607	0.263	70671|6
[e] : [ə]	0.169	0.548	0.258	24497|31
[ts] : [dz]	0.146	0.963	0.254	1649|805
[z] : [ʒ]	0.145	0.951	0.252	1325|568
[g] : [dʲ]	0.152	0.653	0.246	7232|22
[β] : [bː]	0.140	0.974	0.245	238|454
[m] : [mː]	0.129	0.994	0.228	10715|433
[kʲː] : [kː]	0.128	0.967	0.227	1177|4585
[ʃ] : [ʒ]	0.124	0.930	0.220	3427|568
[-] : [j:]	0.135	0.572	0.219	0|32
[bː] : [b]	0.122	0.986	0.217	454|9197
[-] : [tʲː]	0.131	0.606	0.215	0|25
[ð] : [dː]	0.132	0.580	0.215	775|15
[o] : [ə]	0.132	0.548	0.212	59726|31
[-] : [tʲ]	0.118	0.704	0.202	0|75
[o] : [õ]	0.115	0.615	0.194	59726|11
[s] : [zː]	0.110	0.625	0.186	13908|4
[i] : [ə]	0.102	0.548	0.173	26362|31
[l] : [ɖ]	0.094	0.596	0.163	19175|9
[t] : [kʲ]	0.089	0.925	0.162	15823|1103
[j] : [dʲ]	0.089	0.650	0.156	7339|22
[g] : [gː]	0.086	0.622	0.151	7232|2
[-] : [h]	0.080	0.857	0.146	0|1996
[dʒː] : [dʒ]	0.077	0.985	0.143	1272|1186
[dz] : [z]	0.076	0.960	0.141	805|1325
[oː] : [o]	0.068	0.859	0.126	16|59726
[r] : [ʎ]	0.065	0.677	0.119	26980|24
[eː] : [e]	0.056	0.895	0.105	4|24497
[-] : [j]	0.053	0.938	0.100	0|7339
[rː] : [r]	0.052	0.973	0.099	545|26980
[kʲ] : [k]	0.052	0.931	0.099	1103|10764
[h] : [θ]	0.048	0.813	0.091	1996|3654
[ɸ] : [β]	0.047	0.744	0.088	1666|238
[tsː] : [dzː]	0.046	0.966	0.088	3376|1485
[-] : [x]	0.043	0.680	0.080	0|357
[dzː] : [dz]	0.039	0.977	0.076	1485|805
[s] : [z]	0.037	0.950	0.071	13908|1325
[gʲ] : [-]	0.025	0.943	0.050	534|0
[aː] : [a]	0.018	0.794	0.035	12|70671
[-] : [w]	0.014	0.968	0.029	0|1683
[dʒː] : [ʒ]	0.011	0.967	0.021	1272|568
[tsː] : [sː]	0.007	0.985	0.014	3376|1396
[g] : [gʲ]	0.007	0.944	0.014	7232|534
[h] : [dː]	0.002	0.579	0.004	1996|15
[gʲ] : [g]	-0.007	0.963	-0.014	534|7232
[sː] : [tsː]	-0.007	0.980	-0.014	1396|3376
[w] : [-]	-0.014	0.953	-0.029	1683|0
[a] : [aː]	-0.018	0.709	-0.037	70671|12
[z] : [s]	-0.037	0.971	-0.077	1325|13908
[x] : [-]	-0.043	0.785	-0.090	357|0
[dzː] : [tsː]	-0.046	0.972	-0.097	1485|3376
[r] : [rː]	-0.052	0.963	-0.110	26980|545
[k] : [kʲ]	-0.052	0.925	-0.110	10764|1103
[j] : [-]	-0.053	0.930	-0.112	7339|0
[e] : [eː]	-0.056	0.743	-0.120	24497|4
[o] : [oː]	-0.068	0.724	-0.151	59726|16
[h] : [-]	-0.080	0.937	-0.175	1996|0
[b] : [bː]	-0.122	0.986	-0.278	9197|454
[kː] : [kʲː]	-0.128	0.942	-0.297	4585|1177
[dz] : [ts]	-0.146	0.972	-0.345	805|1649
[s] : [ʃ]	-0.159	0.925	-0.385	13908|3427
[ʒ] : [dʒ]	-0.175	0.985	-0.425	568|1186
[ts] : [s]	-0.175	0.956	-0.427	1649|13908
[ʎː] : [gʲː]	-0.159	0.586	-0.437	2527|17
[k] : [x]	-0.166	0.688	-0.438	10764|357
[ts] : [sː]	-0.202	0.963	-0.512	1649|1396
[x] : [h]	-0.195	0.731	-0.532	357|1996
[ʃ] : [tʃ]	-0.218	0.944	-0.567	3427|8213
[gʲ] : [d]	-0.220	0.959	-0.570	534|6844
[d] : [dː]	-0.225	0.581	-0.734	6844|15
[g] : [ɣ]	-0.315	0.766	-1.067	7232|785
[k] : [h]	-0.345	0.869	-1.143	10764|1996
[p] : [ɸ]	-0.401	0.846	-1.521	12518|1666
[b] : [β]	-0.398	0.750	-1.698	9197|238
[t] : [θ]	-0.525	0.820	-2.915	15823|3654
[d] : [ð]	-0.526	0.748	-3.553	6844|775
