CORR	DIST	REPR	CHAR	FREQ
[θ] : [t]	0.570	0.950	0.713	3654|15823
[ð] : [d]	0.514	0.955	0.668	775|6844
[ɸ] : [p]	0.457	0.967	0.620	1666|12518
[kʲː] : [tʲː]	0.549	0.614	0.580	1177|25
[h] : [k]	0.408	0.947	0.571	1996|10764
[ʎː] : [dʲː]	0.472	0.624	0.538	2527|7
[dzː] : [zː]	0.444	0.631	0.521	1485|4
[ʎː] : [ɟ]	0.403	0.668	0.502	2527|1
[lː] : [ɖ]	0.386	0.610	0.473	6355|9
[vː] : [v]	0.302	0.999	0.464	7|3829
[j] : [j:]	0.379	0.580	0.458	7339|32
[z] : [zː]	0.336	0.632	0.439	1325|4
[β] : [b]	0.286	0.933	0.438	238|9197
[ɣ] : [gː]	0.340	0.605	0.436	785|2
[ʎː] : [j:]	0.346	0.589	0.436	2527|32
[-] : [ḙ/e̯]	0.336	0.609	0.433	0|5
[θ] : [d]	0.279	0.969	0.433	3654|6844
[θ] : [dː]	0.339	0.590	0.430	3654|15
[u] : [u̞]	0.305	0.677	0.421	9185|1
[gʲː] : [ɟ]	0.336	0.528	0.411	17|1
[dʒː] : [gʲː]	0.309	0.607	0.409	1272|17
[dʒː] : [ʒ]	0.260	0.961	0.409	1272|568
[kː] : [gː]	0.300	0.634	0.407	4585|2
[n] : [ŋ]	0.308	0.584	0.403	24711|27
[ɣ] : [g]	0.254	0.903	0.397	785|7232
[d] : [gʲ]	0.235	0.939	0.376	6844|534
[gʲː] : [ʎ]	0.288	0.541	0.376	17|24
[s] : [ɕ]	0.257	0.685	0.373	13908|2
[x] : [k]	0.252	0.706	0.371	357|10764
[kː] : [tʲː]	0.264	0.622	0.371	4585|25
[sː] : [ts]	0.226	0.974	0.367	1396|1649
[i] : [i̞]	0.250	0.644	0.360	26362|4
[ʎː] : [ʎ]	0.237	0.689	0.353	2527|24
[gʲː] : [j:]	0.278	0.477	0.351	17|32
[tː] : [dː]	0.234	0.594	0.336	5259|15
[e] : [õ]	0.208	0.622	0.312	24497|11
[gʲː] : [dʲː]	0.225	0.501	0.310	17|7
[g] : [gː]	0.192	0.627	0.294	7232|2
[z] : [ʒ]	0.165	0.944	0.281	1325|568
[h] : [x]	0.173	0.691	0.276	1996|357
[e] : [ə]	0.181	0.556	0.273	24497|31
[tsː] : [ts]	0.157	0.969	0.271	3376|1649
[a] : [æ]	0.170	0.615	0.266	70671|6
[r] : [l]	0.152	0.972	0.263	26980|19175
[d] : [dʲ]	0.161	0.654	0.258	6844|22
[β] : [bː]	0.149	0.927	0.257	238|454
[dː] : [d]	0.154	0.766	0.257	15|6844
[ʃ] : [ɕ]	0.158	0.667	0.255	3427|2
[tsː] : [zː]	0.158	0.636	0.253	3376|4
[ʃ] : [ʒ]	0.145	0.913	0.251	3427|568
[-] : [j:]	0.153	0.581	0.242	0|32
[ð] : [dː]	0.151	0.584	0.240	775|15
[dʲ] : [gʲ]	0.141	0.714	0.236	22|534
[ɲː] : [ɲ]	0.139	0.759	0.235	2303|82
[mː] : [m]	0.128	0.991	0.227	433|10715
[-] : [tʲ]	0.128	0.699	0.216	0|75
[o] : [ə]	0.129	0.556	0.210	59726|31
[-] : [tʲː]	0.123	0.615	0.205	0|25
[tsː] : [sː]	0.114	0.984	0.204	3376|1396
[h] : [θ]	0.116	0.780	0.202	1996|3654
[ɸ] : [β]	0.114	0.711	0.196	1666|238
[s] : [zː]	0.112	0.634	0.190	13908|4
[dʒ] : [ʒ]	0.105	0.958	0.190	1186|568
[o] : [õ]	0.112	0.622	0.189	59726|11
[ts] : [dz]	0.103	0.963	0.186	1649|805
[gʲː] : [ʎː]	0.106	0.710	0.185	17|2527
[ɸ] : [pː]	0.096	0.983	0.175	1666|1495
[ʃ] : [s]	0.096	0.935	0.174	3427|13908
[dz] : [z]	0.092	0.960	0.168	805|1325
[i] : [ə]	0.098	0.556	0.167	26362|31
[-] : [w]	0.089	0.966	0.163	0|1683
[l] : [ɖ]	0.094	0.603	0.163	19175|9
[s] : [ts]	0.087	0.963	0.160	13908|1649
[dʲ] : [j]	0.081	0.715	0.145	22|7339
[dzː] : [dz]	0.074	0.972	0.138	1485|805
[ɲ] : [nː]	0.072	0.816	0.132	82|816
[tsː] : [dzː]	0.069	0.965	0.130	3376|1485
[kʲ] : [tʲ]	0.069	0.691	0.125	1103|75
[eː] : [e]	0.066	0.851	0.123	4|24497
[gʲ] : [g]	0.062	0.961	0.116	534|7232
[-] : [dʲ]	0.063	0.653	0.115	0|22
[s] : [z]	0.059	0.950	0.112	13908|1325
[kʲ] : [k]	0.059	0.928	0.111	1103|10764
[dʒ] : [dʒː]	0.057	0.994	0.107	1186|1272
[tʲ] : [t]	0.057	0.778	0.107	75|15823
[dʒ] : [dʲ]	0.054	0.663	0.099	1186|22
[gʲ] : [-]	0.050	0.936	0.096	534|0
[t] : [kʲ]	0.049	0.921	0.093	15823|1103
[kʲː] : [kː]	0.048	0.952	0.092	1177|4585
[bː] : [b]	0.045	0.990	0.086	454|9197
[-] : [j]	0.044	0.937	0.085	0|7339
[oː] : [o]	0.035	0.800	0.068	16|59726
[h] : [dː]	0.029	0.587	0.055	1996|15
[g] : [dʲ]	0.028	0.652	0.053	7232|22
[rː] : [r]	0.023	0.970	0.045	545|26980
[h] : [-]	0.016	0.933	0.031	1996|0
[ʎ] : [l]	0.014	0.705	0.027	24|19175
[k] : [tʲ]	0.012	0.707	0.023	10764|75
[j] : [tʲ]	0.010	0.697	0.019	7339|75
[n] : [ɲ]	0.009	0.759	0.017	24711|82
[ʎ] : [r]	0.006	0.707	0.011	24|26980
[a] : [aː]	0.004	0.718	0.007	70671|12
[x] : [ɣ]	0.003	0.583	0.007	357|785
[tʃ] : [ʃ]	0.003	0.929	0.006	8213|3427
[ʃ] : [tʃ]	-0.003	0.931	-0.006	3427|8213
[aː] : [a]	-0.004	0.726	-0.007	12|70671
[r] : [ʎ]	-0.006	0.685	-0.011	26980|24
[ɲ] : [n]	-0.009	0.818	-0.017	82|24711
[tʲ] : [k]	-0.012	0.781	-0.024	75|10764
[l] : [ʎ]	-0.014	0.682	-0.028	19175|24
[-] : [h]	-0.016	0.837	-0.032	0|1996
[r] : [rː]	-0.023	0.961	-0.047	26980|545
[dʲ] : [g]	-0.028	0.724	-0.058	22|7232
[o] : [oː]	-0.035	0.719	-0.074	59726|16
[j] : [-]	-0.044	0.925	-0.093	7339|0
[b] : [bː]	-0.045	0.980	-0.095	9197|454
[kː] : [kʲː]	-0.048	0.937	-0.102	4585|1177
[dʲ] : [dʒ]	-0.054	0.726	-0.116	22|1186
[dʒː] : [dʒ]	-0.057	0.983	-0.120	1272|1186
[t] : [tʲ]	-0.057	0.707	-0.125	15823|75
[k] : [kʲ]	-0.059	0.921	-0.126	10764|1103
[z] : [s]	-0.059	0.967	-0.127	1325|13908
[g] : [gʲ]	-0.062	0.935	-0.132	7232|534
[dʲ] : [-]	-0.063	0.710	-0.138	22|0
[e] : [eː]	-0.066	0.720	-0.146	24497|4
[dzː] : [tsː]	-0.069	0.967	-0.150	1485|3376
[tʲ] : [kʲ]	-0.069	0.757	-0.151	75|1103
[nː] : [ɲ]	-0.072	0.758	-0.159	816|82
[j] : [dʲ]	-0.081	0.651	-0.185	7339|22
[ts] : [s]	-0.087	0.957	-0.192	1649|13908
[s] : [ʃ]	-0.096	0.926	-0.214	13908|3427
[dz] : [ts]	-0.103	0.974	-0.230	805|1649
[ʒ] : [dʒ]	-0.105	0.980	-0.236	568|1186
[ʎː] : [gʲː]	-0.106	0.606	-0.258	2527|17
[ɲ] : [ɲː]	-0.139	0.816	-0.334	82|2303
[gʲ] : [dʲ]	-0.141	0.656	-0.359	534|22
[dʲ] : [d]	-0.161	0.726	-0.413	22|6844
[d] : [dː]	-0.154	0.586	-0.418	6844|15
[x] : [h]	-0.173	0.645	-0.472	357|1996
[ts] : [sː]	-0.226	0.963	-0.591	1649|1396
[gʲ] : [d]	-0.235	0.964	-0.621	534|6844
[ʎ] : [ʎː]	-0.237	0.709	-0.713	24|2527
[g] : [ɣ]	-0.254	0.735	-0.777	7232|785
[k] : [x]	-0.252	0.697	-0.789	10764|357
[b] : [β]	-0.286	0.714	-0.953	9197|238
[k] : [h]	-0.408	0.849	-1.573	10764|1996
[p] : [ɸ]	-0.457	0.816	-2.076	12518|1666
[t] : [θ]	-0.570	0.788	-4.135	15823|3654
[d] : [ð]	-0.514	0.677	-4.275	6844|775
