CORR	DIST	REPR	CHAR	FREQ
[kʲ] : [tʲ]	0.602	0.701	0.648	1103|75
[ɲː] : [ɲ]	0.504	0.747	0.602	2303|82
[kʲː] : [tʲː]	0.542	0.604	0.571	1177|25
[gʲ] : [dʲ]	0.469	0.658	0.548	534|22
[nː] : [ɲː]	0.375	0.989	0.543	816|2303
[ʎː] : [gʲː]	0.505	0.585	0.542	2527|17
[ʎː] : [dʲː]	0.466	0.616	0.530	2527|7
[dzː] : [zː]	0.432	0.621	0.510	1485|4
[ʎː] : [ɟ]	0.396	0.659	0.495	2527|1
[z] : [zː]	0.407	0.624	0.493	1325|4
[h] : [-]	0.334	0.801	0.471	1996|0
[lː] : [ɖ]	0.385	0.600	0.469	6355|9
[j] : [j:]	0.381	0.575	0.458	7339|32
[ʎː] : [ʎ]	0.343	0.679	0.456	2527|24
[r] : [rː]	0.286	0.976	0.442	26981|545
[t] : [θ]	0.289	0.840	0.431	15823|3654
[-] : [ḙ/e̯]	0.332	0.602	0.428	0|5
[-] : [dʲ]	0.312	0.655	0.423	0|22
[kː] : [gː]	0.311	0.627	0.416	4585|2
[ʎː] : [j:]	0.323	0.579	0.415	2527|32
[u] : [u̞]	0.296	0.668	0.410	9185|1
[ɣ] : [gː]	0.312	0.562	0.401	785|2
[l] : [ʎ]	0.285	0.678	0.401	19175|24
[n] : [ŋ]	0.301	0.574	0.395	24711|27
[b] : [ɸ]	0.253	0.860	0.391	9197|1666
[z] : [dzː]	0.245	0.958	0.390	1325|1485
[s] : [ɕ]	0.266	0.683	0.383	13908|2
[e] : [eː]	0.254	0.758	0.380	24497|4
[tʃ] : [ʃ]	0.238	0.937	0.380	8213|3427
[p] : [ɸ]	0.229	0.860	0.362	12519|1666
[g] : [gː]	0.254	0.628	0.362	7232|2
[b] : [bː]	0.221	0.983	0.361	9197|454
[gʲ] : [g]	0.220	0.968	0.359	534|7232
[k] : [h]	0.225	0.874	0.358	10764|1996
[ts] : [sː]	0.217	0.980	0.355	1649|1396
[i] : [i̞]	0.244	0.635	0.353	26362|4
[θ] : [dː]	0.262	0.535	0.352	3654|15
[β] : [bː]	0.219	0.872	0.350	238|454
[dʒ] : [ʒ]	0.213	0.968	0.350	1186|568
[t] : [dː]	0.244	0.581	0.343	15823|15
[dzː] : [tsː]	0.201	0.964	0.333	1485|3376
[d] : [dː]	0.233	0.579	0.332	6845|15
[kː] : [tʲː]	0.225	0.610	0.329	4585|25
[o] : [oː]	0.202	0.741	0.317	59726|16
[n] : [ɲ]	0.201	0.748	0.317	24711|82
[nː] : [ɲ]	0.201	0.744	0.316	816|82
[d] : [dʲ]	0.199	0.656	0.305	6845|22
[tː] : [dː]	0.205	0.583	0.303	5259|15
[e] : [õ]	0.201	0.614	0.302	24497|11
[a] : [aː]	0.180	0.691	0.286	70672|12
[ʃ] : [ʒ]	0.160	0.955	0.273	3427|568
[dʒː] : [gʲː]	0.178	0.585	0.273	1272|17
[-] : [tʲː]	0.172	0.607	0.269	0|25
[e] : [ə]	0.174	0.547	0.264	24497|31
[k] : [tʲ]	0.162	0.705	0.264	10764|75
[-] : [j:]	0.170	0.574	0.262	0|32
[a] : [æ]	0.165	0.605	0.259	70672|6
[d] : [ð]	0.156	0.775	0.259	6845|775
[-] : [tʲ]	0.148	0.706	0.245	0|75
[ts] : [tsː]	0.135	0.976	0.237	1649|3376
[w] : [-]	0.135	0.949	0.237	1683|0
[k] : [x]	0.129	0.680	0.217	10764|357
[d] : [θ]	0.123	0.838	0.215	6845|3654
[ts] : [dz]	0.120	0.981	0.214	1649|805
[o] : [ə]	0.126	0.547	0.204	59726|31
[tsː] : [zː]	0.120	0.625	0.201	3376|4
[o] : [õ]	0.115	0.614	0.193	59726|11
[g] : [ɣ]	0.109	0.792	0.192	7232|785
[kʲ] : [k]	0.098	0.947	0.178	1103|10764
[b] : [β]	0.099	0.779	0.175	9197|238
[dz] : [z]	0.095	0.963	0.173	805|1325
[ts] : [s]	0.095	0.973	0.173	1649|13908
[s] : [ʃ]	0.093	0.934	0.170	13908|3427
[x] : [h]	0.094	0.768	0.168	357|1996
[i] : [ə]	0.098	0.547	0.167	26362|31
[g] : [dʲ]	0.090	0.658	0.158	7232|22
[gʲ] : [d]	0.077	0.963	0.143	534|6845
[z] : [ʒ]	0.076	0.951	0.140	1325|568
[m] : [mː]	0.072	0.994	0.135	10715|433
[l] : [ɖ]	0.070	0.599	0.125	19175|9
[-] : [j]	0.063	0.949	0.118	0|7339
[dʒː] : [dʒ]	0.060	0.985	0.113	1272|1186
