CORR	DIST	REPR	CHAR	FREQ
[θ] : [t]	0.545	0.952	0.693	3654|15823
[ɸ] : [p]	0.502	0.967	0.661	1666|12519
[h] : [k]	0.450	0.937	0.608	1996|10764
[kʲː] : [tʲː]	0.570	0.631	0.598	1177|25
[ʎː] : [dʲː]	0.488	0.644	0.555	2527|7
[dzː] : [zː]	0.459	0.650	0.538	1485|4
[ʎː] : [ɟ]	0.414	0.688	0.517	2527|1
[lː] : [ɖ]	0.402	0.629	0.490	6355|9
[j] : [j:]	0.394	0.600	0.475	7339|32
[vː] : [v]	0.311	0.999	0.474	7|3829
[z] : [zː]	0.359	0.648	0.462	1325|4
[dʒː] : [ʒ]	0.304	0.949	0.460	1272|568
[ð] : [d]	0.311	0.869	0.458	775|6845
[ʎː] : [j:]	0.360	0.611	0.453	2527|32
[-] : [ḙ/e̯]	0.353	0.628	0.452	0|5
[ɣ] : [gː]	0.357	0.600	0.448	785|2
[θ] : [dː]	0.348	0.605	0.442	3654|15
[dʲ] : [g]	0.320	0.705	0.440	22|7232
[ɲː] : [ɲ]	0.308	0.763	0.439	2303|82
[u] : [u̞]	0.316	0.701	0.436	9185|1
[n] : [ŋ]	0.319	0.603	0.417	24711|27
[x] : [k]	0.296	0.678	0.412	357|10764
[dʒː] : [gʲː]	0.307	0.622	0.412	1272|17
[kː] : [gː]	0.299	0.647	0.409	4585|2
[gʲː] : [ɟ]	0.339	0.506	0.406	17|1
[ɕ] : [s]	0.279	0.727	0.404	2|13908
[kː] : [tʲː]	0.290	0.643	0.400	4585|25
[ɣ] : [g]	0.260	0.871	0.400	785|7232
[ɲː] : [nː]	0.244	0.993	0.391	2303|816
[gʲː] : [ʎ]	0.296	0.513	0.375	17|24
[i] : [i̞]	0.258	0.665	0.372	26362|4
[h] : [g]	0.230	0.954	0.370	1996|7232
[θ] : [d]	0.224	0.958	0.363	3654|6845
[dʲ] : [gʲ]	0.240	0.689	0.356	22|534
[ʎː] : [ʎ]	0.237	0.701	0.354	2527|24
[x] : [g]	0.228	0.687	0.343	357|7232
[tː] : [dː]	0.236	0.615	0.341	5259|15
[z] : [ʒ]	0.204	0.929	0.334	1325|568
[ʃ] : [ʒ]	0.202	0.918	0.331	3427|568
[gʲː] : [j:]	0.252	0.463	0.326	17|32
[g] : [gː]	0.217	0.640	0.324	7232|2
[tsː] : [sː]	0.193	0.984	0.323	3376|1396
[e] : [õ]	0.210	0.638	0.316	24497|11
[β] : [b]	0.192	0.856	0.313	238|9197
[gʲː] : [dʲː]	0.228	0.482	0.309	17|7
[β] : [bː]	0.180	0.849	0.297	238|454
[d] : [gʲ]	0.176	0.920	0.296	6845|534
[ɸ] : [β]	0.185	0.676	0.291	1666|238
[d] : [dʲ]	0.180	0.656	0.282	6845|22
[e] : [ə]	0.186	0.574	0.281	24497|31
[sː] : [ts]	0.163	0.971	0.278	1396|1649
[a] : [æ]	0.175	0.633	0.274	70672|6
[dʒ] : [ʒ]	0.151	0.946	0.261	1186|568
[tsː] : [zː]	0.159	0.654	0.256	3376|4
[-] : [j:]	0.158	0.600	0.250	0|32
[r] : [l]	0.141	0.974	0.247	26981|19175
[gʲ] : [g]	0.140	0.963	0.245	534|7232
[dzː] : [dz]	0.139	0.972	0.243	1485|805
[rː] : [r]	0.138	0.980	0.243	545|26981
[-] : [tʲ]	0.145	0.712	0.240	0|75
[ð] : [dː]	0.144	0.568	0.230	775|15
[dz] : [z]	0.129	0.955	0.227	805|1325
[o] : [ə]	0.133	0.574	0.216	59726|31
[h] : [x]	0.119	0.686	0.202	1996|357
[o] : [õ]	0.119	0.638	0.201	59726|11
[-] : [tʲː]	0.117	0.636	0.197	0|25
[tʃ] : [ʃ]	0.107	0.917	0.191	8213|3427
[dː] : [d]	0.109	0.702	0.189	15|6845
[-] : [w]	0.103	0.962	0.186	0|1683
[θ] : [h]	0.105	0.785	0.184	3654|1996
[ɕ] : [ʃ]	0.105	0.693	0.182	2|3427
[tsː] : [ts]	0.100	0.968	0.181	3376|1649
[s] : [zː]	0.099	0.653	0.172	13908|4
[i] : [ə]	0.100	0.575	0.170	26362|31
[t] : [kʲ]	0.087	0.912	0.159	15823|1103
[l] : [ɖ]	0.087	0.622	0.153	19175|9
[mː] : [m]	0.072	0.994	0.134	433|10715
[ɲ] : [nː]	0.064	0.767	0.119	82|816
[tsː] : [dzː]	0.063	0.964	0.118	3376|1485
[t] : [dː]	0.063	0.608	0.114	15823|15
[dʲ] : [j]	0.062	0.692	0.113	22|7339
[dʒ] : [dʲ]	0.062	0.673	0.113	1186|22
[h] : [ɣ]	0.061	0.682	0.112	1996|785
[-] : [dʲ]	0.061	0.660	0.111	0|22
[s] : [z]	0.059	0.948	0.110	13908|1325
[x] : [ɣ]	0.060	0.534	0.108	357|785
[kʲ] : [tʲ]	0.050	0.700	0.094	1103|75
[ɲ] : [n]	0.047	0.769	0.088	82|24711
[ts] : [dz]	0.045	0.968	0.086	1649|805
[j] : [tʲ]	0.045	0.711	0.085	7339|75
[r] : [ʎ]	0.044	0.695	0.083	26981|24
[eː] : [e]	0.037	0.805	0.071	4|24497
[-] : [x]	0.035	0.687	0.067	0|357
[t] : [tʲ]	0.034	0.718	0.065	15823|75
[gʲː] : [ʎː]	0.030	0.652	0.058	17|2527
[bː] : [b]	0.025	0.991	0.049	454|9197
[oː] : [o]	0.023	0.765	0.044	16|59726
[-] : [j]	0.022	0.932	0.044	0|7339
[k] : [tʲ]	0.018	0.722	0.036	10764|75
[kʲ] : [k]	0.015	0.916	0.030	1103|10764
[-] : [h]	0.015	0.783	0.029	0|1996
[ʎ] : [l]	0.013	0.690	0.026	24|19175
[j] : [tʲː]	0.012	0.635	0.024	7339|25
[kʲː] : [kː]	0.011	0.940	0.022	1177|4585
[ts] : [s]	0.009	0.961	0.018	1649|13908
[eː] : [ɛ]	0.007	0.802	0.015	4|6808
[gʲː] : [j]	0.006	0.639	0.012	17|7339
[aː] : [a]	0.005	0.690	0.010	12|70672
[gʲ] : [-]	0.004	0.925	0.009	534|0
[dʒ] : [gʲ]	0.003	0.954	0.005	1186|534
[dʒ] : [dʒː]	0.002	0.995	0.004	1186|1272
[dzː] : [sː]	0.001	0.973	0.002	1485|1396
[ʃ] : [s]	0.001	0.951	0.001	3427|13908
[kː] : [x]	0.000	0.695	0.001	4585|357
[s] : [ʃ]	-0.001	0.913	-0.001	13908|3427
[dʒː] : [dʒ]	-0.002	0.977	-0.004	1272|1186
[-] : [gʲ]	-0.004	0.927	-0.009	0|534
[a] : [aː]	-0.005	0.716	-0.010	70672|12
[s] : [ts]	-0.009	0.965	-0.018	13908|1649
[kː] : [kʲː]	-0.011	0.935	-0.022	4585|1177
[l] : [ʎ]	-0.013	0.693	-0.027	19175|24
[h] : [-]	-0.015	0.917	-0.030	1996|0
[k] : [kʲ]	-0.015	0.919	-0.030	10764|1103
[tʲ] : [k]	-0.018	0.708	-0.038	75|10764
[j] : [-]	-0.022	0.917	-0.046	7339|0
[o] : [oː]	-0.023	0.715	-0.047	59726|16
[b] : [bː]	-0.025	0.978	-0.052	9197|454
[ʎː] : [gʲː]	-0.030	0.621	-0.064	2527|17
[tʲ] : [t]	-0.034	0.714	-0.072	75|15823
[e] : [eː]	-0.037	0.730	-0.078	24497|4
[dz] : [ts]	-0.045	0.973	-0.094	805|1649
[n] : [ɲ]	-0.047	0.763	-0.100	24711|82
[tʲ] : [kʲ]	-0.050	0.687	-0.108	75|1103
[z] : [s]	-0.059	0.963	-0.125	1325|13908
[dʲ] : [-]	-0.061	0.684	-0.133	22|0
[dzː] : [tsː]	-0.063	0.968	-0.135	1485|3376
[j] : [dʲ]	-0.062	0.659	-0.136	7339|22
[nː] : [ɲ]	-0.064	0.763	-0.141	816|82
[m] : [mː]	-0.072	0.994	-0.154	10715|433
[ʃ] : [tʃ]	-0.107	0.944	-0.240	3427|8213
[d] : [dː]	-0.109	0.600	-0.267	6845|15
[x] : [h]	-0.119	0.593	-0.296	357|1996
[r] : [rː]	-0.138	0.950	-0.324	26981|545
[g] : [gʲ]	-0.140	0.928	-0.330	7232|534
[ʒ] : [dʒ]	-0.151	0.974	-0.358	568|1186
[ts] : [sː]	-0.163	0.969	-0.391	1649|1396
[gʲ] : [d]	-0.176	0.963	-0.432	534|6845
[dʲ] : [d]	-0.180	0.705	-0.483	22|6845
[b] : [β]	-0.192	0.683	-0.533	9197|238
[ʎ] : [ʎː]	-0.237	0.692	-0.719	24|2527
[gʲ] : [dʲ]	-0.240	0.663	-0.754	534|22
[g] : [ɣ]	-0.260	0.683	-0.837	7232|785
[ɲ] : [ɲː]	-0.308	0.767	-1.028	82|2303
[k] : [x]	-0.296	0.696	-1.029	10764|357
[d] : [ð]	-0.311	0.625	-1.235	6845|775
[k] : [h]	-0.450	0.795	-2.072	10764|1996
[p] : [ɸ]	-0.502	0.710	-3.431	12519|1666
[t] : [θ]	-0.545	0.679	-5.490	15823|3654
