CORR	DIST	REPR	IDIO	FREQ
[ʎː] : [ɟ]	0.413	0.581	0.483	2511|1
[vː] : [v]	0.309	0.999	0.472	6|3803
[gː] : [kː]	0.376	0.592	0.460	2|4560
[z] : [zː]	0.390	0.540	0.453	1316|4
[ɣ] : [gː]	0.396	0.508	0.445	785|2
[dː] : [tː]	0.370	0.543	0.440	15|5225
[ɲː] : [nː]	0.264	0.991	0.417	2289|810
[θ] : [t]	0.271	0.886	0.416	3653|15698
[u] : [u̞]	0.317	0.599	0.415	9128|1
[l] : [ɖ]	0.327	0.555	0.412	19045|9
[dːʲ] : [ɟ]	0.406	0.400	0.403	7|1
[ʤː] : [ʒ]	0.255	0.955	0.403	1265|564
[h] : [k]	0.253	0.903	0.395	1996|10703
[s] : [ɕ]	0.286	0.585	0.384	13816|2
[ʤː] : [gːʲ]	0.289	0.528	0.374	1265|17
[gːʲ] : [ɟ]	0.354	0.390	0.371	17|1
[g] : [gː]	0.279	0.551	0.370	7182|2
[zː] : [ʦː]	0.262	0.578	0.360	4|3356
[d] : [dː]	0.275	0.518	0.359	6797|15
[ɸ] : [p]	0.224	0.906	0.359	1666|12429
[i] : [i̞]	0.258	0.546	0.350	26193|4
[ʤ] : [ʒ]	0.209	0.948	0.342	1179|564
[g] : [gʲ]	0.209	0.925	0.341	7182|529
[z] : [ʒ]	0.206	0.931	0.337	1316|564
[β] : [bː]	0.179	0.810	0.293	238|452
[ɲ] : [-]	0.190	0.525	0.279	81|0
[ð] : [d]	0.166	0.818	0.276	775|6797
[x] : [k]	0.172	0.664	0.273	333|10703
[d] : [-]	0.155	0.924	0.265	6797|0
[a] : [æ]	0.174	0.505	0.259	70241|6
[ɣ] : [g]	0.152	0.831	0.256	785|7182
[-] : [v]	0.141	0.998	0.246	0|3803
[ʧ] : [ʃ]	0.133	0.914	0.232	8160|3407
[θ] : [dː]	0.151	0.504	0.232	3653|15
[ð] : [dː]	0.144	0.479	0.221	775|15
[ʤ] : [ʤː]	0.121	0.990	0.216	1179|1265
[h] : [θ]	0.127	0.710	0.216	1996|3653
[ɖ] : [lː]	0.130	0.519	0.209	9|6313
[o] : [ə]	0.137	0.427	0.207	59374|31
[sː] : [ʦ]	0.112	0.971	0.201	1388|1636
[ʃ] : [ʃː]	0.108	0.956	0.194	3407|1376
[dʲ] : [g]	0.112	0.617	0.190	22|7182
[ʃ] : [ʒ]	0.106	0.916	0.190	3407|564
[s] : [zː]	0.114	0.544	0.188	13816|4
[-] : [fː]	0.099	0.998	0.180	0|183
[β] : [b]	0.099	0.816	0.177	238|9134
[gʲ] : [ʤ]	0.088	0.955	0.162	529|1179
[-] : [x]	0.095	0.500	0.160	0|333
[ʎ] : [gːʲ]	0.102	0.365	0.159	24|17
[s] : [ʦ]	0.086	0.967	0.158	13816|1636
[ʃ] : [ɕ]	0.090	0.574	0.156	3407|2
[ə] : [i]	0.087	0.617	0.153	31|26193
[θ] : [d]	0.082	0.896	0.150	3653|6797
[sː] : [ʦː]	0.081	0.980	0.149	1388|3356
[ɸ] : [β]	0.082	0.670	0.147	1666|238
[d] : [dʲ]	0.074	0.605	0.132	6797|22
[ʎ] : [ʎː]	0.074	0.539	0.130	24|2511
[ɲ] : [nː]	0.071	0.685	0.128	81|810
[gː] : [-]	0.074	0.427	0.126	2|0
[-] : [ɟ]	0.072	0.411	0.122	0|1
[-] : [g]	0.063	0.964	0.119	0|7182
[n] : [ŋ]	0.067	0.467	0.117	24546|27
[l] : [ʎ]	0.063	0.721	0.116	19045|24
[e] : [-]	0.058	0.990	0.110	24334|0
[ʣ] : [zː]	0.061	0.546	0.109	800|4
[-] : [h]	0.059	0.708	0.109	0|1996
[ʣ] : [z]	0.057	0.953	0.108	800|1316
[h] : [x]	0.058	0.636	0.107	1996|333
[gʲ] : [j]	0.055	0.935	0.105	529|7360
[ʦ] : [ʣ]	0.055	0.964	0.104	1636|800
[kːʲ] : [j]	0.055	0.920	0.104	1170|7360
[n] : [ɲ]	0.051	0.761	0.096	24546|81
[tːʲ] : [kː]	0.053	0.503	0.096	22|4560
[dʲ] : [ʤ]	0.052	0.616	0.096	22|1179
[s] : [ʃ]	0.046	0.913	0.088	13816|3407
[ə] : [-]	0.048	0.448	0.087	31|0
[-] : [kː]	0.045	0.964	0.086	0|4560
[kːʲ] : [tːʲ]	0.046	0.548	0.085	1170|22
[i] : [-]	0.043	0.994	0.083	26193|0
[l] : [ḙ]	0.044	0.512	0.081	19045|5
[b] : [bː]	0.042	0.977	0.081	9134|452
[kʲ] : [j]	0.038	0.905	0.074	1096|7360
[t] : [dː]	0.039	0.518	0.072	15698|15
[ʎ] : [dːʲ]	0.040	0.362	0.072	24|7
[m] : [mː]	0.037	0.994	0.071	10648|430
[j] : [-]	0.037	0.933	0.071	7360|0
[õ] : [n]	0.037	0.522	0.068	11|24546
[ɖ] : [-]	0.038	0.351	0.068	9|0
[h] : [dː]	0.035	0.510	0.065	1996|15
