CORR	DIST	REPR	CHAR	FREQ
[ɲː] : [ɲ]	0.515	0.753	0.612	2303|82
[kʲː] : [tʲː]	0.562	0.626	0.593	1177|25
[θ] : [t]	0.404	0.926	0.563	3654|15823
[ʎː] : [dʲː]	0.478	0.633	0.545	2527|7
[ɟ] : [ʎː]	0.435	0.727	0.544	1|2527
[sː] : [ts]	0.362	0.975	0.528	1396|1649
[dzː] : [zː]	0.436	0.637	0.518	1485|4
[ʎː] : [ʎ]	0.378	0.709	0.493	2527|24
[ɸ] : [p]	0.332	0.947	0.492	1666|12518
[vː] : [v]	0.314	0.999	0.478	7|3829
[gː] : [ɣ]	0.402	0.572	0.472	2|785
[kː] : [gː]	0.360	0.660	0.466	4585|2
[h] : [k]	0.298	0.932	0.452	1996|10764
[ɖ] : [l]	0.324	0.716	0.446	9|19175
[gː] : [g]	0.324	0.696	0.442	2|7232
[-] : [ḙ/e̯]	0.340	0.618	0.439	0|5
[z] : [zː]	0.329	0.632	0.432	1325|4
[θ] : [dː]	0.339	0.587	0.430	3654|15
[u] : [u̞]	0.309	0.686	0.426	9185|1
[eː] : [e]	0.276	0.906	0.424	4|24497
[ɟ] : [dʲː]	0.357	0.514	0.421	1|7
[dʒː] : [gʲː]	0.315	0.614	0.417	1272|17
[ɕ] : [s]	0.286	0.752	0.414	2|13908
[ɟ] : [ʎ]	0.278	0.563	0.372	1|24
[i] : [i̞]	0.256	0.660	0.369	26362|4
[gʲː] : [ʎ]	0.281	0.531	0.367	17|24
[kː] : [tʲː]	0.254	0.633	0.362	4585|25
[ɟ] : [j:]	0.282	0.489	0.358	1|32
[tʃ] : [ʃ]	0.221	0.931	0.357	8213|3427
[gʲː] : [j:]	0.270	0.465	0.341	17|32
[tː] : [dː]	0.233	0.602	0.336	5259|15
[dʒ] : [ʒ]	0.203	0.957	0.335	1186|568
[e] : [õ]	0.205	0.626	0.309	24497|11
[gʲː] : [dʲː]	0.221	0.487	0.304	17|7
[tsː] : [zː]	0.194	0.642	0.297	3376|4
[ɣ] : [g]	0.179	0.868	0.297	785|7232
[ð] : [d]	0.178	0.848	0.295	775|6844
[x] : [k]	0.185	0.691	0.292	357|10764
[ts] : [dz]	0.159	0.963	0.273	1649|805
[a] : [æ]	0.172	0.622	0.269	70671|6
[e] : [ə]	0.176	0.561	0.268	24497|31
[d] : [gʲ]	0.155	0.923	0.265	6844|534
[dʲ] : [g]	0.156	0.701	0.256	22|7232
[-] : [tʲ]	0.154	0.696	0.252	0|75
[β] : [bː]	0.147	0.842	0.251	238|454
[t] : [kʲ]	0.145	0.905	0.250	15823|1103
[r] : [l]	0.136	0.973	0.238	26980|19175
[h] : [x]	0.139	0.685	0.231	1996|357
[s] : [zː]	0.136	0.639	0.224	13908|4
[s] : [ts]	0.126	0.965	0.223	13908|1649
[ɕ] : [ʃ]	0.131	0.721	0.221	2|3427
[ð] : [dː]	0.137	0.551	0.220	775|15
[dː] : [d]	0.130	0.712	0.219	15|6844
[o] : [ə]	0.135	0.561	0.217	59726|31
[ʃ] : [s]	0.118	0.950	0.211	3427|13908
[ʎː] : [j:]	0.127	0.595	0.210	2527|32
[kʲː] : [kː]	0.113	0.954	0.202	1177|4585
[β] : [b]	0.113	0.845	0.200	238|9197
[o] : [õ]	0.116	0.626	0.196	59726|11
[kʲ] : [k]	0.109	0.924	0.195	1103|10764
[mː] : [m]	0.108	0.991	0.194	433|10715
[-] : [tʲː]	0.114	0.627	0.193	0|25
[tsː] : [sː]	0.104	0.985	0.188	3376|1396
[dz] : [z]	0.103	0.962	0.185	805|1325
[gː] : [gʲ]	0.106	0.688	0.183	2|534
[dʲ] : [gʲ]	0.097	0.693	0.170	22|534
[gʲ] : [g]	0.093	0.953	0.169	534|7232
[ʃ] : [ʃː]	0.091	0.961	0.166	3427|1385
[i] : [ə]	0.096	0.562	0.164	26362|31
[ɸ] : [β]	0.090	0.732	0.160	1666|238
[-] : [j]	0.088	0.938	0.160	0|7339
[t] : [dː]	0.092	0.594	0.159	15823|15
[lː] : [ɖ]	0.091	0.625	0.158	6355|9
[h] : [-]	0.086	0.919	0.157	1996|0
[dʒ] : [dʲ]	0.089	0.656	0.157	1186|22
