CORR	DIST	REPR	CHAR	FREQ
[kʲː] : [tʲː]	0.594	0.658	0.624	1177|25
[ʎː] : [dʲː]	0.506	0.666	0.575	2527|7
[dʲ] : [gʲ]	0.489	0.665	0.563	22|534
[h] : [k]	0.406	0.919	0.563	1996|10764
[θ] : [t]	0.379	0.902	0.534	3654|15823
[ɟ] : [ʎː]	0.409	0.678	0.510	1|2527
[vː] : [v]	0.328	0.999	0.494	7|3829
[zː] : [z]	0.396	0.644	0.491	4|1325
[kː] : [gː]	0.379	0.689	0.489	4585|2
[-] : [ḙ/e̯]	0.365	0.646	0.467	0|5
[ɖ] : [l]	0.354	0.672	0.463	9|19175
[ɸ] : [p]	0.305	0.916	0.458	1666|12519
[ɲː] : [ɲ]	0.323	0.773	0.456	2303|82
[gː] : [ɣ]	0.390	0.525	0.448	2|785
[θ] : [dː]	0.356	0.604	0.448	3654|15
[dʒː] : [gʲː]	0.343	0.643	0.448	1272|17
[u] : [u̞]	0.324	0.715	0.446	9185|1
[ʎː] : [ʎ]	0.308	0.715	0.431	2527|24
[-] : [h]	0.300	0.739	0.427	0|1996
[gː] : [g]	0.311	0.662	0.424	2|7232
[ɟ] : [dʲː]	0.358	0.510	0.420	1|7
[kː] : [tʲː]	0.305	0.672	0.420	4585|25
[ð] : [d]	0.280	0.828	0.419	775|6845
[-] : [x]	0.294	0.685	0.412	0|357
[ɕ] : [s]	0.274	0.710	0.395	2|13908
[eː] : [e]	0.259	0.803	0.392	4|24497
[gʲː] : [ʎ]	0.317	0.504	0.390	17|24
[ɟ] : [ʎ]	0.305	0.538	0.389	1|24
[ɸ] : [β]	0.271	0.665	0.385	1666|238
[i] : [i̞]	0.267	0.690	0.385	26362|4
[x] : [k]	0.260	0.687	0.377	357|10764
[dzː] : [z]	0.228	0.934	0.366	1485|1325
[ɟ] : [j:]	0.281	0.491	0.358	1|32
[tː] : [dː]	0.243	0.638	0.352	5259|15
[β] : [bː]	0.223	0.820	0.351	238|454
[dʒ] : [ʒ]	0.213	0.938	0.348	1186|568
[gʲː] : [dʲː]	0.269	0.479	0.345	17|7
[tsː] : [zː]	0.227	0.690	0.342	3376|4
[gʲː] : [j:]	0.262	0.463	0.335	17|32
[r] : [l]	0.202	0.977	0.334	26981|19175
[e] : [õ]	0.222	0.663	0.333	24497|11
[oː] : [o]	0.212	0.767	0.333	16|59726
[sː] : [ts]	0.198	0.972	0.329	1396|1649
[tsː] : [sː]	0.198	0.981	0.329	3376|1396
[β] : [b]	0.194	0.828	0.314	238|9197
[ɣ] : [g]	0.188	0.832	0.307	785|7232
[aː] : [a]	0.188	0.726	0.299	12|70672
[tʃ] : [ʃ]	0.175	0.907	0.294	8213|3427
[e] : [ə]	0.194	0.598	0.293	24497|31
[dʲ] : [g]	0.185	0.676	0.290	22|7232
[a] : [æ]	0.182	0.653	0.284	70672|6
[d] : [gʲ]	0.166	0.927	0.282	6845|534
[dzː] : [sː]	0.158	0.969	0.272	1485|1396
[-] : [tʲ]	0.166	0.718	0.270	0|75
[dzː] : [dz]	0.152	0.969	0.263	1485|805
[ʎː] : [j:]	0.163	0.636	0.259	2527|32
[t] : [dː]	0.157	0.623	0.251	15823|15
[z] : [ʒ]	0.143	0.918	0.248	1325|568
[ɲ] : [nː]	0.144	0.769	0.243	82|816
[gː] : [gʲ]	0.140	0.651	0.230	2|534
[ð] : [dː]	0.144	0.568	0.230	775|15
[o] : [ə]	0.139	0.598	0.225	59726|31
[zː] : [s]	0.130	0.657	0.217	4|13908
[lː] : [ɖ]	0.128	0.657	0.215	6355|9
[-] : [w]	0.121	0.956	0.214	0|1683
[t] : [kʲ]	0.119	0.902	0.210	15823|1103
[-] : [tʲː]	0.122	0.662	0.206	0|25
[θ] : [ð]	0.123	0.612	0.205	3654|775
[o] : [õ]	0.119	0.663	0.202	59726|11
[h] : [x]	0.115	0.676	0.196	1996|357
[pː] : [ɸ]	0.110	0.711	0.191	1495|1666
[mː] : [m]	0.101	0.993	0.184	433|10715
[θ] : [d]	0.098	0.906	0.177	3654|6845
[i] : [ə]	0.102	0.599	0.174	26362|31
[-] : [dʲ]	0.097	0.683	0.171	0|22
[ts] : [dz]	0.090	0.967	0.165	1649|805
[ɕ] : [ʃ]	0.093	0.672	0.164	2|3427
[ʃ] : [ʒ]	0.090	0.909	0.164	3427|568
[dː] : [d]	0.089	0.685	0.157	15|6845
[dzː] : [zː]	0.087	0.684	0.155	1485|4
[h] : [ɣ]	0.087	0.682	0.155	1996|785
[j] : [tʲ]	0.086	0.719	0.154	7339|75
[ɲː] : [nː]	0.083	0.993	0.153	2303|816
[zː] : [dz]	0.085	0.660	0.150	4|805
[x] : [ɣ]	0.084	0.545	0.146	357|785
[tsː] : [dzː]	0.078	0.963	0.145	3376|1485
[tsː] : [ts]	0.069	0.967	0.128	3376|1649
[ɲ] : [n]	0.051	0.772	0.095	82|24711
[gʲ] : [-]	0.048	0.917	0.091	534|0
[j] : [dʲ]	0.045	0.683	0.085	7339|22
[-] : [j:]	0.043	0.622	0.081	0|32
[k] : [kʲ]	0.040	0.921	0.077	10764|1103
[k] : [tʲ]	0.040	0.729	0.076	10764|75
[gʲ] : [g]	0.039	0.954	0.075	534|7232
[ʎ] : [l]	0.039	0.675	0.073	24|19175
