CORR	DIST	REPR	IDIO	FREQ
[kːʲ] : [tːʲ]	0.606	0.600	0.603	1170|22
[dːʲ] : [ʎː]	0.483	0.543	0.512	7|2511
[zː] : [ʣː]	0.467	0.534	0.498	4|1473
[vː] : [v]	0.327	1.000	0.493	6|3803
[ɟ] : [ʎː]	0.409	0.570	0.476	1|2511
[ɖ] : [lː]	0.402	0.497	0.444	9|6313
[ʤ] : [ʒ]	0.284	0.943	0.436	1179|564
[zː] : [z]	0.346	0.531	0.419	4|1316
[u] : [u̞]	0.321	0.600	0.418	9128|1
[ʤː] : [ʒ]	0.252	0.949	0.398	1265|564
[gː] : [kː]	0.311	0.536	0.393	2|4560
[ɲ] : [-]	0.314	0.516	0.390	81|0
[ʧ] : [ʃ]	0.246	0.914	0.388	8160|3407
[l] : [ḙ]	0.306	0.525	0.387	19045|5
[ɕ] : [s]	0.287	0.592	0.386	2|13816
[θ] : [t]	0.247	0.868	0.385	3653|15698
[gː] : [ɣ]	0.331	0.443	0.379	2|785
[dːʲ] : [gːʲ]	0.347	0.389	0.367	7|17
[h] : [k]	0.224	0.888	0.358	1996|10703
[dːʲ] : [ʎ]	0.309	0.420	0.356	7|24
[dː] : [tː]	0.280	0.484	0.355	15|5225
[ʎ] : [gːʲ]	0.286	0.443	0.348	24|17
[j] : [tːʲ]	0.243	0.603	0.347	7360|22
[nː] : [ɲː]	0.210	0.991	0.347	810|2289
[gː] : [g]	0.255	0.536	0.345	2|7182
[gːʲ] : [ʤː]	0.255	0.520	0.343	17|1265
[ʣː] : [ʣ]	0.197	0.968	0.327	1473|800
[ɸ] : [p]	0.200	0.889	0.326	1666|12429
[-] : [h]	0.204	0.695	0.316	0|1996
[ʤ] : [ʤː]	0.185	0.991	0.312	1179|1265
[h] : [ɣ]	0.193	0.666	0.299	1996|785
[r] : [l]	0.174	0.976	0.295	26812|19045
[-] : [x]	0.201	0.487	0.284	0|333
[ð] : [dː]	0.197	0.499	0.283	775|15
[ʒ] : [ʃ]	0.164	0.906	0.277	564|3407
[ð] : [d]	0.164	0.804	0.273	775|6797
[x] : [ɣ]	0.182	0.534	0.272	333|785
[d] : [dː]	0.176	0.550	0.267	6797|15
[a] : [æ]	0.179	0.518	0.267	70241|6
[β] : [bː]	0.154	0.800	0.258	238|452
[ə] : [e]	0.185	0.425	0.258	31|24334
[zː] : [ʦː]	0.162	0.538	0.250	4|3356
[sː] : [ʦ]	0.142	0.974	0.248	1388|1636
[d] : [-]	0.141	0.924	0.244	6797|0
[x] : [k]	0.148	0.667	0.243	333|10703
[ɣ] : [g]	0.140	0.816	0.239	785|7182
[z] : [ʒ]	0.136	0.920	0.237	1316|564
[-] : [o]	0.133	0.985	0.234	0|59374
[sː] : [ʦː]	0.126	0.980	0.224	1388|3356
[s] : [ʦ]	0.126	0.968	0.223	13816|1636
[ə] : [o]	0.131	0.425	0.200	31|59374
[kː] : [tːʲ]	0.116	0.611	0.195	4560|22
[β] : [b]	0.107	0.806	0.188	238|9134
[ʦ] : [ʣ]	0.102	0.964	0.184	1636|800
[kʲ] : [tʲ]	0.100	0.682	0.174	1096|71
[gː] : [gʲ]	0.103	0.526	0.173	2|529
[i] : [-]	0.095	0.993	0.173	26193|0
