CORR	DIST	REPR	CHAR	FREQ
[tʲː] : [kʲː]	0.594	0.658	0.624	25|1177
[dʲː] : [ʎː]	0.506	0.666	0.575	7|2527
[gʲ] : [dʲ]	0.489	0.665	0.563	534|22
[k] : [h]	0.406	0.919	0.563	10764|1996
[t] : [θ]	0.379	0.902	0.534	15823|3654
[ʎː] : [ɟ]	0.409	0.678	0.510	2527|1
[v] : [vː]	0.328	0.999	0.494	3829|7
[z] : [zː]	0.396	0.644	0.491	1325|4
[gː] : [kː]	0.379	0.689	0.489	2|4585
[ḙ/e̯] : [-]	0.362	0.647	0.464	5|0
[l] : [ɖ]	0.354	0.672	0.463	19175|9
[p] : [ɸ]	0.305	0.916	0.458	12518|1666
[ɲ] : [ɲː]	0.323	0.773	0.456	82|2303
[ɣ] : [gː]	0.390	0.525	0.448	785|2
[dː] : [θ]	0.356	0.604	0.448	15|3654
[gʲː] : [dʒː]	0.343	0.643	0.448	17|1272
[u̞] : [u]	0.324	0.715	0.446	1|9185
[ʎ] : [ʎː]	0.308	0.715	0.431	24|2527
[h] : [-]	0.299	0.740	0.426	1996|0
[g] : [gː]	0.311	0.662	0.424	7232|2
[dʲː] : [ɟ]	0.358	0.510	0.420	7|1
[tʲː] : [kː]	0.306	0.672	0.420	25|4585
[d] : [ð]	0.280	0.828	0.419	6844|775
[x] : [-]	0.293	0.686	0.411	357|0
[s] : [ɕ]	0.274	0.710	0.396	13908|2
[e] : [eː]	0.259	0.803	0.392	24497|4
[ʎ] : [gʲː]	0.317	0.504	0.390	24|17
[ʎ] : [ɟ]	0.305	0.538	0.389	24|1
[β] : [ɸ]	0.271	0.665	0.385	238|1666
[i̞] : [i]	0.267	0.690	0.385	4|26362
[k] : [x]	0.260	0.687	0.377	10764|357
[z] : [dzː]	0.228	0.934	0.366	1325|1485
[j:] : [ɟ]	0.282	0.491	0.358	32|1
[dː] : [tː]	0.243	0.638	0.352	15|5259
[bː] : [β]	0.223	0.820	0.351	454|238
[ʒ] : [dʒ]	0.213	0.938	0.348	568|1186
[dʲː] : [gʲː]	0.269	0.479	0.345	7|17
[zː] : [tsː]	0.227	0.690	0.342	4|3376
[j:] : [gʲː]	0.262	0.463	0.335	32|17
[l] : [r]	0.202	0.977	0.334	19175|26980
[õ] : [e]	0.222	0.663	0.333	11|24497
[o] : [oː]	0.212	0.767	0.333	59726|16
[ts] : [sː]	0.198	0.972	0.329	1649|1396
[sː] : [tsː]	0.198	0.981	0.329	1396|3376
[b] : [β]	0.194	0.828	0.314	9197|238
[g] : [ɣ]	0.188	0.832	0.307	7232|785
[a] : [aː]	0.188	0.726	0.299	70671|12
[ʃ] : [tʃ]	0.175	0.907	0.294	3427|8213
[ə] : [e]	0.194	0.598	0.293	31|24497
[g] : [dʲ]	0.185	0.677	0.290	7232|22
[æ] : [a]	0.182	0.653	0.284	6|70671
[gʲ] : [d]	0.166	0.927	0.282	534|6844
[sː] : [dzː]	0.158	0.969	0.272	1396|1485
[tʲ] : [-]	0.163	0.719	0.265	75|0
[dz] : [dzː]	0.153	0.969	0.264	805|1485
[j:] : [ʎː]	0.163	0.636	0.259	32|2527
[dː] : [t]	0.157	0.623	0.251	15|15823
[ʒ] : [z]	0.143	0.918	0.248	568|1325
[nː] : [ɲ]	0.144	0.769	0.243	816|82
[gʲ] : [gː]	0.140	0.651	0.230	534|2
[dː] : [ð]	0.144	0.568	0.230	15|775
[ə] : [o]	0.139	0.598	0.225	31|59726
[s] : [zː]	0.130	0.657	0.217	13908|4
[ɖ] : [lː]	0.128	0.657	0.215	9|6355
[w] : [-]	0.120	0.957	0.213	1683|0
[kʲ] : [t]	0.119	0.902	0.210	1103|15823
[ð] : [θ]	0.123	0.612	0.205	775|3654
[õ] : [o]	0.119	0.663	0.202	11|59726
[tʲː] : [-]	0.118	0.662	0.201	25|0
[x] : [h]	0.115	0.676	0.196	357|1996
[ɸ] : [pː]	0.110	0.711	0.191	1666|1495
[m] : [mː]	0.101	0.993	0.184	10715|433
[d] : [θ]	0.098	0.906	0.177	6844|3654
[ə] : [i]	0.102	0.599	0.174	31|26362
[dʲ] : [-]	0.097	0.684	0.170	22|0
[dz] : [ts]	0.090	0.967	0.165	805|1649
[ʃ] : [ɕ]	0.094	0.672	0.164	3427|2
[ʒ] : [ʃ]	0.090	0.909	0.164	568|3427
[d] : [dː]	0.089	0.685	0.157	6844|15
[zː] : [dzː]	0.087	0.684	0.155	4|1485
[ɣ] : [h]	0.087	0.682	0.155	785|1996
[tʲ] : [j]	0.086	0.719	0.154	75|7339
[nː] : [ɲː]	0.083	0.993	0.153	816|2303
[dz] : [zː]	0.085	0.660	0.150	805|4
[ɣ] : [x]	0.084	0.545	0.146	785|357
[dzː] : [tsː]	0.078	0.963	0.145	1485|3376
[ts] : [tsː]	0.069	0.967	0.128	1649|3376
[n] : [ɲ]	0.051	0.772	0.095	24711|82
[-] : [gʲ]	0.048	0.918	0.091	0|534
[dʲ] : [j]	0.045	0.683	0.085	22|7339
[j:] : [-]	0.043	0.622	0.080	32|0
[kʲ] : [k]	0.040	0.921	0.077	1103|10764
[tʲ] : [k]	0.040	0.729	0.076	75|10764
[g] : [gʲ]	0.039	0.954	0.075	7232|534
[l] : [ʎ]	0.039	0.675	0.073	19175|24
[z] : [s]	0.038	0.944	0.073	1325|13908
[β] : [p]	0.038	0.694	0.072	238|12518
[x] : [kː]	0.037	0.696	0.071	357|4585
[tʲ] : [kʲ]	0.036	0.703	0.069	75|1103
[n] : [ŋ]	0.030	0.597	0.058	24711|27
[gʲ] : [dʒ]	0.029	0.960	0.056	534|1186
[bː] : [pː]	0.026	0.984	0.050	454|1495
[d] : [dʲ]	0.026	0.677	0.050	6844|22
[ʎː] : [gʲː]	0.025	0.626	0.049	2527|17
[s] : [ʃ]	0.025	0.949	0.048	13908|3427
[dʒ] : [dʒː]	0.024	0.968	0.048	1186|1272
[tʲ] : [t]	0.024	0.717	0.047	75|15823
[ts] : [s]	0.022	0.965	0.043	1649|13908
[ɛ] : [eː]	0.021	0.800	0.041	6808|4
[f] : [fː]	0.021	1.000	0.041	4816|184
[-] : [j]	0.018	0.915	0.034	0|7339
[dz] : [z]	0.015	0.966	0.029	805|1325
[ʒ] : [dʒː]	0.014	0.941	0.028	568|1272
[dʲ] : [dʒ]	0.010	0.700	0.019	22|1186
[tʲː] : [j]	0.008	0.662	0.017	25|7339
[b] : [bː]	0.003	0.992	0.007	9197|454
[dː] : [h]	0.002	0.616	0.004	15|1996
[j:] : [j]	0.002	0.622	0.004	32|7339
[kʲː] : [kː]	0.001	0.933	0.001	1177|4585
[rː] : [r]	0.001	0.962	0.001	545|26980
[r] : [rː]	-0.001	0.969	-0.001	26980|545
[kː] : [kʲː]	-0.001	0.939	-0.001	4585|1177
[j] : [j:]	-0.002	0.598	-0.004	7339|32
[bː] : [b]	-0.003	0.977	-0.007	454|9197
[dʒ] : [dʲ]	-0.010	0.668	-0.020	1186|22
[dʒː] : [ʒ]	-0.014	0.988	-0.029	1272|568
[z] : [dz]	-0.015	0.951	-0.030	1325|805
[j] : [-]	-0.018	0.930	-0.036	7339|0
[fː] : [f]	-0.021	0.997	-0.042	184|4816
[s] : [ts]	-0.022	0.961	-0.045	13908|1649
[dʒː] : [dʒ]	-0.024	0.994	-0.050	1272|1186
[t] : [tʲ]	-0.024	0.723	-0.050	15823|75
[ʃ] : [s]	-0.025	0.902	-0.051	3427|13908
[gʲː] : [ʎː]	-0.025	0.642	-0.053	17|2527
[dʲ] : [d]	-0.026	0.682	-0.054	22|6844
[ŋ] : [n]	-0.030	0.687	-0.063	27|24711
[kʲ] : [tʲ]	-0.036	0.697	-0.076	1103|75
[s] : [z]	-0.038	0.960	-0.079	13908|1325
[gʲ] : [g]	-0.039	0.935	-0.081	534|7232
[ʎ] : [l]	-0.039	0.708	-0.082	24|19175
[k] : [kʲ]	-0.040	0.911	-0.084	10764|1103
[k] : [tʲ]	-0.040	0.717	-0.086	10764|75
[-] : [j:]	-0.043	0.592	-0.092	0|32
[j] : [dʲ]	-0.045	0.666	-0.097	7339|22
[ɲ] : [n]	-0.051	0.772	-0.109	82|24711
[tsː] : [ts]	-0.069	0.962	-0.148	3376|1649
[tsː] : [dzː]	-0.078	0.964	-0.171	3376|1485
[ts] : [dz]	-0.090	0.972	-0.199	1649|805
[ʃ] : [ʒ]	-0.090	0.905	-0.200	3427|568
[dzː] : [zː]	-0.087	0.652	-0.202	1485|4
[dː] : [d]	-0.089	0.623	-0.207	15|6844
[-] : [dʲ]	-0.097	0.658	-0.228	0|22
[h] : [x]	-0.115	0.574	-0.286	1996|357
[lː] : [ɖ]	-0.128	0.673	-0.317	6355|9
[z] : [ʒ]	-0.143	0.947	-0.338	1325|568
[tʃ] : [ʃ]	-0.175	0.934	-0.432	8213|3427
[ʎː] : [j:]	-0.163	0.608	-0.445	2527|32
[sː] : [ts]	-0.198	0.967	-0.499	1396|1649
[ɣ] : [g]	-0.188	0.695	-0.515	785|7232
