CORR	DIST	REPR	CHAR	FREQ
[tʲː] : [kʲː]	0.737	0.806	0.770	25|1177
[ḙ/e̯] : [-]	0.434	0.760	0.553	5|0
[ʒ] : [dʒ]	0.381	0.952	0.544	568|1186
[ʎː] : [gʲː]	0.498	0.586	0.538	2527|17
[ʎː] : [dʲː]	0.469	0.617	0.533	2527|7
[ʃ] : [tʃ]	0.367	0.925	0.526	3427|8213
[dzː] : [zː]	0.449	0.626	0.523	1485|4
[u̞] : [u]	0.380	0.806	0.516	1|9185
[tʲː] : [kː]	0.366	0.827	0.508	25|4585
[ʎː] : [ɟ]	0.408	0.661	0.505	2527|1
[gʲ] : [dʲ]	0.420	0.618	0.500	534|22
[s] : [ʃ]	0.323	0.939	0.481	13908|3427
[lː] : [ɖ]	0.386	0.600	0.470	6355|9
[-] : [gʲ]	0.305	0.925	0.458	0|534
[j] : [j:]	0.373	0.569	0.451	7339|32
[ʎː] : [j:]	0.353	0.580	0.438	2527|32
[h] : [-]	0.288	0.821	0.426	1996|0
[ɣ] : [gː]	0.324	0.560	0.411	785|2
[ʎ] : [gʲː]	0.340	0.518	0.410	24|17
[kː] : [gː]	0.300	0.624	0.405	4585|2
[z] : [zː]	0.294	0.620	0.399	1325|4
[d] : [ð]	0.264	0.785	0.395	6844|775
[n] : [ŋ]	0.301	0.575	0.395	24711|27
[tʲ] : [-]	0.258	0.816	0.392	75|0
[s] : [ɕ]	0.273	0.686	0.390	13908|2
[t] : [θ]	0.249	0.839	0.384	15823|3654
[dz] : [dzː]	0.235	0.969	0.378	805|1485
[dʲ] : [-]	0.240	0.836	0.373	22|0
[ɣ] : [h]	0.247	0.753	0.372	785|1996
[e] : [eː]	0.242	0.751	0.366	24497|4
[ɲ] : [ɲː]	0.232	0.850	0.365	82|2303
[θ] : [dː]	0.283	0.498	0.361	3654|15
[g] : [gː]	0.252	0.627	0.359	7232|2
[dʒː] : [gʲː]	0.255	0.587	0.355	1272|17
[d] : [dː]	0.249	0.584	0.349	6844|15
[m] : [mː]	0.211	0.994	0.348	10715|433
[z] : [dzː]	0.210	0.945	0.343	1325|1485
[d] : [dʲ]	0.233	0.651	0.343	6844|22
[ɣ] : [x]	0.236	0.604	0.339	785|357
[t] : [dː]	0.231	0.580	0.331	15823|15
[s] : [sː]	0.197	0.986	0.329	13908|1396
[p] : [ɸ]	0.203	0.862	0.328	12518|1666
[kʲ] : [kʲː]	0.198	0.849	0.321	1103|1177
[o] : [oː]	0.201	0.740	0.316	59726|16
[tː] : [dː]	0.211	0.583	0.309	5259|15
[e] : [õ]	0.204	0.611	0.306	24497|11
[g] : [dʲ]	0.197	0.647	0.302	7232|22
[tsː] : [zː]	0.185	0.630	0.286	3376|4
[a] : [aː]	0.177	0.691	0.282	70671|12
[dz] : [zː]	0.178	0.631	0.278	805|4
[z] : [ʒ]	0.159	0.943	0.272	1325|568
[g] : [gʲ]	0.158	0.957	0.271	7232|534
