CORR	DIST	REPR	CHAR	FREQ
[ts] : [sː]	0.466	0.984	0.633	1649|1396
[zː] : [z]	0.465	0.751	0.574	4|1325
[kʲː] : [tʲː]	0.541	0.593	0.566	1177|25
[ʎː] : [gʲː]	0.503	0.588	0.542	2527|17
[ʎː] : [dʲː]	0.465	0.618	0.531	2527|7
[gʲ] : [dʲ]	0.435	0.657	0.524	534|22
[-] : [h]	0.372	0.852	0.518	0|1996
[ʎː] : [ɟ]	0.401	0.661	0.499	2527|1
[lː] : [ɖ]	0.380	0.602	0.466	6355|9
[rː] : [r]	0.292	0.987	0.451	545|26981
[j] : [j:]	0.370	0.573	0.450	7339|32
[vː] : [v]	0.289	0.999	0.448	7|3829
[z] : [dz]	0.289	0.979	0.446	1325|805
[-] : [ḙ/e̯]	0.335	0.596	0.429	0|5
[ʎː] : [j:]	0.339	0.582	0.429	2527|32
[ɣ] : [gː]	0.333	0.561	0.418	785|2
[-] : [dʲ]	0.305	0.648	0.415	0|22
[u] : [u̞]	0.300	0.670	0.414	9185|1
[kː] : [gː]	0.307	0.628	0.412	4585|2
[-] : [x]	0.294	0.662	0.408	0|357
[kː] : [tʲː]	0.304	0.611	0.406	4585|25
[θ] : [dː]	0.320	0.551	0.405	3654|15
[n] : [ŋ]	0.305	0.578	0.399	24711|27
[s] : [ɕ]	0.259	0.688	0.377	13908|2
[e] : [eː]	0.247	0.760	0.373	24497|4
[h] : [k]	0.235	0.881	0.371	1996|10764
[i] : [i̞]	0.248	0.639	0.357	26362|4
[ʎː] : [ʎ]	0.238	0.674	0.352	2527|24
[r] : [l]	0.211	0.973	0.346	26981|19175
[d] : [dː]	0.246	0.576	0.344	6845|15
[dʒː] : [gʲː]	0.240	0.590	0.341	1272|17
[d] : [dʲ]	0.228	0.651	0.337	6845|22
[tʃ] : [ʃ]	0.204	0.934	0.334	8213|3427
[dʒ] : [ʒ]	0.201	0.966	0.332	1186|568
[g] : [gː]	0.223	0.625	0.329	7232|2
[s] : [ʃ]	0.197	0.931	0.326	13908|3427
[tː] : [dː]	0.216	0.588	0.315	5259|15
[e] : [õ]	0.210	0.617	0.313	24497|11
[x] : [k]	0.184	0.792	0.299	357|10764
[e] : [ə]	0.182	0.551	0.274	24497|31
[ʃ] : [ʒ]	0.158	0.958	0.272	3427|568
[β] : [bː]	0.155	0.879	0.264	238|454
[a] : [æ]	0.168	0.609	0.263	70672|6
[zː] : [s]	0.159	0.763	0.263	4|13908
[ʃ] : [ɕ]	0.162	0.686	0.262	3427|2
[t] : [dː]	0.165	0.574	0.257	15823|15
[z] : [ʒ]	0.146	0.953	0.253	1325|568
[-] : [j:]	0.158	0.569	0.248	0|32
[θ] : [d]	0.144	0.874	0.247	3654|6845
[k] : [kʲ]	0.141	0.924	0.245	10764|1103
[ts] : [s]	0.138	0.977	0.241	1649|13908
[k] : [tʲ]	0.137	0.707	0.229	10764|75
[ð] : [dː]	0.140	0.534	0.222	775|15
[tsː] : [zː]	0.133	0.660	0.222	3376|4
[tsː] : [ts]	0.116	0.966	0.208	3376|1649
[o] : [ə]	0.126	0.551	0.205	59726|31
[tʲ] : [t]	0.116	0.781	0.202	75|15823
[sː] : [dzː]	0.112	0.971	0.201	1396|1485
[ɲː] : [ɲ]	0.111	0.748	0.193	2303|82
[ɸ] : [p]	0.106	0.901	0.189	1666|12519
[kʲ] : [tʲ]	0.110	0.668	0.189	1103|75
[g] : [dʲ]	0.109	0.656	0.187	7232|22
[o] : [õ]	0.108	0.617	0.184	59726|11
[j] : [-]	0.101	0.928	0.182	7339|0
[-] : [w]	0.099	0.953	0.180	0|1683
[gʲ] : [g]	0.098	0.955	0.179	534|7232
[dz] : [ts]	0.095	0.969	0.173	805|1649
[θ] : [t]	0.093	0.865	0.168	3654|15823
[j] : [tʲ]	0.094	0.700	0.166	7339|75
[i] : [ə]	0.098	0.551	0.166	26362|31
[z] : [s]	0.087	0.971	0.159	1325|13908
[-] : [tʲː]	0.091	0.600	0.159	0|25
[oː] : [o]	0.085	0.887	0.155	16|59726
[ð] : [d]	0.085	0.833	0.155	775|6845
[kː] : [kʲː]	0.082	0.940	0.151	4585|1177
[l] : [ɖ]	0.085	0.597	0.150	19175|9
[β] : [b]	0.081	0.882	0.149	238|9197
[-] : [tʲ]	0.083	0.695	0.148	0|75
[m] : [mː]	0.077	0.994	0.142	10715|433
[j] : [dʲ]	0.077	0.652	0.137	7339|22
[aː] : [a]	0.072	0.886	0.133	12|70672
[dʒː] : [dʒ]	0.065	0.984	0.122	1272|1186
[tsː] : [dzː]	0.064	0.966	0.121	3376|1485
[kʲ] : [t]	0.064	0.874	0.120	1103|15823
[dzː] : [dz]	0.061	0.973	0.115	1485|805
[j] : [tʲː]	0.056	0.604	0.102	7339|25
[b] : [bː]	0.052	0.982	0.098	9197|454
[x] : [h]	0.050	0.734	0.094	357|1996
[ʎ] : [l]	0.044	0.772	0.083	24|19175
[ɸ] : [β]	0.039	0.722	0.075	1666|238
[r] : [ʎ]	0.039	0.670	0.074	26981|24
[zː] : [dz]	0.036	0.768	0.068	4|805
[sː] : [tsː]	0.033	0.984	0.064	1396|3376
[gʲ] : [d]	0.022	0.950	0.043	534|6845
[lː] : [dʲː]	0.020	0.619	0.039	6355|7
[dʒː] : [ʒ]	0.019	0.966	0.037	1272|568
[gʲ] : [-]	0.016	0.937	0.032	534|0
[n] : [ɲ]	0.016	0.749	0.031	24711|82
[ɣ] : [g]	0.009	0.812	0.017	785|7232
[zː] : [dzː]	0.007	0.757	0.014	4|1485
[kː] : [x]	0.001	0.675	0.003	4585|357
[pː] : [bː]	0.001	0.989	0.003	1495|454
[dzː] : [zː]	-0.007	0.655	-0.015	1485|4
[g] : [ɣ]	-0.009	0.780	-0.018	7232|785
[ɲ] : [n]	-0.016	0.816	-0.032	82|24711
[d] : [gʲ]	-0.022	0.932	-0.045	6845|534
[tsː] : [sː]	-0.033	0.983	-0.069	3376|1396
[l] : [ʎ]	-0.044	0.668	-0.094	19175|24
[bː] : [b]	-0.052	0.993	-0.109	454|9197
[h] : [x]	-0.050	0.636	-0.110	1996|357
[dzː] : [tsː]	-0.064	0.968	-0.138	1485|3376
[a] : [aː]	-0.072	0.633	-0.162	70672|12
[kʲː] : [kː]	-0.082	0.928	-0.180	1177|4585
[b] : [β]	-0.081	0.768	-0.182	9197|238
[s] : [z]	-0.087	0.960	-0.191	13908|1325
[d] : [ð]	-0.085	0.753	-0.193	6845|775
[o] : [oː]	-0.085	0.699	-0.193	59726|16
[t] : [θ]	-0.093	0.809	-0.210	15823|3654
[ts] : [dz]	-0.095	0.985	-0.210	1649|805
[g] : [gʲ]	-0.098	0.942	-0.220	7232|534
[-] : [j]	-0.101	0.925	-0.226	0|7339
[p] : [ɸ]	-0.106	0.841	-0.242	12519|1666
[tʲ] : [kʲ]	-0.110	0.769	-0.256	75|1103
[ɲ] : [ɲː]	-0.111	0.814	-0.257	82|2303
[t] : [tʲ]	-0.116	0.697	-0.278	15823|75
[s] : [ts]	-0.138	0.970	-0.321	13908|1649
[tʲ] : [k]	-0.137	0.789	-0.331	75|10764
[kʲ] : [k]	-0.141	0.884	-0.337	1103|10764
[ʒ] : [dʒ]	-0.201	0.984	-0.504	568|1186
[k] : [x]	-0.184	0.673	-0.507	10764|357
[ʃ] : [tʃ]	-0.204	0.973	-0.515	3427|8213
[k] : [h]	-0.235	0.870	-0.643	10764|1996
[ʎ] : [ʎː]	-0.238	0.777	-0.687	24|2527
