CORR	DIST	REPR	IDIO	FREQ
[gʲ] : [dʲ]	0.620	0.629	0.625	529|22
[zː] : [ʣː]	0.546	0.652	0.594	4|1473
[kːʲ] : [tːʲ]	0.541	0.539	0.540	1170|22
[ʦ] : [sː]	0.371	0.960	0.536	1636|1388
[z] : [ʣ]	0.368	0.963	0.532	1316|800
[sː] : [ʦː]	0.365	0.963	0.530	1388|3356
[zː] : [z]	0.410	0.648	0.502	4|1316
[ʎː] : [gːʲ]	0.498	0.505	0.501	2511|17
[-] : [o]	0.330	0.987	0.495	0|59374
[ʤ] : [ʤː]	0.315	0.983	0.477	1179|1265
[ʎː] : [ɟ]	0.397	0.551	0.462	2511|1
[vː] : [v]	0.288	0.999	0.447	6|3803
[ʤ] : [ʃ]	0.283	0.923	0.433	1179|3407
[lː] : [ɖ]	0.372	0.472	0.416	6313|9
[ʤ] : [ʒ]	0.256	0.953	0.404	1179|564
[u] : [u̞]	0.297	0.561	0.389	9128|1
[ɣ] : [gː]	0.332	0.448	0.381	785|2
[ʎ] : [gːʲ]	0.339	0.429	0.379	24|17
[kː] : [gː]	0.295	0.514	0.375	4560|2
[lː] : [ʎː]	0.230	0.988	0.373	6313|2511
[dːʲ] : [gːʲ]	0.345	0.391	0.367	7|17
[s] : [ɕ]	0.271	0.563	0.366	13816|2
[-] : [h]	0.238	0.796	0.366	0|1996
[n] : [ŋ]	0.303	0.462	0.366	24546|27
[k] : [-]	0.222	0.936	0.358	10703|0
[n] : [õ]	0.275	0.508	0.357	24546|11
[l] : [ḙ]	0.283	0.483	0.357	19045|5
[j] : [tːʲ]	0.264	0.547	0.356	7360|22
[ʤː] : [ʒ]	0.217	0.963	0.354	1265|564
[kː] : [-]	0.211	0.962	0.346	4560|0
[-] : [e]	0.209	0.989	0.345	0|24334
[w] : [v]	0.208	0.988	0.344	1672|3803
[b] : [bː]	0.206	0.981	0.340	9134|452
[d] : [dː]	0.261	0.480	0.338	6797|15
[tː] : [dː]	0.248	0.488	0.329	5225|15
[ɲ] : [ɲː]	0.219	0.622	0.324	81|2289
[ʤː] : [gːʲ]	0.229	0.507	0.316	1265|17
[ə] : [e]	0.224	0.532	0.315	31|24334
[g] : [gː]	0.227	0.513	0.315	7182|2
[d] : [dʲ]	0.208	0.624	0.312	6797|22
[dːʲ] : [ʎ]	0.234	0.467	0.312	7|24
[z] : [s]	0.183	0.956	0.307	1316|13816
[sː] : [ʣː]	0.174	0.950	0.293	1388|1473
[zː] : [ʦː]	0.189	0.659	0.293	4|3356
[-] : [fː]	0.171	0.999	0.293	0|183
[β] : [ɸ]	0.179	0.719	0.287	238|1666
[ʧ] : [ʃ]	0.170	0.925	0.287	8160|3407
[n] : [ɲ]	0.169	0.755	0.277	24546|81
[g] : [dʲ]	0.170	0.629	0.267	7182|22
[ʎ] : [ʎː]	0.159	0.731	0.261	24|2511
[dː] : [θ]	0.170	0.551	0.260	15|3653
[r] : [l]	0.147	0.971	0.256	26812|19045
[ə] : [o]	0.162	0.532	0.248	31|59374
[a] : [æ]	0.166	0.484	0.247	70241|6
[-] : [x]	0.156	0.499	0.238	0|333
[z] : [ʒ]	0.134	0.939	0.234	1316|564
[ð] : [dː]	0.154	0.433	0.227	775|15
[ʦ] : [ʦː]	0.125	0.955	0.221	1636|3356
[rː] : [r]	0.125	0.978	0.221	540|26812
[β] : [bː]	0.128	0.809	0.221	238|452
[ʃ] : [ɕ]	0.130	0.552	0.210	3407|2
[dːʲ] : [ʎː]	0.124	0.627	0.207	7|2511
[j] : [kʲ]	0.113	0.907	0.201	7360|1096
[w] : [-]	0.108	0.979	0.194	1672|0
[dː] : [t]	0.115	0.600	0.193	15|15698
