CORR	DIST	REPR	CHAR	FREQ
[ð] : [d]	0.526	0.957	0.679	775|6844
[θ] : [t]	0.525	0.947	0.675	3654|15823
[kʲ] : [tʲ]	0.568	0.697	0.626	1103|75
[ɲː] : [ɲ]	0.486	0.751	0.590	2303|82
[ɸ] : [p]	0.401	0.965	0.566	1666|12518
[β] : [b]	0.398	0.979	0.566	238|9197
[h] : [k]	0.345	0.949	0.506	1996|10764
[ɣ] : [g]	0.315	0.935	0.471	785|7232
[ɸ] : [pː]	0.237	0.984	0.381	1666|1495
[θ] : [d]	0.235	0.961	0.378	3654|6844
[n] : [ɲ]	0.247	0.751	0.372	24711|82
[d] : [gʲ]	0.220	0.948	0.357	6844|534
[tʃ] : [ʃ]	0.218	0.938	0.354	8213|3427
[sː] : [ts]	0.202	0.969	0.335	1396|1649
[k] : [tʲ]	0.218	0.713	0.334	10764|75
[h] : [x]	0.195	0.682	0.303	1996|357
[dʒ] : [ʒ]	0.175	0.967	0.296	1186|568
[s] : [ts]	0.175	0.961	0.295	13908|1649
[t] : [tʲ]	0.177	0.713	0.284	15823|75
[r] : [l]	0.161	0.973	0.276	26980|19175
[x] : [k]	0.166	0.794	0.275	357|10764
[ʃ] : [s]	0.159	0.948	0.273	3427|13908
[tsː] : [ts]	0.155	0.969	0.268	3376|1649
[ts] : [dz]	0.146	0.963	0.254	1649|805
[z] : [ʒ]	0.145	0.951	0.252	1325|568
[β] : [bː]	0.140	0.974	0.245	238|454
[m] : [mː]	0.129	0.994	0.228	10715|433
[kʲː] : [kː]	0.128	0.967	0.227	1177|4585
[ʃ] : [ʒ]	0.124	0.930	0.220	3427|568
[bː] : [b]	0.122	0.986	0.217	454|9197
[-] : [tʲ]	0.118	0.704	0.202	0|75
[t] : [kʲ]	0.089	0.925	0.162	15823|1103
[-] : [h]	0.080	0.857	0.146	0|1996
[dʒː] : [dʒ]	0.077	0.985	0.143	1272|1186
[dz] : [z]	0.076	0.960	0.141	805|1325
[-] : [j]	0.053	0.938	0.100	0|7339
[rː] : [r]	0.052	0.973	0.099	545|26980
[kʲ] : [k]	0.052	0.931	0.099	1103|10764
[h] : [θ]	0.048	0.813	0.091	1996|3654
[ɸ] : [β]	0.047	0.744	0.088	1666|238
[tsː] : [dzː]	0.046	0.966	0.088	3376|1485
[-] : [x]	0.043	0.680	0.080	0|357
[dzː] : [dz]	0.039	0.977	0.076	1485|805
[s] : [z]	0.037	0.950	0.071	13908|1325
[gʲ] : [-]	0.025	0.943	0.050	534|0
[-] : [w]	0.014	0.968	0.029	0|1683
[dʒː] : [ʒ]	0.011	0.967	0.021	1272|568
[tsː] : [sː]	0.007	0.985	0.014	3376|1396
[g] : [gʲ]	0.007	0.944	0.014	7232|534
[gʲ] : [g]	-0.007	0.963	-0.014	534|7232
[sː] : [tsː]	-0.007	0.980	-0.014	1396|3376
[w] : [-]	-0.014	0.953	-0.029	1683|0
[z] : [s]	-0.037	0.971	-0.077	1325|13908
[x] : [-]	-0.043	0.785	-0.090	357|0
[dzː] : [tsː]	-0.046	0.972	-0.097	1485|3376
[r] : [rː]	-0.052	0.963	-0.110	26980|545
[k] : [kʲ]	-0.052	0.925	-0.110	10764|1103
[j] : [-]	-0.053	0.930	-0.112	7339|0
[h] : [-]	-0.080	0.937	-0.175	1996|0
[b] : [bː]	-0.122	0.986	-0.278	9197|454
[kː] : [kʲː]	-0.128	0.942	-0.297	4585|1177
[dz] : [ts]	-0.146	0.972	-0.345	805|1649
[s] : [ʃ]	-0.159	0.925	-0.385	13908|3427
[ʒ] : [dʒ]	-0.175	0.985	-0.425	568|1186
[ts] : [s]	-0.175	0.956	-0.427	1649|13908
[k] : [x]	-0.166	0.688	-0.438	10764|357
[ts] : [sː]	-0.202	0.963	-0.512	1649|1396
[x] : [h]	-0.195	0.731	-0.532	357|1996
[ʃ] : [tʃ]	-0.218	0.944	-0.567	3427|8213
[gʲ] : [d]	-0.220	0.959	-0.570	534|6844
[g] : [ɣ]	-0.315	0.766	-1.067	7232|785
[k] : [h]	-0.345	0.869	-1.143	10764|1996
[p] : [ɸ]	-0.401	0.846	-1.521	12518|1666
[b] : [β]	-0.398	0.750	-1.698	9197|238
[t] : [θ]	-0.525	0.820	-2.915	15823|3654
[d] : [ð]	-0.526	0.748	-3.553	6844|775
