CORR	DIST	REPR	CHAR	FREQ
[θ] : [t]	0.570	0.950	0.713	3654|15823
[ð] : [d]	0.514	0.955	0.668	775|6845
[ɸ] : [p]	0.457	0.967	0.621	1666|12519
[h] : [k]	0.408	0.947	0.571	1996|10764
[β] : [b]	0.286	0.933	0.438	238|9197
[θ] : [d]	0.279	0.969	0.433	3654|6845
[dʒː] : [ʒ]	0.260	0.961	0.409	1272|568
[ɣ] : [g]	0.254	0.903	0.397	785|7232
[d] : [gʲ]	0.235	0.939	0.376	6845|534
[x] : [k]	0.252	0.706	0.371	357|10764
[sː] : [ts]	0.226	0.974	0.367	1396|1649
[z] : [ʒ]	0.165	0.944	0.281	1325|568
[h] : [x]	0.173	0.691	0.276	1996|357
[tsː] : [ts]	0.157	0.969	0.271	3376|1649
[r] : [l]	0.152	0.972	0.263	26981|19175
[β] : [bː]	0.149	0.927	0.257	238|454
[ʃ] : [ʒ]	0.145	0.913	0.251	3427|568
[ɲː] : [ɲ]	0.139	0.759	0.235	2303|82
[mː] : [m]	0.128	0.991	0.227	433|10715
[-] : [tʲ]	0.132	0.698	0.222	0|75
[tsː] : [sː]	0.114	0.984	0.204	3376|1396
[h] : [θ]	0.116	0.780	0.202	1996|3654
[ɸ] : [β]	0.114	0.711	0.196	1666|238
[dʒ] : [ʒ]	0.105	0.958	0.190	1186|568
[ts] : [dz]	0.103	0.963	0.186	1649|805
[ɸ] : [pː]	0.096	0.983	0.175	1666|1495
[ʃ] : [s]	0.096	0.935	0.174	3427|13908
[dz] : [z]	0.092	0.960	0.168	805|1325
[-] : [w]	0.090	0.965	0.164	0|1683
[s] : [ts]	0.087	0.963	0.160	13908|1649
[dzː] : [dz]	0.074	0.972	0.138	1485|805
[ɲ] : [nː]	0.072	0.816	0.132	82|816
[tsː] : [dzː]	0.069	0.965	0.130	3376|1485
[kʲ] : [tʲ]	0.069	0.691	0.125	1103|75
[gʲ] : [g]	0.062	0.961	0.116	534|7232
[s] : [z]	0.059	0.950	0.112	13908|1325
[kʲ] : [k]	0.059	0.928	0.111	1103|10764
[dʒ] : [dʒː]	0.057	0.994	0.107	1186|1272
[tʲ] : [t]	0.057	0.778	0.107	75|15823
[gʲ] : [-]	0.051	0.934	0.096	534|0
[t] : [kʲ]	0.049	0.921	0.093	15823|1103
[kʲː] : [kː]	0.048	0.952	0.092	1177|4585
[bː] : [b]	0.045	0.990	0.086	454|9197
[-] : [j]	0.045	0.936	0.085	0|7339
[rː] : [r]	0.023	0.970	0.045	545|26981
[h] : [-]	0.016	0.932	0.032	1996|0
[k] : [tʲ]	0.012	0.707	0.023	10764|75
[j] : [tʲ]	0.010	0.697	0.019	7339|75
[n] : [ɲ]	0.009	0.759	0.017	24711|82
[x] : [ɣ]	0.003	0.583	0.007	357|785
[tʃ] : [ʃ]	0.003	0.929	0.006	8213|3427
[ʃ] : [tʃ]	-0.003	0.931	-0.006	3427|8213
[ɲ] : [n]	-0.009	0.818	-0.017	82|24711
[tʲ] : [k]	-0.012	0.781	-0.024	75|10764
[-] : [h]	-0.016	0.836	-0.033	0|1996
[r] : [rː]	-0.023	0.961	-0.047	26981|545
[j] : [-]	-0.045	0.924	-0.094	7339|0
[b] : [bː]	-0.045	0.980	-0.095	9197|454
[kː] : [kʲː]	-0.048	0.937	-0.102	4585|1177
[dʒː] : [dʒ]	-0.057	0.983	-0.120	1272|1186
[t] : [tʲ]	-0.057	0.707	-0.125	15823|75
[k] : [kʲ]	-0.059	0.921	-0.126	10764|1103
[z] : [s]	-0.059	0.967	-0.127	1325|13908
[g] : [gʲ]	-0.062	0.935	-0.132	7232|534
[dzː] : [tsː]	-0.069	0.967	-0.150	1485|3376
[tʲ] : [kʲ]	-0.069	0.757	-0.151	75|1103
[nː] : [ɲ]	-0.072	0.758	-0.159	816|82
[ts] : [s]	-0.087	0.957	-0.192	1649|13908
[s] : [ʃ]	-0.096	0.926	-0.214	13908|3427
[dz] : [ts]	-0.103	0.974	-0.230	805|1649
[ʒ] : [dʒ]	-0.105	0.980	-0.236	568|1186
[ɲ] : [ɲː]	-0.139	0.816	-0.334	82|2303
[x] : [h]	-0.173	0.645	-0.472	357|1996
[ts] : [sː]	-0.226	0.963	-0.591	1649|1396
[gʲ] : [d]	-0.235	0.964	-0.621	534|6845
[g] : [ɣ]	-0.254	0.735	-0.778	7232|785
[k] : [x]	-0.252	0.697	-0.789	10764|357
[b] : [β]	-0.286	0.714	-0.953	9197|238
[k] : [h]	-0.408	0.849	-1.573	10764|1996
[p] : [ɸ]	-0.457	0.816	-2.076	12519|1666
[t] : [θ]	-0.570	0.788	-4.137	15823|3654
[d] : [ð]	-0.514	0.676	-4.281	6845|775
