CORR	DIST	REPR	IDIO	FREQ
[e] : [-]	0.358	0.993	0.526	24334|0
[h] : [k]	0.292	0.907	0.442	1996|10703
[ʦː] : [sː]	0.269	0.980	0.422	3356|1388
[θ] : [t]	0.272	0.902	0.418	3653|15698
[ɲ] : [-]	0.328	0.572	0.417	81|0
[ʤː] : [ʒ]	0.258	0.962	0.406	1265|564
[o] : [-]	0.251	0.994	0.401	59374|0
[ɸ] : [p]	0.220	0.921	0.356	1666|12429
[x] : [k]	0.235	0.700	0.352	333|10703
[ð] : [d]	0.216	0.870	0.346	775|6797
[ɲː] : [ɲ]	0.203	0.738	0.319	2289|81
[d] : [-]	0.178	0.915	0.299	6797|0
[sː] : [ʦ]	0.162	0.971	0.278	1388|1636
[z] : [ʒ]	0.163	0.937	0.278	1316|564
[-] : [g]	0.159	0.953	0.273	0|7182
[-] : [v]	0.156	0.998	0.269	0|3803
[ʃ] : [ʒ]	0.148	0.917	0.255	3407|564
[β] : [bː]	0.148	0.837	0.251	238|452
[mː] : [m]	0.132	0.991	0.233	430|10648
[ʤ] : [ʒ]	0.130	0.956	0.229	1179|564
[θ] : [d]	0.117	0.916	0.207	3653|6797
[r] : [l]	0.112	0.971	0.200	26812|19045
[ɣ] : [g]	0.113	0.841	0.199	785|7182
[-] : [w]	0.109	0.987	0.196	0|1672
[β] : [b]	0.102	0.842	0.182	238|9134
[ʣ] : [z]	0.089	0.964	0.164	800|1316
[ʣ] : [ʦ]	0.088	0.976	0.161	800|1636
[ʧ] : [ʃ]	0.083	0.926	0.152	8160|3407
[tʲ] : [t]	0.083	0.748	0.150	71|15698
[ʦː] : [ʦ]	0.080	0.964	0.148	3356|1636
[i] : [-]	0.079	0.996	0.146	26193|0
[h] : [θ]	0.079	0.764	0.143	1996|3653
[ʤː] : [ʤ]	0.077	0.983	0.142	1265|1179
[-] : [h]	0.078	0.766	0.142	0|1996
[gʲ] : [ʤ]	0.076	0.969	0.140	529|1179
[ʣː] : [ʣ]	0.075	0.964	0.139	1473|800
[-] : [k]	0.072	0.938	0.133	0|10703
[ɸ] : [pː]	0.071	0.937	0.131	1666|1484
[kʲ] : [tʲ]	0.072	0.667	0.131	1096|71
[b] : [bː]	0.070	0.978	0.130	9134|452
[s] : [ʦ]	0.067	0.961	0.124	13816|1636
[-] : [x]	0.069	0.487	0.122	0|333
[s] : [z]	0.064	0.950	0.119	13816|1316
[fː] : [-]	0.063	1.000	0.118	183|0
[ʃ] : [s]	0.055	0.939	0.105	3407|13816
[-] : [kː]	0.048	0.966	0.092	0|4560
[g] : [gʲ]	0.044	0.930	0.084	7182|529
[gʲ] : [j]	0.042	0.947	0.081	529|7360
[kʲ] : [j]	0.042	0.913	0.080	1096|7360
[r] : [rː]	0.041	0.962	0.079	26812|540
[j] : [tʲ]	0.039	0.676	0.073	7360|71
[kːʲ] : [j]	0.031	0.924	0.061	1170|7360
[β] : [ɸ]	0.031	0.724	0.060	238|1666
[ɲ] : [nː]	0.029	0.725	0.056	81|810
[-] : [j]	0.027	0.924	0.052	0|7360
[x] : [h]	0.012	0.646	0.023	333|1996
[ʦː] : [ʣː]	0.006	0.964	0.012	3356|1473
[ɲ] : [n]	0.005	0.727	0.010	81|24546
[kː] : [kːʲ]	0.002	0.934	0.003	4560|1170
[kːʲ] : [kː]	-0.002	0.945	-0.003	1170|4560
[n] : [ɲ]	-0.005	0.738	-0.010	24546|81
[ʣː] : [ʦː]	-0.006	0.961	-0.013	1473|3356
[h] : [x]	-0.012	0.627	-0.024	1996|333
[j] : [-]	-0.027	0.936	-0.055	7360|0
[nː] : [ɲ]	-0.029	0.737	-0.061	810|81
[j] : [kːʲ]	-0.031	0.917	-0.065	7360|1170
[ɸ] : [β]	-0.031	0.715	-0.066	1666|238
[tʲ] : [j]	-0.039	0.748	-0.082	71|7360
[rː] : [r]	-0.041	0.958	-0.087	540|26812
[j] : [kʲ]	-0.042	0.901	-0.087	7360|1096
[j] : [gʲ]	-0.042	0.928	-0.088	7360|529
[kː] : [-]	-0.048	0.972	-0.102	4560|0
[s] : [ʃ]	-0.055	0.921	-0.118	13816|3407
[z] : [s]	-0.064	0.960	-0.136	1316|13816
[ʦ] : [s]	-0.067	0.959	-0.143	1636|13816
[bː] : [b]	-0.070	0.992	-0.150	452|9134
[k] : [-]	-0.072	0.967	-0.155	10703|0
[x] : [-]	-0.069	0.559	-0.159	333|0
[tʲ] : [kʲ]	-0.072	0.729	-0.161	71|1096
[h] : [-]	-0.078	0.878	-0.172	1996|0
[ʃ] : [ʧ]	-0.083	0.935	-0.181	3407|8160
[t] : [tʲ]	-0.083	0.677	-0.190	15698|71
[ʦ] : [ʣ]	-0.088	0.964	-0.193	1636|800
[b] : [β]	-0.102	0.745	-0.236	9134|238
[w] : [-]	-0.109	0.995	-0.245	1672|0
[g] : [ɣ]	-0.113	0.750	-0.265	7182|785
[ʒ] : [ʤ]	-0.130	0.975	-0.300	564|1179
[g] : [-]	-0.159	0.941	-0.383	7182|0
[ʦ] : [sː]	-0.162	0.965	-0.391	1636|1388
[ɲ] : [ɲː]	-0.203	0.725	-0.565	81|2289
[p] : [ɸ]	-0.220	0.822	-0.602	12429|1666
[d] : [ð]	-0.216	0.706	-0.622	6797|775
[k] : [x]	-0.235	0.648	-0.739	10703|333
[t] : [θ]	-0.272	0.785	-0.831	15698|3653
[k] : [h]	-0.292	0.855	-0.886	10703|1996
