CORR	DIST	REPR	CHAR	FREQ
[θ] : [t]	0.545	0.952	0.693	3654|15823
[ɸ] : [p]	0.502	0.967	0.661	1666|12518
[h] : [k]	0.450	0.937	0.608	1996|10764
[dʒː] : [ʒ]	0.304	0.949	0.460	1272|568
[ð] : [d]	0.310	0.869	0.457	775|6844
[ɲː] : [ɲ]	0.308	0.763	0.439	2303|82
[x] : [k]	0.296	0.678	0.412	357|10764
[ɣ] : [g]	0.260	0.871	0.400	785|7232
[ɲː] : [nː]	0.244	0.993	0.391	2303|816
[h] : [g]	0.230	0.954	0.370	1996|7232
[θ] : [d]	0.224	0.958	0.363	3654|6844
[x] : [g]	0.228	0.687	0.343	357|7232
[z] : [ʒ]	0.204	0.929	0.334	1325|568
[ʃ] : [ʒ]	0.202	0.918	0.332	3427|568
[tsː] : [sː]	0.193	0.984	0.323	3376|1396
[β] : [b]	0.192	0.856	0.313	238|9197
[β] : [bː]	0.180	0.849	0.297	238|454
[d] : [gʲ]	0.176	0.920	0.296	6844|534
[ɸ] : [β]	0.185	0.676	0.291	1666|238
[sː] : [ts]	0.163	0.971	0.278	1396|1649
[dʒ] : [ʒ]	0.151	0.946	0.261	1186|568
[r] : [l]	0.141	0.974	0.247	26980|19175
[gʲ] : [g]	0.140	0.963	0.245	534|7232
[dzː] : [dz]	0.139	0.973	0.243	1485|805
[rː] : [r]	0.138	0.980	0.243	545|26980
[-] : [tʲ]	0.141	0.713	0.235	0|75
[dz] : [z]	0.129	0.955	0.227	805|1325
[h] : [x]	0.118	0.686	0.202	1996|357
[tʃ] : [ʃ]	0.106	0.917	0.191	8213|3427
[-] : [w]	0.103	0.963	0.185	0|1683
[θ] : [h]	0.105	0.785	0.185	3654|1996
[tsː] : [ts]	0.100	0.968	0.181	3376|1649
[t] : [kʲ]	0.087	0.912	0.159	15823|1103
[mː] : [m]	0.072	0.994	0.134	433|10715
[ɲ] : [nː]	0.064	0.767	0.119	82|816
[tsː] : [dzː]	0.063	0.964	0.118	3376|1485
[h] : [ɣ]	0.061	0.682	0.112	1996|785
[s] : [z]	0.059	0.948	0.110	13908|1325
[x] : [ɣ]	0.060	0.534	0.108	357|785
[kʲ] : [tʲ]	0.050	0.700	0.094	1103|75
[ɲ] : [n]	0.047	0.769	0.088	82|24711
[ts] : [dz]	0.045	0.968	0.086	1649|805
[j] : [tʲ]	0.045	0.711	0.085	7339|75
[-] : [x]	0.035	0.687	0.066	0|357
[t] : [tʲ]	0.034	0.718	0.065	15823|75
[bː] : [b]	0.025	0.991	0.049	454|9197
[-] : [j]	0.022	0.933	0.043	0|7339
[k] : [tʲ]	0.018	0.723	0.036	10764|75
[kʲ] : [k]	0.015	0.916	0.030	1103|10764
[-] : [h]	0.015	0.783	0.029	0|1996
[kʲː] : [kː]	0.011	0.940	0.022	1177|4585
[ts] : [s]	0.009	0.961	0.018	1649|13908
[gʲ] : [-]	0.005	0.927	0.009	534|0
[dʒ] : [gʲ]	0.003	0.954	0.006	1186|534
[dʒ] : [dʒː]	0.002	0.995	0.004	1186|1272
[dzː] : [sː]	0.001	0.973	0.002	1485|1396
[ʃ] : [s]	0.001	0.951	0.001	3427|13908
[kː] : [x]	0.000	0.695	0.001	4585|357
[s] : [ʃ]	-0.001	0.913	-0.001	13908|3427
[dʒː] : [dʒ]	-0.002	0.977	-0.004	1272|1186
[-] : [gʲ]	-0.005	0.928	-0.009	0|534
[s] : [ts]	-0.009	0.965	-0.018	13908|1649
[kː] : [kʲː]	-0.011	0.935	-0.022	4585|1177
[h] : [-]	-0.015	0.918	-0.030	1996|0
[k] : [kʲ]	-0.015	0.919	-0.030	10764|1103
[tʲ] : [k]	-0.018	0.708	-0.038	75|10764
[j] : [-]	-0.022	0.918	-0.045	7339|0
[b] : [bː]	-0.025	0.978	-0.052	9197|454
[tʲ] : [t]	-0.034	0.714	-0.072	75|15823
[dz] : [ts]	-0.045	0.973	-0.094	805|1649
[n] : [ɲ]	-0.047	0.763	-0.100	24711|82
[tʲ] : [kʲ]	-0.050	0.687	-0.108	75|1103
[z] : [s]	-0.059	0.963	-0.125	1325|13908
[dzː] : [tsː]	-0.063	0.968	-0.135	1485|3376
[nː] : [ɲ]	-0.064	0.763	-0.141	816|82
[m] : [mː]	-0.072	0.994	-0.154	10715|433
[ʃ] : [tʃ]	-0.106	0.944	-0.240	3427|8213
[x] : [h]	-0.118	0.593	-0.296	357|1996
[r] : [rː]	-0.138	0.950	-0.324	26980|545
[g] : [gʲ]	-0.140	0.928	-0.330	7232|534
[ʒ] : [dʒ]	-0.151	0.974	-0.358	568|1186
[ts] : [sː]	-0.163	0.969	-0.391	1649|1396
[gʲ] : [d]	-0.176	0.963	-0.432	534|6844
[b] : [β]	-0.192	0.683	-0.533	9197|238
[g] : [ɣ]	-0.260	0.683	-0.837	7232|785
[ɲ] : [ɲː]	-0.308	0.767	-1.028	82|2303
[k] : [x]	-0.296	0.696	-1.029	10764|357
[d] : [ð]	-0.310	0.625	-1.234	6844|775
[k] : [h]	-0.450	0.795	-2.072	10764|1996
[p] : [ɸ]	-0.502	0.710	-3.430	12518|1666
[t] : [θ]	-0.545	0.679	-5.487	15823|3654
