CORR	DIST	REPR	CHAR	FREQ
[θ] : [t]	0.491	0.941	0.646	3654|15823
[ɸ] : [p]	0.457	0.957	0.619	1666|12518
[h] : [k]	0.442	0.923	0.598	1996|10764
[ð] : [d]	0.324	0.861	0.471	775|6844
[ɲː] : [ɲ]	0.333	0.760	0.463	2303|82
[ʃ] : [ʒ]	0.309	0.918	0.462	3427|568
[x] : [k]	0.316	0.709	0.437	357|10764
[dʒː] : [ʒ]	0.277	0.947	0.428	1272|568
[ɣ] : [g]	0.276	0.868	0.419	785|7232
[ɲː] : [nː]	0.263	0.992	0.416	2303|816
[θ] : [d]	0.247	0.946	0.392	3654|6844
[h] : [g]	0.237	0.941	0.379	1996|7232
[x] : [g]	0.249	0.719	0.370	357|7232
[z] : [ʒ]	0.212	0.926	0.344	1325|568
[β] : [b]	0.201	0.850	0.325	238|9197
[sː] : [ts]	0.194	0.972	0.323	1396|1649
[β] : [bː]	0.185	0.843	0.304	238|454
[ɸ] : [β]	0.182	0.672	0.286	1666|238
[r] : [l]	0.162	0.975	0.278	26980|19175
[dʒ] : [ʒ]	0.153	0.944	0.263	1186|568
[dzː] : [dz]	0.148	0.973	0.257	1485|805
[-] : [tʲ]	0.153	0.704	0.251	0|75
[gʲ] : [g]	0.142	0.964	0.247	534|7232
[d] : [gʲ]	0.142	0.919	0.246	6844|534
[rː] : [r]	0.126	0.979	0.223	545|26980
[tsː] : [sː]	0.122	0.984	0.217	3376|1396
[tʃ] : [ʃ]	0.116	0.914	0.206	8213|3427
[-] : [w]	0.116	0.962	0.206	0|1683
[kː] : [x]	0.115	0.667	0.196	4585|357
[tsː] : [ts]	0.101	0.969	0.183	3376|1649
[θ] : [ð]	0.102	0.622	0.176	3654|775
[h] : [ɣ]	0.093	0.663	0.164	1996|785
[t] : [kʲ]	0.087	0.908	0.159	15823|1103
[x] : [ɣ]	0.075	0.545	0.132	357|785
[z] : [dz]	0.069	0.969	0.129	1325|805
[tsː] : [dzː]	0.066	0.963	0.123	3376|1485
[s] : [z]	0.064	0.948	0.121	13908|1325
[mː] : [m]	0.063	0.995	0.118	433|10715
[ɲ] : [nː]	0.062	0.777	0.114	82|816
[ɲ] : [n]	0.057	0.780	0.107	82|24711
[j] : [tʲ]	0.055	0.703	0.102	7339|75
[ts] : [dz]	0.039	0.968	0.074	1649|805
[-] : [gʲ]	0.037	0.927	0.072	0|534
[h] : [θ]	0.028	0.664	0.054	1996|3654
[kʲ] : [tʲ]	0.024	0.690	0.046	1103|75
[t] : [tʲ]	0.023	0.706	0.044	15823|75
[-] : [j]	0.022	0.933	0.044	0|7339
[kʲː] : [kː]	0.022	0.941	0.044	1177|4585
[h] : [x]	0.021	0.652	0.041	1996|357
[s] : [ʃ]	0.020	0.910	0.038	13908|3427
[k] : [tʲ]	0.018	0.713	0.035	10764|75
[-] : [h]	0.013	0.791	0.026	0|1996
[-] : [x]	0.011	0.660	0.021	0|357
[s] : [ts]	0.010	0.966	0.020	13908|1649
[dʒ] : [gʲ]	0.009	0.953	0.018	1186|534
[bː] : [b]	0.007	0.991	0.015	454|9197
[dzː] : [sː]	0.007	0.974	0.015	1485|1396
[dʒː] : [dʒ]	0.003	0.976	0.006	1272|1186
[kʲ] : [k]	0.001	0.915	0.001	1103|10764
[pː] : [bː]	0.000	0.985	0.000	1495|454
[k] : [kʲ]	-0.001	0.920	-0.001	10764|1103
[dʒ] : [dʒː]	-0.003	0.995	-0.006	1186|1272
[b] : [bː]	-0.007	0.978	-0.015	9197|454
[ts] : [s]	-0.010	0.960	-0.021	1649|13908
[x] : [-]	-0.011	0.697	-0.021	357|0
[h] : [-]	-0.013	0.903	-0.027	1996|0
[tʲ] : [k]	-0.018	0.721	-0.036	75|10764
[ʃ] : [s]	-0.020	0.953	-0.040	3427|13908
[x] : [h]	-0.021	0.621	-0.043	357|1996
[kː] : [kʲː]	-0.022	0.934	-0.046	4585|1177
[j] : [-]	-0.022	0.917	-0.046	7339|0
[tʲ] : [t]	-0.023	0.728	-0.047	75|15823
[tʲ] : [kʲ]	-0.024	0.701	-0.050	75|1103
[dz] : [ts]	-0.039	0.972	-0.080	805|1649
[n] : [ɲ]	-0.057	0.760	-0.124	24711|82
[nː] : [ɲ]	-0.062	0.760	-0.134	816|82
[m] : [mː]	-0.063	0.993	-0.134	10715|433
[z] : [s]	-0.064	0.961	-0.138	1325|13908
[dzː] : [tsː]	-0.066	0.967	-0.141	1485|3376
[dz] : [z]	-0.069	0.954	-0.149	805|1325
[ʃ] : [tʃ]	-0.116	0.944	-0.265	3427|8213
[r] : [rː]	-0.126	0.950	-0.290	26980|545
[gʲ] : [d]	-0.142	0.963	-0.333	534|6844
[g] : [gʲ]	-0.142	0.927	-0.335	7232|534
[ʒ] : [dʒ]	-0.153	0.973	-0.362	568|1186
[ts] : [sː]	-0.194	0.968	-0.485	1649|1396
[b] : [β]	-0.201	0.685	-0.569	9197|238
[g] : [ɣ]	-0.276	0.671	-0.938	7232|785
[ɲ] : [ɲː]	-0.333	0.777	-1.166	82|2303
[k] : [x]	-0.316	0.668	-1.201	10764|357
[d] : [ð]	-0.324	0.623	-1.353	6844|775
[k] : [h]	-0.442	0.803	-1.971	10764|1996
[p] : [ɸ]	-0.457	0.702	-2.621	12518|1666
[t] : [θ]	-0.491	0.675	-3.618	15823|3654
