CORR	DIST	REPR	IDIO	FREQ
[ɲː] : [ɲ]	0.506	0.744	0.602	2289|81
[-] : [v]	0.307	0.999	0.469	0|3803
[sː] : [ʦ]	0.302	0.974	0.460	1388|1636
[θ] : [t]	0.305	0.901	0.455	3653|15698
[ʧ] : [ʃ]	0.257	0.930	0.403	8160|3407
[h] : [k]	0.244	0.917	0.386	1996|10703
[ɸ] : [p]	0.244	0.925	0.386	1666|12429
[ʤ] : [ʒ]	0.228	0.958	0.369	1179|564
[h] : [θ]	0.229	0.754	0.351	1996|3653
[ʦː] : [sː]	0.169	0.983	0.289	3356|1388
[o] : [-]	0.168	0.991	0.288	59374|0
[ʒ] : [ʃ]	0.165	0.920	0.280	564|3407
[s] : [ʦ]	0.152	0.963	0.263	13816|1636
[ð] : [d]	0.155	0.827	0.261	775|6797
[r] : [l]	0.149	0.972	0.258	26812|19045
[ɣ] : [g]	0.150	0.851	0.255	785|7182
[x] : [k]	0.159	0.640	0.255	333|10703
[ʃ] : [s]	0.145	0.945	0.251	3407|13816
[d] : [-]	0.146	0.911	0.251	6797|0
[β] : [bː]	0.146	0.829	0.249	238|452
[ʦ] : [ʣ]	0.141	0.960	0.246	1636|800
[i] : [-]	0.140	0.994	0.245	26193|0
[-] : [kː]	0.126	0.965	0.223	0|4560
[-] : [k]	0.125	0.934	0.220	0|10703
[j] : [-]	0.116	0.929	0.207	7360|0
[kːʲ] : [j]	0.108	0.934	0.194	1170|7360
[β] : [b]	0.104	0.832	0.185	238|9134
[ʣ] : [z]	0.101	0.962	0.183	800|1316
[g] : [h]	0.101	0.828	0.180	7182|1996
[-] : [ɲ]	0.103	0.592	0.175	0|81
[t] : [tʲ]	0.100	0.675	0.174	15698|71
[t] : [-]	0.095	0.932	0.173	15698|0
[-] : [g]	0.088	0.959	0.161	0|7182
[ʃ] : [ʃː]	0.087	0.955	0.160	3407|1376
[e] : [-]	0.084	0.990	0.155	24334|0
[h] : [x]	0.088	0.652	0.154	1996|333
[kʲ] : [j]	0.083	0.916	0.153	1096|7360
[ɸ] : [β]	0.083	0.711	0.149	1666|238
[d] : [θ]	0.082	0.758	0.148	6797|3653
[gʲ] : [ʤ]	0.078	0.955	0.144	529|1179
[mː] : [m]	0.074	0.989	0.137	430|10648
[fː] : [-]	0.073	1.000	0.136	183|0
[ʣː] : [ʣ]	0.071	0.971	0.132	1473|800
[tʲ] : [j]	0.072	0.687	0.131	71|7360
[g] : [x]	0.069	0.662	0.126	7182|333
[ʦː] : [ʣː]	0.064	0.964	0.120	3356|1473
[h] : [-]	0.057	0.900	0.108	1996|0
[ɲ] : [n]	0.047	0.745	0.088	81|24546
[-] : [w]	0.046	0.987	0.087	0|1672
[bː] : [b]	0.042	0.987	0.081	452|9134
[gʲ] : [j]	0.038	0.938	0.073	529|7360
[s] : [z]	0.038	0.951	0.073	13816|1316
[ʤː] : [ʒ]	0.035	0.960	0.067	1265|564
[z] : [ʒ]	0.031	0.926	0.061	1316|564
[rː] : [r]	0.028	0.969	0.055	540|26812
[ʤ] : [ʤː]	0.028	0.995	0.055	1179|1265
[kʲ] : [tʲ]	0.028	0.668	0.054	1096|71
[gʲ] : [g]	0.022	0.954	0.044	529|7182
[ʦ] : [ʦː]	0.022	0.955	0.043	1636|3356
[pː] : [ɸ]	0.018	0.811	0.035	1484|1666
[kːʲ] : [kː]	0.013	0.952	0.025	1170|4560
[ɲː] : [nː]	0.010	0.995	0.019	2289|810
[x] : [-]	0.002	0.487	0.005	333|0
[-] : [x]	-0.002	0.511	-0.005	0|333
[kː] : [kːʲ]	-0.013	0.929	-0.026	4560|1170
[ʦː] : [ʦ]	-0.022	0.970	-0.045	3356|1636
[ʤː] : [ʤ]	-0.028	0.980	-0.058	1265|1179
[tʲ] : [kʲ]	-0.028	0.668	-0.058	71|1096
[r] : [rː]	-0.028	0.958	-0.059	26812|540
[ʒ] : [z]	-0.031	0.953	-0.065	564|1316
[z] : [s]	-0.038	0.952	-0.079	1316|13816
[j] : [gʲ]	-0.038	0.926	-0.080	7360|529
[b] : [bː]	-0.042	0.980	-0.088	9134|452
[w] : [-]	-0.046	0.991	-0.096	1672|0
[n] : [ɲ]	-0.047	0.743	-0.100	24546|81
[-] : [h]	-0.057	0.741	-0.124	0|1996
[ʣː] : [ʦː]	-0.064	0.965	-0.138	1473|3356
[m] : [mː]	-0.074	0.995	-0.159	10648|430
[j] : [tʲ]	-0.072	0.674	-0.162	7360|71
[θ] : [d]	-0.082	0.912	-0.180	3653|6797
[j] : [kʲ]	-0.083	0.894	-0.184	7360|1096
[g] : [-]	-0.088	0.937	-0.194	7182|0
[x] : [h]	-0.088	0.588	-0.206	333|1996
[tʲ] : [t]	-0.100	0.688	-0.234	71|15698
[b] : [β]	-0.104	0.739	-0.243	9134|238
[j] : [kːʲ]	-0.108	0.908	-0.246	7360|1170
[-] : [j]	-0.116	0.927	-0.266	0|7360
[k] : [-]	-0.125	0.968	-0.287	10703|0
[kː] : [-]	-0.126	0.973	-0.290	4560|0
[ʣ] : [ʦ]	-0.141	0.974	-0.330	800|1636
[s] : [ʃ]	-0.145	0.917	-0.344	13816|3407
[ʦ] : [s]	-0.152	0.955	-0.362	1636|13816
[g] : [ɣ]	-0.150	0.730	-0.378	7182|785
[d] : [ð]	-0.155	0.710	-0.396	6797|775
[ʃ] : [ʒ]	-0.165	0.919	-0.402	3407|564
[k] : [x]	-0.159	0.669	-0.417	10703|333
[ʒ] : [ʤ]	-0.228	0.965	-0.598	564|1179
[k] : [h]	-0.244	0.839	-0.689	10703|1996
[p] : [ɸ]	-0.244	0.801	-0.700	12429|1666
[ʃ] : [ʧ]	-0.257	0.934	-0.710	3407|8160
[t] : [θ]	-0.305	0.765	-1.012	15698|3653
