CORR	DIST	REPR	CHAR	FREQ
[h] : [k]	0.406	0.919	0.563	1996|10764
[θ] : [t]	0.379	0.902	0.534	3654|15823
[ɸ] : [p]	0.305	0.916	0.458	1666|12519
[ɲː] : [ɲ]	0.323	0.773	0.456	2303|82
[-] : [h]	0.300	0.739	0.427	0|1996
[ð] : [d]	0.280	0.828	0.419	775|6845
[-] : [x]	0.294	0.685	0.412	0|357
[ɸ] : [β]	0.271	0.665	0.385	1666|238
[x] : [k]	0.260	0.687	0.377	357|10764
[dzː] : [z]	0.228	0.934	0.366	1485|1325
[β] : [bː]	0.223	0.820	0.351	238|454
[dʒ] : [ʒ]	0.213	0.938	0.348	1186|568
[r] : [l]	0.202	0.977	0.334	26981|19175
[sː] : [ts]	0.198	0.972	0.329	1396|1649
[tsː] : [sː]	0.198	0.981	0.329	3376|1396
[β] : [b]	0.194	0.828	0.314	238|9197
[ɣ] : [g]	0.188	0.832	0.307	785|7232
[tʃ] : [ʃ]	0.175	0.907	0.294	8213|3427
[d] : [gʲ]	0.166	0.927	0.282	6845|534
[dzː] : [sː]	0.158	0.969	0.272	1485|1396
[-] : [tʲ]	0.166	0.718	0.270	0|75
[dzː] : [dz]	0.152	0.969	0.263	1485|805
[z] : [ʒ]	0.143	0.918	0.248	1325|568
[ɲ] : [nː]	0.144	0.769	0.243	82|816
[-] : [w]	0.121	0.956	0.214	0|1683
[t] : [kʲ]	0.119	0.902	0.210	15823|1103
[θ] : [ð]	0.123	0.612	0.205	3654|775
[h] : [x]	0.115	0.676	0.196	1996|357
[pː] : [ɸ]	0.110	0.711	0.191	1495|1666
[mː] : [m]	0.101	0.993	0.184	433|10715
[θ] : [d]	0.098	0.906	0.177	3654|6845
[ts] : [dz]	0.090	0.967	0.165	1649|805
[ʃ] : [ʒ]	0.090	0.909	0.164	3427|568
[h] : [ɣ]	0.087	0.682	0.155	1996|785
[j] : [tʲ]	0.086	0.719	0.154	7339|75
[ɲː] : [nː]	0.083	0.993	0.153	2303|816
[x] : [ɣ]	0.084	0.545	0.146	357|785
[tsː] : [dzː]	0.078	0.963	0.145	3376|1485
[tsː] : [ts]	0.069	0.967	0.128	3376|1649
[ɲ] : [n]	0.051	0.772	0.095	82|24711
[gʲ] : [-]	0.048	0.917	0.091	534|0
[k] : [kʲ]	0.040	0.921	0.077	10764|1103
[k] : [tʲ]	0.040	0.729	0.076	10764|75
[gʲ] : [g]	0.039	0.954	0.075	534|7232
[s] : [z]	0.038	0.944	0.073	13908|1325
[p] : [β]	0.038	0.694	0.072	12519|238
[kː] : [x]	0.037	0.696	0.071	4585|357
[kʲ] : [tʲ]	0.036	0.703	0.069	1103|75
[dʒ] : [gʲ]	0.029	0.960	0.056	1186|534
[pː] : [bː]	0.026	0.984	0.050	1495|454
[ʃ] : [s]	0.025	0.949	0.048	3427|13908
[dʒː] : [dʒ]	0.024	0.968	0.048	1272|1186
[t] : [tʲ]	0.024	0.717	0.047	15823|75
[s] : [ts]	0.022	0.965	0.043	13908|1649
[fː] : [f]	0.021	1.000	0.041	184|4816
[j] : [-]	0.017	0.914	0.034	7339|0
[z] : [dz]	0.015	0.966	0.029	1325|805
[dʒː] : [ʒ]	0.014	0.941	0.028	1272|568
[bː] : [b]	0.003	0.992	0.007	454|9197
[kː] : [kʲː]	0.001	0.933	0.001	4585|1177
[r] : [rː]	0.001	0.962	0.001	26981|545
[rː] : [r]	-0.001	0.969	-0.001	545|26981
[kʲː] : [kː]	-0.001	0.939	-0.001	1177|4585
[b] : [bː]	-0.003	0.977	-0.007	9197|454
[ʒ] : [dʒː]	-0.014	0.988	-0.029	568|1272
[dz] : [z]	-0.015	0.951	-0.030	805|1325
[-] : [j]	-0.017	0.929	-0.035	0|7339
[f] : [fː]	-0.021	0.997	-0.042	4816|184
[ts] : [s]	-0.022	0.961	-0.045	1649|13908
[dʒ] : [dʒː]	-0.024	0.994	-0.050	1186|1272
[tʲ] : [t]	-0.024	0.723	-0.050	75|15823
[s] : [ʃ]	-0.025	0.902	-0.051	13908|3427
[tʲ] : [kʲ]	-0.036	0.697	-0.076	75|1103
[z] : [s]	-0.038	0.960	-0.079	1325|13908
[g] : [gʲ]	-0.039	0.935	-0.081	7232|534
[kʲ] : [k]	-0.040	0.911	-0.084	1103|10764
[tʲ] : [k]	-0.040	0.717	-0.085	75|10764
[n] : [ɲ]	-0.051	0.772	-0.109	24711|82
[ts] : [tsː]	-0.069	0.962	-0.148	1649|3376
[dzː] : [tsː]	-0.078	0.964	-0.171	1485|3376
[dz] : [ts]	-0.090	0.972	-0.199	805|1649
[ʒ] : [ʃ]	-0.090	0.905	-0.200	568|3427
[x] : [h]	-0.115	0.574	-0.286	357|1996
[ʒ] : [z]	-0.143	0.947	-0.338	568|1325
[ʃ] : [tʃ]	-0.175	0.934	-0.432	3427|8213
[ts] : [sː]	-0.198	0.967	-0.499	1649|1396
[g] : [ɣ]	-0.188	0.695	-0.515	7232|785
[b] : [β]	-0.194	0.700	-0.536	9197|238
[ʒ] : [dʒ]	-0.213	0.960	-0.549	568|1186
[k] : [x]	-0.260	0.695	-0.832	10764|357
[d] : [ð]	-0.280	0.632	-1.008	6845|775
[p] : [ɸ]	-0.305	0.702	-1.079	12519|1666
[ɲ] : [ɲː]	-0.323	0.768	-1.117	82|2303
[k] : [h]	-0.406	0.751	-1.764	10764|1996
[t] : [θ]	-0.379	0.652	-1.810	15823|3654
