CORR	DIST	REPR	CHAR	FREQ
[k] : [h]	0.365	0.911	0.521	10764|1996
[t] : [θ]	0.345	0.888	0.496	15823|3654
[p] : [ɸ]	0.276	0.904	0.423	12518|1666
[h] : [-]	0.284	0.731	0.409	1996|0
[x] : [-]	0.279	0.690	0.397	357|0
[z] : [ts]	0.252	0.933	0.396	1325|1649
[β] : [ɸ]	0.280	0.658	0.393	238|1666
[d] : [ð]	0.258	0.815	0.392	6844|775
[bː] : [β]	0.228	0.809	0.356	454|238
[ts] : [sː]	0.208	0.970	0.342	1649|1396
[k] : [x]	0.220	0.684	0.333	10764|357
[ʒ] : [z]	0.187	0.917	0.311	568|1325
[sː] : [dzː]	0.185	0.970	0.311	1396|1485
[l] : [r]	0.181	0.977	0.305	19175|26980
[b] : [β]	0.184	0.818	0.300	9197|238
[g] : [ɣ]	0.178	0.824	0.293	7232|785
[sː] : [tsː]	0.168	0.982	0.287	1396|3376
[ɣ] : [h]	0.176	0.673	0.279	785|1996
[gʲ] : [-]	0.162	0.935	0.276	534|0
[ɣ] : [x]	0.166	0.540	0.254	785|357
[gʲ] : [d]	0.143	0.936	0.248	534|6844
[dz] : [dzː]	0.139	0.969	0.242	805|1485
[w] : [-]	0.128	0.955	0.225	1683|0
[-] : [tʲ]	0.132	0.683	0.221	0|75
[ɸ] : [pː]	0.128	0.715	0.217	1666|1495
[d] : [θ]	0.118	0.890	0.208	6844|3654
[ʒ] : [ʃ]	0.118	0.900	0.208	568|3427
[kʲ] : [t]	0.111	0.910	0.198	1103|15823
[ð] : [θ]	0.118	0.612	0.198	775|3654
[x] : [h]	0.115	0.675	0.196	357|1996
[nː] : [ɲ]	0.109	0.732	0.189	816|82
[g] : [x]	0.109	0.691	0.189	7232|357
[nː] : [ɲː]	0.104	0.992	0.188	816|2303
[tʲ] : [t]	0.105	0.736	0.184	75|15823
[dzː] : [tsː]	0.092	0.963	0.168	1485|3376
[g] : [h]	0.086	0.923	0.157	7232|1996
[dz] : [ts]	0.083	0.968	0.153	805|1649
[ʒ] : [dʒ]	0.075	0.935	0.139	568|1186
[ɲ] : [ɲː]	0.073	0.786	0.134	82|2303
[dz] : [z]	0.071	0.964	0.132	805|1325
[m] : [mː]	0.068	0.993	0.128	10715|433
[β] : [p]	0.062	0.693	0.113	238|12518
[kʲ] : [k]	0.058	0.929	0.109	1103|10764
[j] : [tʲ]	0.057	0.691	0.105	7339|75
[tʲ] : [k]	0.056	0.748	0.104	75|10764
[ts] : [tsː]	0.050	0.966	0.095	1649|3376
[x] : [kː]	0.047	0.701	0.089	357|4585
[bː] : [pː]	0.040	0.982	0.076	454|1495
[ʒ] : [dʒː]	0.039	0.941	0.075	568|1272
[gʲ] : [dʒ]	0.036	0.964	0.070	534|1186
[z] : [s]	0.036	0.943	0.069	1325|13908
[-] : [j]	0.034	0.916	0.066	0|7339
[ʃ] : [tʃ]	0.034	0.908	0.065	3427|8213
[ʃ] : [s]	0.031	0.908	0.059	3427|13908
[dʒ] : [dʒː]	0.025	0.973	0.049	1186|1272
[f] : [fː]	0.023	1.000	0.046	4816|184
[kʲː] : [kː]	0.022	0.943	0.042	1177|4585
[ɲ] : [n]	0.021	0.787	0.042	82|24711
[r] : [rː]	0.018	0.971	0.035	26980|545
[kʲ] : [tʲ]	0.014	0.682	0.028	1103|75
[ts] : [s]	0.009	0.964	0.018	1649|13908
[gʲ] : [ɣ]	0.005	0.813	0.009	534|785
[gʲ] : [g]	0.004	0.943	0.009	534|7232
[b] : [bː]	0.002	0.991	0.004	9197|454
[bː] : [b]	-0.002	0.975	-0.004	454|9197
[g] : [gʲ]	-0.004	0.950	-0.009	7232|534
[s] : [ts]	-0.009	0.961	-0.018	13908|1649
[tʲ] : [kʲ]	-0.014	0.720	-0.029	75|1103
[rː] : [r]	-0.018	0.959	-0.037	545|26980
[kː] : [kʲː]	-0.022	0.934	-0.044	4585|1177
[n] : [ɲ]	-0.021	0.735	-0.044	24711|82
[fː] : [f]	-0.023	0.996	-0.048	184|4816
[dʒː] : [dʒ]	-0.025	0.989	-0.051	1272|1186
[s] : [ʃ]	-0.031	0.938	-0.063	13908|3427
[tʃ] : [ʃ]	-0.034	0.930	-0.070	8213|3427
[j] : [-]	-0.034	0.929	-0.071	7339|0
[s] : [z]	-0.036	0.957	-0.074	13908|1325
[dʒː] : [ʒ]	-0.039	0.980	-0.081	1272|568
[tsː] : [ts]	-0.050	0.963	-0.105	3376|1649
[k] : [tʲ]	-0.056	0.695	-0.122	10764|75
[k] : [kʲ]	-0.058	0.907	-0.124	10764|1103
[z] : [dz]	-0.071	0.949	-0.153	1325|805
[ɲː] : [ɲ]	-0.073	0.732	-0.162	2303|82
[dʒ] : [ʒ]	-0.075	0.957	-0.163	1186|568
[ts] : [dz]	-0.083	0.970	-0.182	1649|805
[tsː] : [dzː]	-0.092	0.964	-0.204	3376|1485
[t] : [tʲ]	-0.105	0.701	-0.248	15823|75
[ɲ] : [nː]	-0.109	0.786	-0.252	82|816
[ʃ] : [ʒ]	-0.118	0.904	-0.271	3427|568
[h] : [x]	-0.115	0.567	-0.288	1996|357
[d] : [gʲ]	-0.143	0.950	-0.337	6844|534
[z] : [ʒ]	-0.187	0.939	-0.467	1325|568
[ɣ] : [g]	-0.178	0.691	-0.480	785|7232
[β] : [b]	-0.184	0.699	-0.500	238|9197
[x] : [k]	-0.220	0.698	-0.641	357|10764
[ð] : [d]	-0.258	0.640	-0.863	775|6844
[ɸ] : [p]	-0.276	0.706	-0.908	1666|12518
[h] : [k]	-0.365	0.740	-1.439	1996|10764
[θ] : [t]	-0.345	0.654	-1.457	3654|15823
