CORR	DIST	REPR	CHAR	FREQ
[ts] : [sː]	0.466	0.984	0.633	1649|1396
[-] : [h]	0.370	0.853	0.516	0|1996
[rː] : [r]	0.292	0.987	0.451	545|26980
[z] : [dz]	0.289	0.979	0.446	1325|805
[-] : [x]	0.293	0.663	0.407	0|357
[h] : [k]	0.235	0.881	0.371	1996|10764
[r] : [l]	0.211	0.973	0.346	26980|19175
[tʃ] : [ʃ]	0.204	0.934	0.334	8213|3427
[dʒ] : [ʒ]	0.201	0.966	0.332	1186|568
[s] : [ʃ]	0.197	0.931	0.326	13908|3427
[x] : [k]	0.184	0.792	0.299	357|10764
[ʃ] : [ʒ]	0.158	0.958	0.272	3427|568
[β] : [bː]	0.155	0.879	0.264	238|454
[z] : [ʒ]	0.146	0.953	0.253	1325|568
[θ] : [d]	0.144	0.874	0.247	3654|6844
[k] : [kʲ]	0.141	0.924	0.245	10764|1103
[ts] : [s]	0.138	0.977	0.241	1649|13908
[k] : [tʲ]	0.137	0.707	0.229	10764|75
[tsː] : [ts]	0.116	0.966	0.208	3376|1649
[tʲ] : [t]	0.116	0.781	0.202	75|15823
[sː] : [dzː]	0.112	0.971	0.201	1396|1485
[ɲː] : [ɲ]	0.111	0.748	0.193	2303|82
[ɸ] : [p]	0.106	0.901	0.189	1666|12518
[kʲ] : [tʲ]	0.110	0.668	0.189	1103|75
[j] : [-]	0.100	0.930	0.181	7339|0
[-] : [w]	0.099	0.955	0.179	0|1683
[gʲ] : [g]	0.098	0.955	0.179	534|7232
[dz] : [ts]	0.095	0.969	0.173	805|1649
[θ] : [t]	0.093	0.865	0.168	3654|15823
[j] : [tʲ]	0.094	0.700	0.166	7339|75
[z] : [s]	0.087	0.971	0.159	1325|13908
[ð] : [d]	0.085	0.833	0.155	775|6844
[kː] : [kʲː]	0.082	0.940	0.151	4585|1177
[β] : [b]	0.081	0.882	0.149	238|9197
[m] : [mː]	0.077	0.994	0.142	10715|433
[-] : [tʲ]	0.079	0.696	0.142	0|75
[dʒː] : [dʒ]	0.065	0.984	0.122	1272|1186
[tsː] : [dzː]	0.064	0.966	0.121	3376|1485
[kʲ] : [t]	0.064	0.874	0.120	1103|15823
[dzː] : [dz]	0.061	0.973	0.115	1485|805
[b] : [bː]	0.052	0.982	0.098	9197|454
[x] : [h]	0.050	0.734	0.094	357|1996
[ɸ] : [β]	0.039	0.722	0.075	1666|238
[sː] : [tsː]	0.033	0.984	0.064	1396|3376
[gʲ] : [d]	0.022	0.950	0.043	534|6844
[dʒː] : [ʒ]	0.019	0.966	0.037	1272|568
[n] : [ɲ]	0.016	0.749	0.031	24711|82
[gʲ] : [-]	0.012	0.939	0.024	534|0
[ɣ] : [g]	0.009	0.812	0.017	785|7232
[kː] : [x]	0.001	0.675	0.003	4585|357
[pː] : [bː]	0.001	0.989	0.003	1495|454
[g] : [ɣ]	-0.009	0.780	-0.018	7232|785
[ɲ] : [n]	-0.016	0.816	-0.032	82|24711
[d] : [gʲ]	-0.022	0.932	-0.045	6844|534
[tsː] : [sː]	-0.033	0.983	-0.069	3376|1396
[bː] : [b]	-0.052	0.993	-0.109	454|9197
[h] : [x]	-0.050	0.636	-0.110	1996|357
[dzː] : [tsː]	-0.064	0.968	-0.138	1485|3376
[kʲː] : [kː]	-0.082	0.928	-0.180	1177|4585
[b] : [β]	-0.081	0.768	-0.182	9197|238
[s] : [z]	-0.087	0.960	-0.191	13908|1325
[d] : [ð]	-0.085	0.753	-0.193	6844|775
[t] : [θ]	-0.093	0.809	-0.210	15823|3654
[ts] : [dz]	-0.095	0.985	-0.210	1649|805
[g] : [gʲ]	-0.098	0.942	-0.220	7232|534
[-] : [j]	-0.100	0.926	-0.225	0|7339
[p] : [ɸ]	-0.106	0.841	-0.242	12518|1666
[tʲ] : [kʲ]	-0.110	0.769	-0.256	75|1103
[ɲ] : [ɲː]	-0.111	0.814	-0.257	82|2303
[t] : [tʲ]	-0.116	0.697	-0.278	15823|75
[s] : [ts]	-0.138	0.970	-0.321	13908|1649
[tʲ] : [k]	-0.137	0.789	-0.331	75|10764
[kʲ] : [k]	-0.141	0.884	-0.337	1103|10764
[ʒ] : [dʒ]	-0.201	0.984	-0.504	568|1186
[k] : [x]	-0.184	0.673	-0.507	10764|357
[ʃ] : [tʃ]	-0.204	0.973	-0.515	3427|8213
[k] : [h]	-0.235	0.870	-0.643	10764|1996
