CORR	DIST	REPR	IDIO
[ʦː] -> [sː]	0.256	0.391	0.310
[ʣ] -> [z]	0.257	0.385	0.308
[sː] -> [ʦ]	0.258	0.368	0.304
[ʤː] -> [ʤ]	0.217	0.415	0.285
[ʃ] -> [ʤ]	0.195	0.401	0.263
[ʒ] -> [ʤ]	0.183	0.408	0.253
[ʒ] -> [ʤː]	0.159	0.426	0.231
[v] -> [w]	0.157	0.399	0.225
[s] -> [z]	0.126	0.383	0.189
[fː] -> [f]	0.128	0.350	0.187
[ʎː] -> [ʎ]	0.135	0.308	0.187
[bː] -> [b]	0.137	0.274	0.183
[ɸ] -> [β]	0.125	0.320	0.180
[ʃ] -> [ʧ]	0.124	0.280	0.172
[ʣː] -> [sː]	0.107	0.380	0.167
[ʒ] -> [z]	0.094	0.382	0.151
[ʦː] -> [ʦ]	0.091	0.375	0.147
[bː] -> [β]	0.089	0.342	0.142
[j] -> [ʎː]	0.084	0.378	0.137
[ɲː] -> [ɲ]	0.136	0.133	0.135
[g] -> [gʲ]	0.076	0.438	0.129
[kʲ] -> [j]	0.081	0.267	0.124
[r] -> [rː]	0.072	0.430	0.123
[ɲ] -> [n]	0.121	0.115	0.118
[j] -> [gʲ]	0.067	0.436	0.117
[l] -> [r]	0.105	0.116	0.111
[kːʲ] -> [kː]	0.051	0.323	0.088
[ʃ] -> [ʒ]	0.045	0.430	0.081
[ʤ] -> [gʲ]	0.044	0.442	0.080
[kːʲ] -> [j]	0.044	0.273	0.076
[ʣ] -> [ʣː]	0.040	0.381	0.073
[ʃ] -> [s]	0.043	0.224	0.072
[ʎ] -> [r]	0.047	0.109	0.066
[θ] -> [d]	0.035	0.262	0.061
[h] -> [x]	0.029	0.237	0.051
[ɣ] -> [g]	0.025	0.259	0.045
[nː] -> [ɲ]	0.026	0.133	0.043
[ʦ] -> [s]	0.022	0.223	0.041
[θ] -> [t]	0.020	0.178	0.036
[b] -> [β]	0.015	0.343	0.029
[ʣ] -> [ʦ]	0.013	0.374	0.025
[k] -> [h]	0.009	0.302	0.017
[m] -> [mː]	0.008	0.462	0.016
[d] -> [ð]	0.008	0.297	0.015
[k] -> [x]	0.006	0.250	0.013
